Opponent (clean),HI ASSISTS - Player,HI ASSISTS - Value,HI REBOUNDS - Player,HI REBOUNDS - Value,HI POINTS - Player,HI POINTS - Value,Win or Loss,Home or Away,True Date,OPPONENT,RESULT,W-L
Minnesota,Gasol,6,Aldridge,19,DeRozan,28,W,Home,18/10/2018,vsMinnesota,W112-108,1-0
Portland,DeRozan,9,Aldridge,8,DeRozan,28,L,Away,21/10/2018,@Portland,L121-108,1-1
Los Angeles,DeRozan,14,Cunningham,12,Aldridge,37,W,Away,23/10/2018,@Los Angeles,W143-142 OT,2-1
Indiana,DeRozan,4,Aldridge,13,DeRozan,18,L,Home,25/10/2018,vsIndiana,L116-96,2-2
Los Angeles,DeRozan,8,DeRozan,12,DeRozan,30,W,Home,28/10/2018,vsLos Angeles,W110-106,3-2
Dallas,DeRozan,9,Gay,11,DeRozan,34,W,Home,30/10/2018,vsDallas,W113-108 OT,4-2
Phoenix,Forbes,7,Gasol,9,DeRozan,25,W,Away,01/11/2018,@Phoenix,W120-90,5-2
New Orleans,Mills,7,Aldridge,12,DeRozan,26,W,Home,04/11/2018,vsNew Orleans,W109-95,6-2
Orlando,DeRozan,5,Gasol,8,DeRozan,25,L,Home,05/11/2018,vsOrlando,L117-110,6-3
Miami,DeRozan,8,Aldridge,16,Mills,20,L,Away,08/11/2018,@Miami,L95-88,6-4
Houston,White,8,DeRozan,11,Aldridge,27,W,Home,11/11/2018,vsHouston,W96-89,7-4
Sacramento,DeRozan,8,Aldridge,18,DeRozan,23,L,Away,13/11/2018,@Sacramento,L104-99,7-5
Phoenix,DeRozan,4,Aldridge,12,DeRozan,24,L,Away,15/11/2018,@Phoenix,L116-96,7-6
LA,DeRozan,5,Aldridge,16,DeRozan,34,L,Away,16/11/2018,@LA,L116-111,7-7
Golden State,DeRozan,9,Aldridge,18,Aldridge,24,W,Home,19/11/2018,vsGolden State,W104-92,8-7
New Orleans,DeRozan,5,Aldridge,10,DeRozan,21,L,Away,20/11/2018,@New Orleans,L140-126,8-8
Memphis,DeRozan,5,Aldridge,11,DeRozan,24,L,Home,22/11/2018,vsMemphis,L104-103,8-9
Indiana,Gay,7,Aldridge,14,Aldridge,33,W,Away,24/11/2018,@Indiana,W111-100,9-9
Milwaukee,DeRozan,7,Cunningham,10,DeRozan,34,L,Away,25/11/2018,@Milwaukee,L135-129,9-10
Chicago,Forbes,6,DeRozan,8,DeRozan,21,W,Away,27/11/2018,@Chicago,W108-107,10-10
Minnesota,White,4,Aldridge,9,Poeltl,14,L,Away,29/11/2018,@Minnesota,L128-89,10-11
Houston,White,9,Gay,8,Aldridge,20,L,Home,01/12/2018,vsHouston,L136-105,10-12
Portland,DeRozan,6,DeRozan,8,DeRozan,36,W,Home,03/12/2018,vsPortland,W131-118,11-12
Utah,DeRozan,7,Poeltl,7,Poeltl,20,L,Away,05/12/2018,@Utah,L139-105,11-13
Los Angeles,White,5,Aldridge,9,DeRozan,32,L,Away,06/12/2018,@Los Angeles,L121-113,11-14
Los Angeles,DeRozan,9,DeRozan,8,DeRozan,36,W,Home,08/12/2018,vsLos Angeles,W133-120,12-14
Utah,DeRozan,8,Gay,15,DeRozan,26,W,Home,10/12/2018,vsUtah,W110-97,13-14
Phoenix,DeRozan,9,Forbes,11,Forbes,24,W,Home,12/12/2018,vsPhoenix,W111-86,14-14
LA,DeRozan,7,Gay,6,Aldridge,27,W,Home,14/12/2018,vsLA,W125-87,15-14
Chicago,Gay,4,Aldridge,12,Aldridge,29,L,Home,16/12/2018,vsChicago,L98-93,15-15
Philadelphia,DeRozan,7,Aldridge,10,Gay,21,W,Home,18/12/2018,vsPhiladelphia,W123-96,16-15
Orlando,DeRozan,6,DeRozan,7,Aldridge,20,W,Away,20/12/2018,@Orlando,W129-90,17-15
Minnesota,DeRozan,8,Aldridge,9,Forbes,22,W,Home,22/12/2018,vsMinnesota,W124-98,18-15
Houston,DeRozan,8,Gay,8,DeRozan,28,L,Away,23/12/2018,@Houston,L108-101,18-16
Denver,DeRozan,5,Poeltl,11,DeRozan,30,W,Home,27/12/2018,vsDenver,W111-103,19-16
Denver,DeRozan,5,Aldridge,7,Aldridge,24,L,Away,29/12/2018,@Denver,L102-99,19-17
LA,Forbes,7,DeRozan,13,Aldridge,38,W,Away,30/12/2018,@LA,W122-111,20-17
Boston,DeRozan,10,Aldridge,9,Aldridge,32,W,Home,01/01/2019,vsBoston,W120-111,21-17
Toronto,DeRozan,11,DeRozan,14,Aldridge,23,W,Home,04/01/2019,vsToronto,W125-107,22-17
Memphis,Aldridge,7,DeRozan,9,White,19,W,Home,06/01/2019,vsMemphis,W108-88,23-17
Detroit,DeRozan,9,DeRozan,7,DeRozan,26,W,Away,08/01/2019,@Detroit,W119-107,24-17
Memphis,DeRozan,4,Gasol,12,Forbes,14,L,Away,10/01/2019,@Memphis,L96-86,24-18
Oklahoma City,DeRozan,11,Aldridge,9,Aldridge,56,W,Home,11/01/2019,vsOklahoma City,W154-147 2OT,25-18
Oklahoma City,DeRozan,4,Poeltl,10,Belinelli,24,L,Away,13/01/2019,@Oklahoma City,L122-112,25-19
Charlotte,White,7,Aldridge,10,Aldridge,28,L,Home,15/01/2019,vsCharlotte,L108-93,25-20
Dallas,DeRozan,9,Poeltl,7,Belinelli,17,W,Away,17/01/2019,@Dallas,W105-101,26-20
Minnesota,Mills,8,Aldridge,9,Aldridge,25,W,Away,19/01/2019,@Minnesota,W116-113,27-20
LA,White,4,Aldridge,14,Aldridge,30,L,Home,21/01/2019,vsLA,L103-95,27-21
Philadelphia,Aldridge,6,DeRozan,9,DeRozan,26,L,Away,24/01/2019,@Philadelphia,L122-120,27-22
New Orleans,Mills,5,Aldridge,12,Aldridge,28,W,Away,26/01/2019,@New Orleans,W126-114,28-22
Washington,Mills,7,Aldridge,9,Aldridge,30,W,Home,28/01/2019,vsWashington,W132-119,29-22
Phoenix,Bertans,5,Aldridge,14,Aldridge,29,W,Home,30/01/2019,vsPhoenix,W126-124,30-22
Brooklyn,White,6,Aldridge,13,White,26,W,Home,01/02/2019,vsBrooklyn,W117-114,31-22
New Orleans,DeRozan,5,Aldridge,14,Aldridge,25,W,Home,03/02/2019,vsNew Orleans,W113-108,32-22
Sacramento,DeRozan,4,Aldridge,9,DeRozan,24,L,Away,05/02/2019,@Sacramento,L127-112,32-23
Golden State,Poeltl,6,Cunningham,5,Mills,16,L,Away,07/02/2019,@Golden State,L141-102,32-24
Portland,Mills,8,Aldridge,10,DeRozan,35,L,Away,08/02/2019,@Portland,L127-118,32-25
Utah,DeRozan,5,Aldridge,10,DeRozan,23,L,Away,09/02/2019,@Utah,L125-105,32-26
Memphis,Gay,8,Gay,12,Aldridge,22,W,Away,13/02/2019,@Memphis,W108-107,33-26
Toronto,DeRozan,8,Gay,10,DeRozan,23,L,Away,23/02/2019,@Toronto,L120-117,33-27
New York,DeRozan,4,DeRozan,9,DeRozan,32,L,Away,25/02/2019,@New York,L130-118,33-28
Brooklyn,White,4,Aldridge,10,Aldridge,26,L,Away,26/02/2019,@Brooklyn,L101-85,33-29
Detroit,DeRozan,8,Poeltl,14,Aldridge,24,W,Home,28/02/2019,vsDetroit,W105-93,34-29
Oklahoma City,DeRozan,7,Aldridge,10,Aldridge,27,W,Home,03/03/2019,vsOklahoma City,W116-102,35-29
