Date Time,Date,Time
02/01/2019 07:19:00,02/01/2019,7:19
02/01/2019 11:52:00,02/01/2019,11:52
02/01/2019 14:04:00,02/01/2019,14:04
02/01/2019 18:58:00,02/01/2019,18:58
02/01/2019 19:21:00,02/01/2019,19:21
03/01/2019 17:16:00,03/01/2019,17:16
03/01/2019 18:13:00,03/01/2019,18:13
03/01/2019 19:36:00,03/01/2019,19:36
04/01/2019 14:51:00,04/01/2019,14:51
05/01/2019 00:01:00,05/01/2019,0:01
01/01/2019 01:45:00,01/01/2019,01:45
01/01/2019 08:17:00,01/01/2019,08:17
01/01/2019 08:36:00,01/01/2019,08:36
01/01/2019 10:18:00,01/01/2019,10:18
01/01/2019 11:52:00,01/01/2019,11:52
01/01/2019 14:07:00,01/01/2019,14:07
01/01/2019 16:01:00,01/01/2019,16:01
01/01/2019 16:07:00,01/01/2019,16:07
01/01/2019 16:26:00,01/01/2019,16:26
01/01/2019 08:04:00,01/01/2019,08:04
01/01/2019 18:25:00,01/01/2019,18:25
01/01/2019 19:13:00,01/01/2019,19:13
01/01/2019 21:17:00,01/01/2019,21:17
01/01/2019 22:30:00,01/01/2019,22:30
01/01/2019 22:55:00,01/01/2019,22:55
01/01/2019 23:53:00,01/01/2019,23:53
01/01/2019 19:17:00,01/01/2019,19:17
02/01/2019 12:44:00,02/01/2019,12:44
02/01/2019 13:25:00,02/01/2019,13:25
02/01/2019 15:08:00,02/01/2019,15:08
02/01/2019 20:33:00,02/01/2019,20:33
02/01/2019 20:59:00,02/01/2019,20:59
02/01/2019 22:25:00,02/01/2019,22:25
02/01/2019 23:51:00,02/01/2019,23:51
03/01/2019 09:30:00,03/01/2019,09:30
03/01/2019 09:43:00,03/01/2019,09:43
03/01/2019 00:40:00,03/01/2019,00:40
03/01/2019 16:29:00,03/01/2019,16:29
03/01/2019 16:38:00,03/01/2019,16:38
03/01/2019 19:29:00,03/01/2019,19:29
03/01/2019 21:00:00,03/01/2019,21:00
03/01/2019 23:18:00,03/01/2019,23:18
04/01/2019 06:11:00,04/01/2019,06:11
04/01/2019 07:25:00,04/01/2019,07:25
04/01/2019 09:25:00,04/01/2019,09:25
04/01/2019 08:35:00,04/01/2019,08:35
04/01/2019 12:41:00,04/01/2019,12:41
04/01/2019 15:48:00,04/01/2019,15:48
04/01/2019 17:11:00,04/01/2019,17:11
05/01/2019 08:57:00,05/01/2019,08:57
