Team,Result,For,Aga,Diff,HTf,HTa,Opposition,Venue,Date
England,won,35,8,27,22,0,v France,Parc des Princes,22/3/1906
England,won,41,13,28,13,13,v France,Richmond,5/1/1907
England,won,19,0,19,6,0,v France,Colombes,1/1/1908
England,won,22,0,22,10,0,v France,Leicester,30/1/1909
England,won,11,3,8,8,0,v France,Parc des Princes,3/3/1910
England,won,37,0,37,8,0,v France,Twickenham,28/1/1911
England,won,18,8,10,14,0,v France,Parc des Princes,8/4/1912
England,won,20,0,20,6,0,v France,Twickenham,25/1/1913
England,won,39,13,26,13,8,v France,Colombes,13/4/1914
England,won,8,3,5,3,3,v France,Twickenham,31/1/1920
England,won,10,6,4,10,3,v France,Colombes,28/3/1921
England,draw,11,11,0,6,0,v France,Twickenham,25/2/1922
England,won,12,3,9,3,3,v France,Colombes,2/4/1923
England,won,19,7,12,9,0,v France,Twickenham,23/2/1924
England,won,13,11,2,13,5,v France,Colombes,13/4/1925
England,won,11,0,11,6,0,v France,Twickenham,27/2/1926
England,lost,0,3,-3,0,3,v France,Colombes,2/4/1927
England,won,18,8,10,10,3,v France,Twickenham,25/2/1928
England,won,16,6,10,8,3,v France,Colombes,1/4/1929
England,won,11,5,6,6,5,v France,Twickenham,22/2/1930
England,lost,13,14,-1,5,4,v France,Colombes,6/4/1931
England,won,6,3,3,3,0,v France,Twickenham,19/4/1947
England,lost,0,15,-15,0,3,v France,Colombes,29/3/1948
England,won,8,3,5,5,0,v France,Twickenham,26/2/1949
England,lost,3,6,-3,3,3,v France,Colombes,25/2/1950
England,lost,3,11,-8,3,5,v France,Twickenham,24/2/1951
England,won,6,3,3,0,3,v France,Colombes,5/4/1952
England,won,11,0,11,6,0,v France,Twickenham,28/2/1953
England,lost,3,11,-8,3,3,v France,Colombes,10/4/1954
England,lost,9,16,-7,6,3,v France,Twickenham,26/2/1955
England,lost,9,14,-5,6,6,v France,Colombes,14/4/1956
England,won,9,5,4,6,0,v France,Twickenham,23/2/1957
England,won,14,0,14,11,0,v France,Colombes,1/3/1958
England,draw,3,3,0,3,3,v France,Twickenham,28/2/1959
England,draw,3,3,0,3,3,v France,Colombes,27/2/1960
England,draw,5,5,0,-,-,v France,Twickenham,25/2/1961
