Total Monthly Salary,Month,Current Employees,Avg Salary per Current Employee
238500,5/1/2019,7,34071.428571429
238500,4/1/2019,7,34071.428571429
317501,7/1/2019,9,35277.888888889
243500,3/1/2019,7,34785.714285714
215500,2/1/2019,6,35916.666666667
317501,9/1/2019,9,35277.888888889
317501,8/1/2019,9,35277.888888889
337501,6/1/2019,10,33750.1
319501,11/1/2019,9,35500.111111111
366501,1/1/2020,9,40722.333333333
426501,12/1/2019,11,38772.818181818
319501,10/1/2019,9,35500.111111111
366501,2/1/2020,9,40722.333333333
