Total Monthly Salary,Month,Current Employees,Avg Salary per Current Employee
215500,2019-02-01,6,35916.666666666664
243500,2019-03-01,7,34785.71428571428
238500,2019-04-01,7,34071.42857142857
238500,2019-05-01,7,34071.42857142857
337501,2019-06-01,10,33750.1
317501,2019-07-01,9,35277.88888888889
317501,2019-08-01,9,35277.88888888889
317501,2019-09-01,9,35277.88888888889
319501,2019-10-01,9,35500.11111111111
319501,2019-11-01,9,35500.11111111111
426501,2019-12-01,11,38772.818181818184
366501,2020-01-01,9,40722.333333333336
366501,2020-02-01,9,40722.333333333336
