Candidate,Poll Results,Spread from 1st to 2nd Place,Rank,End Date,Sample Type,Poll
Biden,27,7,1,14/01/2020,Registered Voter,Economist/YouGov
Biden,26,1,2,29/01/2020,Likely Voter,NBC News/Wall St. Jrnl
Biden,17,9,3,22/02/2020,Likely Voter,CBS News/YouGov
Gabbard,1,7,8,20/01/2020,Registered Voter,Monmouth
Buttigieg,12,11,4,17/02/2020,Likely Voter,SurveyUSA
Warren,15,5,3,19/01/2020,Likely Voter,Politico/Morning Consult
Biden,29,5,1,19/01/2020,Likely Voter,Politico/Morning Consult
Warren,12,16,4,17/02/2020,Registered Voter,ABC News/Wash Post
Sanders,22,3,1,15/02/2020,Registered Voter,The Hill/HarrisX
Gabbard,1,9,8,22/02/2020,Likely Voter,CBS News/YouGov
Buttigieg,10,4,5,11/02/2020,Likely Voter,Economist/YouGov
Sanders,27,3,2,23/01/2020,Likely Voter,Emerson
Buttigieg,8,6,4,12/01/2020,Registered Voter,Quinnipiac
Biden,16,16,2,17/02/2020,Registered Voter,ABC News/Wash Post
Klobuchar,4,8,6,09/02/2020,Registered Voter,Quinnipiac
Klobuchar,3,6,6,11/01/2020,Registered Voter,IBD/TIPP
Klobuchar,4,10,6,17/12/2019,Likely Voter,Economist/YouGov
Buttigieg,9,11,5,16/01/2020,Likely Voter,SurveyUSA
Warren,14,4,4,02/02/2020,Registered Voter,Politico/Morning Consult
Buttigieg,7,13,5,29/12/2019,Registered Voter,Harvard-Harris
Buttigieg,7,7,4,14/01/2020,Registered Voter,Economist/YouGov
Warren,11,10,3,14/01/2020,Registered Voter,The Hill/HarrisX
Warren,15,5,3,27/01/2020,Registered Voter,Quinnipiac
Klobuchar,7,16,6,17/02/2020,Registered Voter,ABC News/Wash Post
Klobuchar,3,6,7,26/01/2020,Registered Voter,Politico/Morning Consult
Sanders,32,16,1,17/02/2020,Registered Voter,ABC News/Wash Post
Sanders,29,7,1,18/02/2020,Likely Voter,Emerson
Biden,28,7,1,21/01/2020,Likely Voter,Economist/YouGov
Biden,34,16,1,28/01/2020,Likely Voter,LA Times/USC
Gabbard,1,3,8,10/02/2020,Registered Voter,The Hill/HarrisX
Sanders,19,10,2,31/12/2019,Registered Voter,Economist/YouGov
Gabbard,2,12,8,22/01/2020,Registered Voter,The Hill/HarrisX
Sanders,24,5,2,19/01/2020,Likely Voter,Politico/Morning Consult
Warren,14,6,3,26/01/2020,Registered Voter,Politico/Morning Consult
Bloomberg,5,7,5,14/01/2020,Registered Voter,Economist/YouGov
Gabbard,2,7,7,14/01/2020,Registered Voter,Economist/YouGov
Klobuchar,7,12,6,17/02/2020,Likely Voter,NBC News/Wall St. Jrnl
Gabbard,1,8,8,09/02/2020,Registered Voter,Quinnipiac
