Candidate,Spread from 1st to 2nd Place,Rank,End Date,Sample Type,Poll,Poll Results
Gabbard,12,8,23/01/2020,Likely Voter,ABC News/Wash Post,0
Steyer,12,7,23/01/2020,Likely Voter,ABC News/Wash Post,1
Buttigieg,12,6,23/01/2020,Likely Voter,ABC News/Wash Post,4
Klobuchar,12,6,23/01/2020,Likely Voter,ABC News/Wash Post,4
Bloomberg,12,4,23/01/2020,Likely Voter,ABC News/Wash Post,7
Warren,12,3,23/01/2020,Likely Voter,ABC News/Wash Post,14
Sanders,12,2,23/01/2020,Likely Voter,ABC News/Wash Post,22
Biden,12,1,23/01/2020,Likely Voter,ABC News/Wash Post,34
Gabbard,16,8,17/02/2020,Registered Voter,ABC News/Wash Post,1
Steyer,16,7,17/02/2020,Registered Voter,ABC News/Wash Post,2
Klobuchar,16,6,17/02/2020,Registered Voter,ABC News/Wash Post,7
Buttigieg,16,5,17/02/2020,Registered Voter,ABC News/Wash Post,8
Warren,16,4,17/02/2020,Registered Voter,ABC News/Wash Post,12
Bloomberg,16,3,17/02/2020,Registered Voter,ABC News/Wash Post,14
Biden,16,2,17/02/2020,Registered Voter,ABC News/Wash Post,16
Sanders,16,1,17/02/2020,Registered Voter,ABC News/Wash Post,32
Gabbard,9,8,22/02/2020,Likely Voter,CBS News/YouGov,1
Steyer,9,7,22/02/2020,Likely Voter,CBS News/YouGov,2
Klobuchar,9,6,22/02/2020,Likely Voter,CBS News/YouGov,5
Buttigieg,9,5,22/02/2020,Likely Voter,CBS News/YouGov,10
Bloomberg,9,4,22/02/2020,Likely Voter,CBS News/YouGov,13
Biden,9,3,22/02/2020,Likely Voter,CBS News/YouGov,17
Warren,9,2,22/02/2020,Likely Voter,CBS News/YouGov,19
Sanders,9,1,22/02/2020,Likely Voter,CBS News/YouGov,28
Gabbard,3,8,19/01/2020,Registered Voter,CNN,0
Steyer,3,7,19/01/2020,Registered Voter,CNN,2
Klobuchar,3,6,19/01/2020,Registered Voter,CNN,4
Bloomberg,3,5,19/01/2020,Registered Voter,CNN,5
Buttigieg,3,4,19/01/2020,Registered Voter,CNN,11
Warren,3,3,19/01/2020,Registered Voter,CNN,14
Biden,3,2,19/01/2020,Registered Voter,CNN,24
Sanders,3,1,19/01/2020,Registered Voter,CNN,27
Steyer,10,8,17/12/2019,Likely Voter,Economist/YouGov,2
Gabbard,10,7,17/12/2019,Likely Voter,Economist/YouGov,3
Bloomberg,10,6,17/12/2019,Likely Voter,Economist/YouGov,4
Klobuchar,10,6,17/12/2019,Likely Voter,Economist/YouGov,4
Buttigieg,10,4,17/12/2019,Likely Voter,Economist/YouGov,7
Warren,10,3,17/12/2019,Likely Voter,Economist/YouGov,17
Sanders,10,2,17/12/2019,Likely Voter,Economist/YouGov,19
Biden,10,1,17/12/2019,Likely Voter,Economist/YouGov,29
Steyer,11,8,24/12/2019,Likely Voter,Economist/YouGov,1
Gabbard,11,7,24/12/2019,Likely Voter,Economist/YouGov,2
Bloomberg,11,6,24/12/2019,Likely Voter,Economist/YouGov,4
Klobuchar,11,5,24/12/2019,Likely Voter,Economist/YouGov,5
Buttigieg,11,4,24/12/2019,Likely Voter,Economist/YouGov,7
Sanders,11,3,24/12/2019,Likely Voter,Economist/YouGov,17
Warren,11,2,24/12/2019,Likely Voter,Economist/YouGov,19
Biden,11,1,24/12/2019,Likely Voter,Economist/YouGov,30
Steyer,10,8,31/12/2019,Registered Voter,Economist/YouGov,2
Bloomberg,10,7,31/12/2019,Registered Voter,Economist/YouGov,3
Gabbard,10,7,31/12/2019,Registered Voter,Economist/YouGov,3
Klobuchar,10,5,31/12/2019,Registered Voter,Economist/YouGov,4
Buttigieg,10,4,31/12/2019,Registered Voter,Economist/YouGov,8
Warren,10,3,31/12/2019,Registered Voter,Economist/YouGov,18
Sanders,10,2,31/12/2019,Registered Voter,Economist/YouGov,19
Biden,10,1,31/12/2019,Registered Voter,Economist/YouGov,29
Steyer,5,8,07/01/2020,Registered Voter,Economist/YouGov,2
Bloomberg,5,7,07/01/2020,Registered Voter,Economist/YouGov,3
Klobuchar,5,7,07/01/2020,Registered Voter,Economist/YouGov,3
Gabbard,5,7,07/01/2020,Registered Voter,Economist/YouGov,3
Buttigieg,5,4,07/01/2020,Registered Voter,Economist/YouGov,7
Sanders,5,3,07/01/2020,Registered Voter,Economist/YouGov,20
Warren,5,2,07/01/2020,Registered Voter,Economist/YouGov,22
Biden,5,1,07/01/2020,Registered Voter,Economist/YouGov,27
Steyer,7,8,14/01/2020,Registered Voter,Economist/YouGov,1
Gabbard,7,7,14/01/2020,Registered Voter,Economist/YouGov,2
Klobuchar,7,6,14/01/2020,Registered Voter,Economist/YouGov,3
Bloomberg,7,5,14/01/2020,Registered Voter,Economist/YouGov,5
Buttigieg,7,4,14/01/2020,Registered Voter,Economist/YouGov,7
Warren,7,3,14/01/2020,Registered Voter,Economist/YouGov,19
Sanders,7,2,14/01/2020,Registered Voter,Economist/YouGov,20
Biden,7,1,14/01/2020,Registered Voter,Economist/YouGov,27
Steyer,7,8,21/01/2020,Likely Voter,Economist/YouGov,2
Gabbard,7,7,21/01/2020,Likely Voter,Economist/YouGov,3
Klobuchar,7,6,21/01/2020,Likely Voter,Economist/YouGov,4
Bloomberg,7,5,21/01/2020,Likely Voter,Economist/YouGov,6
Buttigieg,7,4,21/01/2020,Likely Voter,Economist/YouGov,8
Sanders,7,3,21/01/2020,Likely Voter,Economist/YouGov,18
Warren,7,2,21/01/2020,Likely Voter,Economist/YouGov,21
Biden,7,1,21/01/2020,Likely Voter,Economist/YouGov,28
Steyer,2,8,28/01/2020,Registered Voter,Economist/YouGov,1
Gabbard,2,7,28/01/2020,Registered Voter,Economist/YouGov,3
Bloomberg,2,6,28/01/2020,Registered Voter,Economist/YouGov,4
Klobuchar,2,6,28/01/2020,Registered Voter,Economist/YouGov,4
Buttigieg,2,4,28/01/2020,Registered Voter,Economist/YouGov,7
Warren,2,3,28/01/2020,Registered Voter,Economist/YouGov,20
Sanders,2,2,28/01/2020,Registered Voter,Economist/YouGov,24
Biden,2,1,28/01/2020,Registered Voter,Economist/YouGov,26
Steyer,5,8,04/02/2020,Registered Voter,Economist/YouGov,2
Gabbard,5,7,04/02/2020,Registered Voter,Economist/YouGov,3
Klobuchar,5,6,04/02/2020,Registered Voter,Economist/YouGov,6
Bloomberg,5,5,04/02/2020,Registered Voter,Economist/YouGov,9
Buttigieg,5,5,04/02/2020,Registered Voter,Economist/YouGov,9
Warren,5,3,04/02/2020,Registered Voter,Economist/YouGov,18
Sanders,5,2,04/02/2020,Registered Voter,Economist/YouGov,19
Biden,5,1,04/02/2020,Registered Voter,Economist/YouGov,24
Steyer,4,8,11/02/2020,Likely Voter,Economist/YouGov,1
Gabbard,4,7,11/02/2020,Likely Voter,Economist/YouGov,4
Klobuchar,4,6,11/02/2020,Likely Voter,Economist/YouGov,7
Buttigieg,4,5,11/02/2020,Likely Voter,Economist/YouGov,10
Bloomberg,4,4,11/02/2020,Likely Voter,Economist/YouGov,12
Warren,4,3,11/02/2020,Likely Voter,Economist/YouGov,15
Biden,4,2,11/02/2020,Likely Voter,Economist/YouGov,18
Sanders,4,1,11/02/2020,Likely Voter,Economist/YouGov,22
Steyer,6,8,18/02/2020,Likely Voter,Economist/YouGov,2
Gabbard,6,8,18/02/2020,Likely Voter,Economist/YouGov,2
Klobuchar,6,6,18/02/2020,Likely Voter,Economist/YouGov,7
Buttigieg,6,5,18/02/2020,Likely Voter,Economist/YouGov,11
Bloomberg,6,4,18/02/2020,Likely Voter,Economist/YouGov,12
Warren,6,3,18/02/2020,Likely Voter,Economist/YouGov,16
Biden,6,2,18/02/2020,Likely Voter,Economist/YouGov,18
Sanders,6,1,18/02/2020,Likely Voter,Economist/YouGov,24
Klobuchar,7,8,17/12/2019,Registered Voter,Emerson,2
Steyer,7,8,17/12/2019,Registered Voter,Emerson,2
Bloomberg,7,6,17/12/2019,Registered Voter,Emerson,3
Gabbard,7,5,17/12/2019,Registered Voter,Emerson,4
Buttigieg,7,4,17/12/2019,Registered Voter,Emerson,8
Warren,7,3,17/12/2019,Registered Voter,Emerson,12
Sanders,7,2,17/12/2019,Registered Voter,Emerson,25
Biden,7,1,17/12/2019,Registered Voter,Emerson,32
Steyer,3,8,23/01/2020,Likely Voter,Emerson,1
Gabbard,3,8,23/01/2020,Likely Voter,Emerson,1
Klobuchar,3,6,23/01/2020,Likely Voter,Emerson,4
Buttigieg,3,5,23/01/2020,Likely Voter,Emerson,6
Bloomberg,3,4,23/01/2020,Likely Voter,Emerson,7
Warren,3,3,23/01/2020,Likely Voter,Emerson,13
Sanders,3,2,23/01/2020,Likely Voter,Emerson,27
Biden,3,1,23/01/2020,Likely Voter,Emerson,30
Steyer,7,8,18/02/2020,Likely Voter,Emerson,3
Gabbard,7,7,18/02/2020,Likely Voter,Emerson,4
Klobuchar,7,6,18/02/2020,Likely Voter,Emerson,6
Buttigieg,7,5,18/02/2020,Likely Voter,Emerson,8
Warren,7,4,18/02/2020,Likely Voter,Emerson,12
Bloomberg,7,3,18/02/2020,Likely Voter,Emerson,14
Biden,7,2,18/02/2020,Likely Voter,Emerson,22
Sanders,7,1,18/02/2020,Likely Voter,Emerson,29
Gabbard,3,8,22/01/2020,Likely Voter,FOX News,0
Klobuchar,3,7,22/01/2020,Likely Voter,FOX News,3
Steyer,3,7,22/01/2020,Likely Voter,FOX News,3
Buttigieg,3,5,22/01/2020,Likely Voter,FOX News,7
Bloomberg,3,4,22/01/2020,Likely Voter,FOX News,10
Warren,3,3,22/01/2020,Likely Voter,FOX News,14
Sanders,3,2,22/01/2020,Likely Voter,FOX News,23
Biden,3,1,22/01/2020,Likely Voter,FOX News,26
Gabbard,13,8,29/12/2019,Registered Voter,Harvard-Harris,1
Klobuchar,13,7,29/12/2019,Registered Voter,Harvard-Harris,2
Steyer,13,7,29/12/2019,Registered Voter,Harvard-Harris,2
Bloomberg,13,5,29/12/2019,Registered Voter,Harvard-Harris,7
Buttigieg,13,5,29/12/2019,Registered Voter,Harvard-Harris,7
Warren,13,3,29/12/2019,Registered Voter,Harvard-Harris,12
Sanders,13,2,29/12/2019,Registered Voter,Harvard-Harris,17
Biden,13,1,29/12/2019,Registered Voter,Harvard-Harris,30
Gabbard,11,8,29/01/2020,Registered Voter,Harvard-Harris,1
Steyer,11,7,29/01/2020,Registered Voter,Harvard-Harris,2
Klobuchar,11,6,29/01/2020,Registered Voter,Harvard-Harris,3
Buttigieg,11,5,29/01/2020,Registered Voter,Harvard-Harris,6
Warren,11,4,29/01/2020,Registered Voter,Harvard-Harris,12
Bloomberg,11,3,29/01/2020,Registered Voter,Harvard-Harris,13
Sanders,11,2,29/01/2020,Registered Voter,Harvard-Harris,20
Biden,11,1,29/01/2020,Registered Voter,Harvard-Harris,31
Gabbard,6,8,11/01/2020,Registered Voter,IBD/TIPP,1
Steyer,6,7,11/01/2020,Registered Voter,IBD/TIPP,2
Klobuchar,6,6,11/01/2020,Registered Voter,IBD/TIPP,3
Bloomberg,6,5,11/01/2020,Registered Voter,IBD/TIPP,7
Buttigieg,6,4,11/01/2020,Registered Voter,IBD/TIPP,9
Sanders,6,3,11/01/2020,Registered Voter,IBD/TIPP,15
Warren,6,2,11/01/2020,Registered Voter,IBD/TIPP,20
Biden,6,1,11/01/2020,Registered Voter,IBD/TIPP,26
Gabbard,7,8,30/01/2020,Registered Voter,IBD/TIPP,1
Steyer,7,7,30/01/2020,Registered Voter,IBD/TIPP,2
Klobuchar,7,6,30/01/2020,Registered Voter,IBD/TIPP,3
Buttigieg,7,5,30/01/2020,Registered Voter,IBD/TIPP,7
