Order Number,Order Size,Box Number,Box Size,Soaps in Box,Last Box Per Box Size
5,125,1,120,120,1
5,125,2,6,5,1
3,48,1,24,24,2
3,48,2,24,24,2
2,17,1,6,6,3
2,17,2,6,6,3
2,17,3,6,5,3
6,470,1,120,120,3
6,470,2,120,120,3
6,470,3,120,120,3
6,470,4,24,24,4
6,470,5,24,24,4
6,470,6,24,24,4
6,470,7,24,24,4
6,470,8,6,6,3
6,470,9,6,6,3
6,470,10,6,2,3
1,5,1,6,5,1
7,801,1,120,120,6
7,801,2,120,120,6
7,801,3,120,120,6
7,801,4,120,120,6
7,801,5,120,120,6
7,801,6,120,120,6
7,801,7,24,24,3
7,801,8,24,24,3
7,801,9,24,24,3
7,801,10,6,6,2
7,801,11,6,3,2
4,60,1,24,24,2
4,60,2,24,24,2
4,60,3,6,6,2
4,60,4,6,6,2
