Order Number,Order Size,Box Size,Last Box Per Box Size,Box Number,Soaps in Box
5,125,120,1,1,120
6,470,120,3,1,120
6,470,120,3,2,120
6,470,120,3,3,120
7,801,120,6,1,120
7,801,120,6,2,120
7,801,120,6,3,120
7,801,120,6,4,120
7,801,120,6,5,120
7,801,120,6,6,120
3,48,24,2,1,24
3,48,24,2,2,24
4,60,24,2,1,24
4,60,24,2,2,24
6,470,24,4,4,24
6,470,24,4,5,24
6,470,24,4,6,24
6,470,24,4,7,24
7,801,24,3,7,24
7,801,24,3,8,24
7,801,24,3,9,24
1,5,6,1,1,5
2,17,6,3,1,6
2,17,6,3,2,6
2,17,6,3,3,5
4,60,6,2,3,6
4,60,6,2,4,6
5,125,6,1,2,5
6,470,6,3,8,6
6,470,6,3,9,6
6,470,6,3,10,2
7,801,6,2,10,6
7,801,6,2,11,3
