Order ID,Customer Age,Bike Value,Existing Customer?,Date,Store - Bike
1,22,481,No,25/04/2021,York - Road
2,28,1825,No,23/01/2021,York - Road
3,51,1903,No,03/07/2021,York - Rood
4,59,1059,No,24/01/2021,York - Road
5,44,1764,Yes,12/08/2021,York - Mountain
6,16,967,Yes,15/08/2021,London - Mountain
7,35,1575,Yes,13/03/2021,London - Mountain
8,50,1074,No,22/09/2021,London - Mountain
9,37,1977,No,09/02/2021,London - Gravel
10,55,1352,No,24/11/2021,Leeds - Gravel
11,57,902,No,04/10/2021,Birmingham - Road
12,31,946,Yes,17/01/2021,Leeds - Road
13,17,1296,Yes,25/10/2021,Birmingham - Road
14,59,1166,Yes,18/07/2021,Manchester - Road
15,24,1781,No,10/10/2021,Manchester - Mountaen
16,59,1074,No,06/10/2021,York - Mountain
17,57,1188,No,14/09/2021,York - Mountain
18,56,544,No,23/11/2021,York - Mountain
19,34,579,Yes,24/11/2021,York - Graval
20,17,1021,Yes,24/06/2021,York - Gravel
21,36,786,Yes,09/06/2021,London - Rowd
22,51,1596,No,02/03/2021,London - Road
23,24,745,No,20/03/2021,London - Road
24,50,1937,No,13/06/2021,London - Road
25,35,1958,No,05/08/2021,Leeds - Mountain
26,34,659,Yes,21/11/2021,Birmingham - Mountain
27,56,1403,Yes,07/04/2021,Leeds - Mountain
28,28,1347,Yes,12/02/2021,Birmingham - Mountain
29,24,1755,No,07/02/2021,Manchester - Gravle
30,54,1190,No,03/02/2021,Manchester - Gravel
31,50,1643,No,17/08/2021,York - Road
32,22,934,No,29/01/2021,York - Road
33,30,968,Yes,13/10/2021,York - Road
34,37,881,Yes,21/09/2021,York - Road
35,52,1413,Yes,02/11/2021,York - Mountain
36,59,1906,No,30/04/2021,London - Mountain
37,53,1889,No,05/04/2021,London - Mountain
38,56,1426,No,20/08/2021,London - Mountain
39,50,1116,No,01/08/2021,London - Gravel
40,15,1353,Yes,08/05/2021,Leeds - Gravel
