Bike Type,Store,Order Date,Quantity,Value per Bike,Shipping Date,Model
Mountain,Manchester,15/05/2020,4,1543,01/06/2020,GIA31292/003
Gravel,Manchester,16/06/2020,2,2076,24/06/2020,GIA21312/001
Road,Birmingham,04/05/2020,1,2616,13/05/2020,GIA94221/129
Gravel,York,05/09/2020,2,1359,19/09/2020,GIA12442/120
Gravel,Birmingham,28/03/2020,4,1599,04/04/2020,GIA12492/123
Mountain,Birmingham,08/09/2020,3,1263,28/09/2020,GIA14293/003
Gravel,Birmingham,01/01/2020,4,3140,10/01/2020,GIA31292/004
Gravel,Leeds,08/06/2020,5,1411,13/06/2020,GIA21312/002
Road,York,30/06/2020,4,1343,17/07/2020,GIA94221/130
Road,London,12/09/2020,2,3138,24/09/2020,GIA12442/121
Gravel,Leeds,30/03/2020,4,3738,18/04/2020,GIA12492/124
Mountain,Birmingham,13/10/2020,3,2401,26/10/2020,GIA14293/004
Mountain,Manchester,11/06/2020,5,3547,28/06/2020,GIA31292/005
Mountain,London,17/07/2020,4,2661,04/08/2020,GIA31292/004
Mountain,London,25/02/2020,2,1188,10/03/2020,GIA21312/002
Gravel,London,01/01/2020,5,780,09/01/2020,GIA94221/130
Gravel,London,18/12/2020,4,2324,23/12/2020,GIA12442/121
Mountain,Birmingham,21/10/2020,5,1867,08/11/2020,GIA12492/124
Mountain,Leeds,06/02/2020,2,773,26/02/2020,GIA14293/004
Mountain,London,11/10/2020,5,2979,14/10/2020,GIA31292/005
Gravel,Leeds,05/01/2020,1,2389,22/01/2020,GIA21312/003
Mountain,York,16/06/2020,3,1041,22/06/2020,GIA94221/131
Mountain,York,27/05/2020,4,1317,12/06/2020,GIA12442/122
Gravel,Birmingham,04/06/2020,5,3880,18/06/2020,GIA12492/125
Road,Birmingham,11/09/2020,5,820,15/09/2020,GIA14293/005
Gravel,Birmingham,25/04/2020,5,1344,01/05/2020,GIA31292/006
Road,York,17/04/2020,5,3292,23/04/2020,GIA31292/005
