Brand,Bike Type,Quantity Sold,Order Value,"Avg Bike Value Sold per Brand, Type"
BROM,Gravel,186,433885,2335.5
BROM,Mountain,277,674770,2359.3
BROM,Road,257,656539,2500.7
GIA,Gravel,323,733087,2303.2
GIA,Mountain,425,1021329,2378.9
GIA,Road,407,896695,2184.7
KONA,Gravel,324,791841,2463.7
KONA,Mountain,330,820537,2487.0
KONA,Road,273,647684,2430.2
ORRO,Gravel,151,411644,2640.0
ORRO,Mountain,87,206550,2382.4
ORRO,Road,84,181300,2237.7
SPEC,Gravel,974,2295397,2355.6
SPEC,Mountain,960,2344504,2422.7
SPEC,Road,937,2195597,2356.3
