Store,Customer Type,Product,Products Sold
Manchester,Existing,Bags,171
York,New,Bags,305
York,Existing,Saddles,110
Birmingham,New,Bags,312
Leeds,New,Bags,233
Manchester,Existing,Saddles,152
Manchester,Existing,Wheels,138
London,Existing,Bags,229
Birmingham,Existing,Saddles,185
London,New,Saddles,123
York,New,Mudguards,301
Manchester,New,Mudguards,180
York,Existing,Wheels,137
Leeds,New,Mudguards,270
London,New,Bags,251
Birmingham,New,Mudguards,256
London,New,Wheels,115
Birmingham,New,Saddles,123
London,New,Mudguards,291
Leeds,New,Saddles,106
Manchester,Existing,Mudguards,258
York,New,Saddles,94
Leeds,New,Wheels,158
London,Existing,Saddles,163
York,New,Wheels,95
Birmingham,Existing,Mudguards,266
Manchester,New,Saddles,97
Birmingham,Existing,Wheels,78
Birmingham,New,Wheels,137
York,Existing,Mudguards,269
Manchester,New,Bags,286
Leeds,Existing,Bags,246
Manchester,New,Wheels,123
Leeds,Existing,Wheels,108
York,Existing,Bags,130
London,Existing,Wheels,129
London,Existing,Mudguards,182
Birmingham,Existing,Bags,218
Leeds,Existing,Mudguards,180
Leeds,Existing,Saddles,146
