Quarter,Rank,Store,Products Sold,Target,Variance to Target
1,2.0,Birmingham,477,475,2
2,2.0,Birmingham,346,325,21
3,2.0,Birmingham,348,300,48
4,3.0,Birmingham,404,400,4
1,3.0,Leeds,488,490,-2
2,3.0,Leeds,331,325,6
3,4.0,Leeds,279,300,-21
4,5.0,Leeds,349,400,-51
1,5.0,London,425,475,-50
2,4.0,London,324,325,-1
3,3.0,London,312,300,12
4,1.0,London,422,400,22
1,4.0,Manchester,440,475,-35
2,5.0,Manchester,288,300,-12
3,1.0,Manchester,350,300,50
4,4.0,Manchester,327,330,-3
1,1.0,York,499,490,9
2,1.0,York,329,300,29
3,5.0,York,273,300,-27
4,2.0,York,340,330,10
