Product,Description
Tesco Guacamole,"A blend of avocado with tomato, coriander and red chilli."
Jammie Dodgers Jam Biscuits,Shortcake biscuits with a raspberry flavoured apple jam.
Tesco Jelly Beans,Assorted fruit flavour jelly beans.
Belvita Soft Filled Chocolate Biscuits,Soft baked biscuits made with wholegrain cereals and a chocolate-hazelnut flavour filling (15 %) and added minerals.
Tesco Dark Chocolate Digestives,Digestive biscuits half coated in dark chocolate
Doritos Chilli Heatwave Tortilla Chips,Chilli Heatwave Flavour Corn Chips
Pringles Bbq,Texas Barbecue Sauce Flavour Savoury Snack
Greggs Glazed Ring Doughnuts,A ring doughnut topped with fondant icing.
Tesco Bacon Rashers Snacks,"Bacon flavour baked snacks made with maize, rice and soya."
Rowntrees Fruit Pastilles,Fruit Pastilles
Co-op Bakery 5 Jam Ball Doughnuts,Jam Doughnut 5s
Graze Cocoa & Vanilla Bar,Wholegrain oat cocoa & vanilla flavoured flapjacks with mixed seeds & soy protein
Alpen Light Jaffa Cake Cereal Bars,Mixed cereal bar with orange flavoured fruity pieces and plain chocolate with a plain chocolate drizzle
Starburst Fruit Chews,"Chewy Candy with Apple, Orange, Blackcurrant, Strawberry, Lime and Lemon Flavours and Concentrated Fruit Juices."
Lotus Biscoff Sandwich Original Cream,Caramelised sandwich biscuits with a biscoff cream filling.
Green & Blacks Mint Dark Chocolate,Chocolate with peppermint oil.
Oreos Original Vanilla,Chocolate Flavour Sandwich Biscuits with a Vanilla Flavour Filling
Nestle Frosted Shreddies Cereal,Sugar Frosted Fortified Whole Wheat Malted Cereal
Cadbury Bourneville Chocolate Fingers,Crisp biscuits covered with dark chocolate (48 %).
Nestle Cookie Crisp Cereal,Fortified Crispy Wheat and Maize Cereal with Chocolate Flavour Chips
