Session #,Customer ID,Song Order,Date,Artist,Song
95,23d93f,1,04/01/2021 13:00:00,Lady Gaga & Bradley Cooper,Shallow
269,9e17fe,1,26/01/2021 14:00:00,Queen,We Will Rock You
269,9e17fe,2,26/01/2021 14:03:00,Mariah Carey,All I Want For Christmas Is You
25,8bc93d,1,25/12/2020 22:00:00,The Beatles,Hey Jude
25,8bc93d,2,25/12/2020 22:03:00,Queen,Don’t Stop Me Now
25,8bc93d,3,25/12/2020 22:06:00,Lady Gaga & Bradley Cooper,Shallow
25,8bc93d,4,25/12/2020 22:09:00,Camilla Cabello Ft. Young Thug,Havana
25,8bc93d,5,25/12/2020 22:11:00,Queen,Don’t Stop Me Now
25,8bc93d,6,25/12/2020 22:14:00,Dirty Dancing,The Time Of My Life
25,8bc93d,7,25/12/2020 22:17:00,Lil Nas X,Old Town Road
25,8bc93d,8,25/12/2020 22:20:00,Mariah Carey,All I Want For Christmas Is You
194,01fc7c,1,16/01/2021 16:00:00,The Lion King,Can You Feel The Love Tonight
194,01fc7c,2,16/01/2021 16:02:00,Outkast,Hey Ya
194,01fc7c,3,16/01/2021 16:05:00,Journey,Don’t Stop Believin’
194,01fc7c,4,16/01/2021 16:08:00,Ed Sheeran,Castle On The Hill
47,b5f816,1,29/12/2020 13:00:00,Pinkfong,Baby Shark
47,b5f816,2,29/12/2020 13:03:00,Guns N’ Roses,Sweet Child O’ Mine
66,1d80ad,1,31/12/2020 18:00:00,The Proclaimers,I’m Gonna Be (500 Miles)
66,1d80ad,2,31/12/2020 18:03:00,The Little Mermaid,Part Of Your World
272,a59dd7,1,26/01/2021 21:00:00,Cher,Believe
272,a59dd7,2,26/01/2021 21:03:00,Aqua,Barbie Girl
145,a2b2d8,1,10/01/2021 11:00:00,The Human League,Don’t You Want Me Baby
145,a2b2d8,2,10/01/2021 11:03:00,Mark Ronson Ft. Amy Winehouse,Valerie
145,a2b2d8,3,10/01/2021 11:06:00,George Ezra,Shotgun
254,a5632d,1,24/01/2021 20:00:00,Alexandra Burke,Hallelujah
254,a5632d,2,24/01/2021 20:03:00,The Human League,Don’t You Want Me Baby
254,a5632d,3,24/01/2021 20:06:00,Cher,Believe
12,4999af,1,24/12/2020 02:00:00,Loren Allred,Never Enough (The Greatest Showman)
12,4999af,2,24/12/2020 02:02:00,John Denver,"Take Me Home, Country Roads"
120,0cf9e6,1,07/01/2021 04:00:00,Britney Spears,Baby One More Time
120,0cf9e6,2,07/01/2021 04:02:00,Queen,I Want To Break Free
