Rank,Area,Product Name,Revenue,% of Total - Product
3,Aberdeen,Hand Sanitiser,353,9.66
2,Arbroath,Hand Sanitiser,847,21.39
3,Ardgay,Hand Sanitiser,540,14.43
1,Ashford (Kent),Hand Sanitiser,1026,45.44
3,Aylesbury,Hand Sanitiser,815,18.76
3,Castle Douglas,Hand Sanitiser,412,12.81
3,Cemmaes Road,Hand Sanitiser,1028,25.54
3,Colwyn Bay,Hand Sanitiser,401,12.2
3,Darlington,Hand Sanitiser,469,17.23
3,Dorchester,Hand Sanitiser,250,4.49
3,Edinburgh,Hand Sanitiser,712,23.34
2,Ellon,Hand Sanitiser,909,33.68
2,Enniskillen,Hand Sanitiser,996,31.79
2,Great Yarmouth,Hand Sanitiser,1152,34.22
3,Guernsey,Hand Sanitiser,263,6.83
2,Haverfordwest,Hand Sanitiser,721,26.77
2,Helmsley,Hand Sanitiser,774,24.48
2,Holbeach,Hand Sanitiser,1308,38.28
3,Holsworthy,Hand Sanitiser,330,7.88
2,Huddersfield,Hand Sanitiser,872,44.42
3,Insch,Hand Sanitiser,273,6.62
2,Inveraray,Hand Sanitiser,440,15.39
3,Inverurie,Hand Sanitiser,277,8.12
3,Kettering,Hand Sanitiser,579,13.47
3,Kings Lynn,Hand Sanitiser,664,20.6
3,Knighton,Hand Sanitiser,859,20.09
3,Lowestoft,Hand Sanitiser,444,8.71
3,Lydney,Hand Sanitiser,181,4.48
3,Maidstone,Hand Sanitiser,657,19.46
3,Manchester,Hand Sanitiser,621,14.17
3,Market Weighton,Hand Sanitiser,273,7.02
2,Matlock,Hand Sanitiser,698,22.79
3,Merthyr Tydfil,Hand Sanitiser,520,12.96
2,Millom,Hand Sanitiser,827,26.0
2,Newton Stewart,Hand Sanitiser,1134,42.05
3,Rugby,Hand Sanitiser,497,12.89
3,Sanquhar,Hand Sanitiser,346,7.87
2,St Andrews,Hand Sanitiser,882,24.45
3,St Austell,Hand Sanitiser,474,16.19
3,St Helens,Hand Sanitiser,589,14.89
3,Thornhill,Hand Sanitiser,721,17.56
