Evolution Group,#,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type,First Evolution
Moltres, 146,Moltres,580,90,100,90,125,85,90,,,,,,
Eevee, 133,Eevee,325,55,55,50,45,65,55,,Umbreon,,Nighttime,Happiness,
Venonat, 049,Venomoth,450,70,65,60,90,75,90,Venonat,,,,,
Numel, 323,Camerupt,460,70,100,70,105,75,40,Numel,,,,,
Wailmer, 321,Wailord,500,170,90,45,90,45,60,Wailmer,,,,,
Nincada, 291,Ninjask,456,61,90,45,50,50,160,Nincada,,,,,
Eevee, 133,Eevee,325,55,55,50,45,65,55,,Vaporeon,,Water Stone,Stone,
Seedot, 275,Shiftry,480,90,100,60,90,60,80,Nuzleaf,,,,,Seedot
Doduo, 084,Doduo,310,35,85,45,35,35,75,,Dodrio,31,,Level,
Ledyba, 166,Ledian,390,55,35,50,55,110,85,Ledyba,,,,,
Cubone, 104,Cubone,320,50,50,95,40,50,35,,Marowak,28,,Level,
Lunatone, 337,Lunatone,440,70,55,65,95,85,70,,,,,,
Voltorb, 100,Voltorb,330,40,30,50,55,55,100,,Electrode,30,,Level,
Oddish, 182,Bellossom,480,75,80,85,90,100,50,Gloom,,,,,Oddish
Electrike, 310,Manectric,475,70,75,60,105,60,105,Electrike,,,,,
Munchlax, 143,Snorlax,540,160,110,65,65,110,30,Munchlax,,,,,
Squirtle, 009,Blastoise,530,79,83,100,85,105,78,Wartortle,,,,,Squirtle
Bellsprout, 069,Bellsprout,300,50,75,35,70,30,40,,Weepinbell,21,,Level,
Staryu, 121,Starmie,520,60,75,85,100,85,115,Staryu,,,,,
Qwilfish, 211,Qwilfish,430,65,95,75,55,55,85,,,,,,
Larvitar, 248,Tyranitar,600,100,134,110,95,100,61,Pupitar,,,,,Larvitar
Snubbull, 210,Granbull,450,90,120,75,60,60,45,Snubbull,,,,,
Spearow, 022,Fearow,442,65,90,65,61,61,100,Spearow,,,,,
Slakoth, 288,Vigoroth,440,80,80,80,55,55,90,Slakoth,Slaking,36,,Level,
Shuppet, 353,Shuppet,295,44,75,35,63,33,45,,Banette,37,,Level,
Sunkern, 192,Sunflora,425,75,75,55,105,85,30,Sunkern,,,,,
Trapinch, 328,Trapinch,290,45,100,45,45,45,10,,Vibrava,35,,Level,
Grimer, 088,Grimer,325,80,80,50,40,50,25,,Muk,38,,Level,
Baltoy, 344,Claydol,500,60,70,105,70,120,75,Baltoy,,,,,
Beldum, 374,Beldum,300,40,55,80,35,60,30,,Metang,20,,Level,
Totodile, 158,Totodile,314,50,65,64,44,48,43,,Croconaw,18,,Level,
Ho-oh, 250,Ho-oh,680,106,130,90,110,154,90,,,,,,
Shuckle, 213,Shuckle,505,20,10,230,10,230,5,,,,,,
Exeggcute, 102,Exeggcute,325,60,40,80,60,45,40,,Exeggutor,,Leaf Stone,Stone,
Seedot, 274,Nuzleaf,340,70,70,40,60,40,60,Seedot,Shiftry,,Leaf Stone,Stone,
Wurmple, 265,Wurmple,195,45,45,35,20,30,20,,Silcoon,7,"Random, based on personality",Level,
Lotad, 270,Lotad,220,40,30,30,40,50,30,,Lombre,14,,Level,
Igglybuff, 039,Jigglypuff,270,115,45,20,45,25,20,Igglybuff,Wigglytuff,,Moon Stone,Stone,
Solrock, 338,Solrock,440,70,95,85,55,65,70,,,,,,
Wooper, 194,Wooper,210,55,45,45,25,25,15,,Quagsire,20,,Level,
Mareep, 180,Flaaffy,365,70,55,55,80,60,45,Mareep,Ampharos,30,,Level,
Tyrogue, 236,Tyrogue,210,35,35,35,35,35,35,,Hitmontop,20,Attack = Defense,Level,
Zubat, 169,Crobat,535,85,90,80,70,80,130,Golbat,,,,,Zubat
Phanpy, 231,Phanpy,330,90,60,60,40,40,40,,Donphan,25,,Level,
Swinub, 220,Swinub,250,50,50,40,30,30,50,,Piloswine,33,,Level,
Aron, 304,Aron,330,50,70,100,40,40,30,,Lairon,32,,Level,
Omanyte, 138,Omanyte,355,35,40,100,90,55,35,,Omastar,40,,Level,
Elekid, 239,Elekid,360,45,63,37,65,55,95,,Electabuzz,30,,Level,
Teddiursa, 217,Ursaring,500,90,130,75,75,75,55,Teddiursa,,,,,
Surskit, 283,Surskit,269,40,30,32,50,52,65,,Masquerain,22,,Level,
Mew, 151,Mew,600,100,100,100,100,100,100,,,,,,
Vulpix, 038,Ninetales,505,73,76,75,81,100,100,Vulpix,,,,,
Corsola, 222,Corsola,380,55,55,85,65,85,35,,,,,,
Magby, 240,Magby,365,45,75,37,70,55,83,,Magmar,30,,Level,
Horsea, 230,Kingdra,540,75,95,95,95,95,85,Seadra,,,,,Horsea
Elekid, 125,Electabuzz,490,65,83,57,95,85,105,Elekid,,,,,
Spoink, 325,Spoink,330,60,25,35,70,80,60,,Grumpig,32,,Level,
Igglybuff, 040,Wigglytuff,425,140,70,45,75,50,45,Jigglypuff,,,,,Igglybuff
Duskull, 356,Dusclops,455,40,70,130,60,130,25,Duskull,,,,,
