Evolution Group,#,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type,First Evolution
Bulbasaur, 001,Bulbasaur,318,45,49,49,65,65,45,,Ivysaur,16.0,,Level,
Bulbasaur, 002,Ivysaur,405,60,62,63,80,80,60,Bulbasaur,Venusaur,32.0,,Level,
Bulbasaur, 003,Venusaur,525,80,82,83,100,100,80,Ivysaur,,,,,Bulbasaur
Charmander, 004,Charmander,309,39,52,43,60,50,65,,Charmeleon,16.0,,Level,
Charmander, 005,Charmeleon,405,58,64,58,80,65,80,Charmander,Charizard,36.0,,Level,
Charmander, 006,Charizard,534,78,84,78,109,85,100,Charmeleon,,,,,Charmander
Squirtle, 007,Squirtle,314,44,48,65,50,64,43,,Wartortle,16.0,,Level,
Squirtle, 008,Wartortle,405,59,63,80,65,80,58,Squirtle,Blastoise,36.0,,Level,
Squirtle, 009,Blastoise,530,79,83,100,85,105,78,Wartortle,,,,,Squirtle
Caterpie, 010,Caterpie,195,45,30,35,20,20,45,,Metapod,7.0,,Level,
Caterpie, 011,Metapod,205,50,20,55,25,25,30,Caterpie,Butterfree,10.0,,Level,
Caterpie, 012,Butterfree,385,60,45,50,80,80,70,Metapod,,,,,Caterpie
Weedle, 013,Weedle,195,40,35,30,20,20,50,,Kakuna,7.0,,Level,
Weedle, 014,Kakuna,205,45,25,50,25,25,35,Weedle,Beedrill,10.0,,Level,
Weedle, 015,Beedrill,385,65,80,40,45,80,75,Kakuna,,,,,Weedle
Pidgey, 016,Pidgey,251,40,45,40,35,35,56,,Pidgeotto,18.0,,Level,
Pidgey, 017,Pidgeotto,349,63,60,55,50,50,71,Pidgey,Pidgeot,36.0,,Level,
Pidgey, 018,Pidgeot,469,83,80,75,70,70,91,Pidgeotto,,,,,Pidgey
Rattata, 019,Rattata,253,30,56,35,25,35,72,,Raticate,20.0,,Level,
Rattata, 020,Raticate,413,55,81,60,50,70,97,Rattata,,,,,
Spearow, 021,Spearow,262,40,60,30,31,31,70,,Fearow,20.0,,Level,
Spearow, 022,Fearow,442,65,90,65,61,61,100,Spearow,,,,,
Ekans, 023,Ekans,288,35,60,44,40,54,55,,Arbok,22.0,,Level,
Ekans, 024,Arbok,438,60,85,69,65,79,80,Ekans,,,,,
Pichu, 025,Pikachu,300,35,55,30,50,40,90,Pichu,Raichu,,Thunderstone,Stone,
Pichu, 026,Raichu,475,60,90,55,90,80,100,Pikachu,,,,,Pichu
Sandshrew, 027,Sandshrew,300,50,75,85,20,30,40,,Sandslash,22.0,,Level,
Sandshrew, 028,Sandslash,450,75,100,110,45,55,65,Sandshrew,,,,,
Nidoran♀, 029,Nidoran♀,275,55,47,52,40,40,41,,Nidorina,16.0,,Level,
Nidoran♀, 030,Nidorina,365,70,62,67,55,55,56,Nidoran♀,Nidoqueen,,Moon Stone,Stone,
Nidoran♀, 031,Nidoqueen,495,90,82,87,75,85,76,Nidorina,,,,,Nidoran♀
Nidoran♂, 032,Nidoran♂,273,46,57,40,40,40,50,,Nidorino,16.0,,Level,
Nidoran♂, 033,Nidorino,365,61,72,57,55,55,65,Nidoran♂,Nidoking,,Moon Stone,Stone,
Nidoran♂, 034,Nidoking,495,81,92,77,85,75,85,Nidorino,,,,,Nidoran♂
Cleffa, 035,Clefairy,323,70,45,48,60,65,35,Cleffa,Clefable,,Moon Stone,Stone,
Cleffa, 036,Clefable,473,95,70,73,85,90,60,Clefairy,,,,,Cleffa
Vulpix, 037,Vulpix,299,38,41,40,50,65,65,,Ninetales,,Fire Stone,Stone,
Vulpix, 038,Ninetales,505,73,76,75,81,100,100,Vulpix,,,,,
Igglybuff, 039,Jigglypuff,270,115,45,20,45,25,20,Igglybuff,Wigglytuff,,Moon Stone,Stone,
Igglybuff, 040,Wigglytuff,425,140,70,45,75,50,45,Jigglypuff,,,,,Igglybuff
Zubat, 041,Zubat,245,40,45,35,30,40,55,,Golbat,22.0,,Level,
Zubat, 042,Golbat,455,75,80,70,65,75,90,Zubat,Crobat,,,Happiness,
Oddish, 043,Oddish,320,45,50,55,75,65,30,,Gloom,21.0,,Level,
Oddish, 044,Gloom,395,60,65,70,85,75,40,Oddish,Vileplume,,Leaf Stone,Stone,
Oddish, 044,Gloom,395,60,65,70,85,75,40,Oddish,Bellossom,,Sun Stone,Stone,
Oddish, 045,Vileplume,480,75,80,85,100,90,50,Gloom,,,,,Oddish
Paras, 046,Paras,285,35,70,55,45,55,25,,Parasect,24.0,,Level,
Paras, 047,Parasect,405,60,95,80,60,80,30,Paras,,,,,
Venonat, 048,Venonat,305,60,55,50,40,55,45,,Venomoth,31.0,,Level,
Venonat, 049,Venomoth,450,70,65,60,90,75,90,Venonat,,,,,
Diglett, 050,Diglett,265,10,55,25,35,45,95,,Dugtrio,26.0,,Level,
Diglett, 051,Dugtrio,405,35,80,50,50,70,120,Diglett,,,,,
Meowth, 052,Meowth,290,40,45,35,40,40,90,,Persian,28.0,,Level,
Meowth, 053,Persian,440,65,70,60,65,65,115,Meowth,,,,,
Psyduck, 054,Psyduck,320,50,52,48,65,50,55,,Golduck,33.0,,Level,
Psyduck, 055,Golduck,500,80,82,78,95,80,85,Psyduck,,,,,
Mankey, 056,Mankey,305,40,80,35,35,45,70,,Primeape,28.0,,Level,
Mankey, 057,Primeape,455,65,105,60,60,70,95,Mankey,,,,,
Growlithe, 058,Growlithe,350,55,70,45,70,50,60,,Arcanine,,Fire Stone,Stone,
Growlithe, 059,Arcanine,555,90,110,80,100,80,95,Growlithe,,,,,
Poliwag, 060,Poliwag,300,40,50,40,40,40,90,,Poliwhirl,25.0,,Level,
Poliwag, 061,Poliwhirl,385,65,65,65,50,50,90,Poliwag,Poliwrath,,Water Stone,Stone,
Poliwag, 061,Poliwhirl,385,65,65,65,50,50,90,Poliwag,Politoed,,King's Rock,Trade,
Poliwag, 062,Poliwrath,500,90,85,95,70,90,70,Poliwhirl,,,,,Poliwag
Abra, 063,Abra,310,25,20,15,105,55,90,,Kadabra,16.0,,Level,
Abra, 064,Kadabra,400,40,35,30,120,70,105,Abra,Alakazam,,,Trade,
Abra, 065,Alakazam,490,55,50,45,135,85,120,Kadabra,,,,,Abra
Machop, 066,Machop,305,70,80,50,35,35,35,,Machoke,28.0,,Level,
Machop, 067,Machoke,405,80,100,70,50,60,45,Machop,Machamp,,,Trade,
Machop, 068,Machamp,505,90,130,80,65,85,55,Machoke,,,,,Machop
Bellsprout, 069,Bellsprout,300,50,75,35,70,30,40,,Weepinbell,21.0,,Level,
Bellsprout, 070,Weepinbell,390,65,90,50,85,45,55,Bellsprout,Victreebel,,Leaf Stone,Stone,
Bellsprout, 071,Victreebel,480,80,105,65,100,60,70,Weepinbell,,,,,Bellsprout
Tentacool, 072,Tentacool,335,40,40,35,50,100,70,,Tentacruel,30.0,,Level,
Tentacool, 073,Tentacruel,515,80,70,65,80,120,100,Tentacool,,,,,
Geodude, 074,Geodude,300,40,80,100,30,30,20,,Graveler,25.0,,Level,
Geodude, 075,Graveler,390,55,95,115,45,45,35,Geodude,Golem,,,Trade,
Geodude, 076,Golem,485,80,110,130,55,65,45,Graveler,,,,,Geodude
Ponyta, 077,Ponyta,410,50,85,55,65,65,90,,Rapidash,40.0,,Level,
Ponyta, 078,Rapidash,500,65,100,70,80,80,105,Ponyta,,,,,
Slowpoke, 079,Slowpoke,315,90,65,65,40,40,15,,Slowbro,37.0,,Level,
Slowpoke, 079,Slowpoke,315,90,65,65,40,40,15,,Slowking,,King's Rock,Trade,
Slowpoke, 080,Slowbro,490,95,75,110,100,80,30,Slowpoke,,,,,
Magnemite, 081,Magnemite,325,25,35,70,95,55,45,,Magneton,30.0,,Level,
Magnemite, 082,Magneton,465,50,60,95,120,70,70,Magnemite,,,,,
Farfetch'd, 083,Farfetch'd,352,52,65,55,58,62,60,,,,,,
Doduo, 084,Doduo,310,35,85,45,35,35,75,,Dodrio,31.0,,Level,
Doduo, 085,Dodrio,460,60,110,70,60,60,100,Doduo,,,,,
Seel, 086,Seel,325,65,45,55,45,70,45,,Dewgong,34.0,,Level,
Seel, 087,Dewgong,475,90,70,80,70,95,70,Seel,,,,,
Grimer, 088,Grimer,325,80,80,50,40,50,25,,Muk,38.0,,Level,
Grimer, 089,Muk,500,105,105,75,65,100,50,Grimer,,,,,
Shellder, 090,Shellder,305,30,65,100,45,25,40,,Cloyster,,Water Stone,Stone,
Shellder, 091,Cloyster,525,50,95,180,85,45,70,Shellder,,,,,
