id,Series-Measure,Hierarchy-Breakdown,Unit-Detail,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
1103,Total tourist arrivals,Real Sector / Tourism,Tourists,67478,77063,74975,60742,58324,44050,57232,66315,62524,74707,74252,74255,79493,87392,80732,79947,64456,55947,72516,76828,71861,91059,85501,85601,96146,83252,76469,79288,63534,59379,76966,79768,76806,92391,82311,91717,88869,104745,99498,90636,79426,76493,87972,98338,92298,107331,94584,105012,105296,110705,105560,105309,91296,83347,100191,104186,95114,110331,89778,103744,97073,120468,112427,102242,95389,81506,104517,110144,95511,105498,90218,119255,108396,120639,115131,103493,93228,79034,110432,112282,101909,117489,104572,119530,125336,121052,112665,119774,93491,85222,113175,121310,105984,127986,120506,143041,142351,144286,133466,119713,92913,93786,122332,123992,107620,127393,125604,150818,151552,168583,162843,163114,103022,113475,132144,139338,117619,141928,137921,171348,173347,149785,59630,13,41,1,1752,7636,9605,21515,35757,96412
1104,"Tourist bednights ",Real Sector / Tourism,Bednights,552287,578472,581848,503007,443824,327385,428503,498208,445473,542924,543239,541172,612409,614828,624439,591583,468857,376347,478483,519711,479652,595717,583751,583423,677956.842,619652.8382,601890.4624,577131.235,475421.8961,385689.8737,494986.8781,544248.5645,471493.0029,611839.9554,559671.0019,590888.9767,647368.6793,667506.0893,702958.298,609496.8377,550942.4002,432364.6313,533512.9939,617327.6032,541303.1588,677180.1538,605731.7239,653633.6526,702057.2397,701834.8322,706437.3219,673309.9897,577519.5277,472676.9585,576664.6498,644401.8675,550854.3309,684193.7193,572968.686,642703.1392,663541.5377,713662.1829,692862.6011,640521.6015,575317.1805,447882.4887,570407.3967,634864.8703,545085.5367,638669.9317,566992.2652,632875.4757,658991.0226,749459.8239,746568.5003,655921.901,573465.3136,443937.1314,629327.1925,679120.2419,589810.6682,706407.5311,651958.8823,685954.4335,800126.3561,772412.9896,750431.7574,742497.6175,601496.3682,480889.6402,688020.7346,746618.1234,604114.7511,794510.6343,751130.1224,863790.0662,941496.9373,925585.2005,873729.2709,796839.9451,641543.8859,544549.7083,743513.8193,822923.1135,648410.8223,820686.7935,809163.6272,909237.1655,998457.1568,1019637.2701,1006770.3041,981769.3346,717991.8794,714606.9803,776707.9719,910642.623,708842.0191,916411.3348,887046.0509,1050365.3306,1142718.3893,1020309.6683,562302.2051,8844.0203,4776.6212,2325.8012,24673.4247,71370.6948,75367.8621,169709.0807,279030.282,623284.397
1105,Average stay,Real Sector / Tourism,Days,8.184697,7.506481,7.76056,8.281041,7.609628,7.432122,7.487122,7.512749,7.124832,7.267377,7.316153,7.288021,7.703936,7.035289,7.734714,7.399689,7.274062,6.726848,6.598309,6.764604,6.674719,6.542099,6.827417,6.815609,7.0513,7.4431,7.871,7.2789,7.483,6.4954,6.4312,6.8229,6.1388,6.6223,6.7995,6.4425,7.2845,6.3727,7.065,6.7247,6.9365,5.6523,6.0646,6.2776,5.8647,6.3093,6.4042,6.2244,6.6675,6.3397,6.6923,6.3937,6.3258,5.6712,5.7557,6.1851,5.7915,6.2013,6.3821,6.1951,6.8355,5.9241,6.1628,6.2648,6.0313,5.4951,5.4576,5.764,5.707,6.0539,6.2847,5.3069,6.0795,6.2124,6.4845,6.3378,6.1512,5.617,5.6988,6.0483,5.7876,6.0125,6.2345,5.7388,6.3839,6.3808,6.6607,6.1992,6.4337,5.6428,6.0793,6.1546,5.7001,6.2078,6.2331,6.0388,6.6139,6.4149,6.5465,6.6563,6.9048,5.8063,6.0778,6.6369,6.025,6.4422,6.4422,5.9896,6.5882,6.0483,6.1825,6.0189,6.9693,6.2975,5.8777,6.5355,6.0266,6.4569,6.4316,6.13,6.5920863312703,6.8118280755823,9.4298541854713,9.428593030082,86.847657368888,42.287293761914,14.083004941515,9.3485538100132,9.4824196160074,9.6159959503923,8.877098540146,9.1055876952922
1106,Operational bed capacity,Real Sector / Tourism,Beds,22825,23472,23934,24124,23885,23585,23525,23618,23694,23454,23707,23962,24134,24650,24814,25040,24634,24587,24206,24296,24284,24205,24322,24747,26177,26313,26487,26547,26566,26524,26862,27021,27188,27229,27335,27329,27507,27557,27787,27949,27781,27678,27824,27948,28138,28234,28610,28962,29074,29183,29445,29540,29266,28938,29684,29652,29703,29625,29815,30258,31029,31068,31307,31212,31301,31089,31138,31274,31477,31406,32138,32648,32548,32741,32874,33188,33284,33160,33581,33745,33967,34114,35807,36618,36225,37133,37773,37817,38264,38648,38979,39074,39262,39545,39816,40572,40943,40807,41137,41835,41513,41503,41534,41780,42355,42501,42960,43660,44266,44680,45216,45936,47196,47477,47174,47102,49213,49450,49658,49924,50679,50926,51001,7690,2978,3078,9821,19263,25328,32600,37378,42194
1107,Bednight capacity,Real Sector / Tourism,Beds,707575,657216,741954,723720,740435,707550,729275,732158,710820,727074,711210,742822,748154,690200,769234,751200,763654,737610,750386,753176,728520,750355,729660,767157,811487,763077,821097,796410,823546,795720,832722,837651,815640,844099,820050,847199,852717,771596,861397,838470,861211,830340,862544,866388,844140,875254,858300,897822,901294,817124,912795,886200,907246,868140,920204,919212,891090,918375,894450,937998,961899,869904,970517,936360,970331,932670,965278,969494,944310,973586,964140,1012088,1008988,949489,1019094,995640,1031804,994800,1041011,1046095,1019010,1057534,1074210,1135158,1122975,1039724,1170963,1134510,1186184,1159440,1208349,1211294,1177860,1225895,1194480,1257732,1269233,1142596,1275247,1255050,1286903,1245090,1287554,1295180,1270650,1317531,1288800,1353460,1372246,1251040,1401696,1378080,1463076,1424310,1462394,1460162,1476390,1532950,1489740,1547644,1571049,1476854,1581031,230700,92318,92340,304451,597153,759840,1010600,1121340,1308014
1108,Registered bed capacity,Real Sector / Tourism,Beds,24762,25023,25079,25217,25296,25304,25277,25315,25492,25654,25551,25701,25731,25874,26074,26178,26322,26337,26347,26407,26451,26785,26875,26896,26974,27187,27431,27557,27594,27844,27862,27854,27925,28018,28090,28120,28240,28302,28396,28466,28532,28615,28701,28825,29072,29406,29529,30019,29815,29885,30271,30368,30348,30488,30658,30696,30803,30812,31223,31673,32031,32122,32345,32443,32614,32694,32740,32902,33041,33415,33591,34085,34012,34152,34364,34548,34912,35086,35517,35681,35809,36062,36714,37374,37575,38146,38719,39070,39505,39570,39799,39937,39991,40169,40694,41255,41602,41710,42050,42688,42736,42822,42929,43099,43660,43806,44345,44860,45565,46073,47107,47351,48603,48873,49189,49740,50802,51039,51149,51432,52016,52263,52319,52319,52319,52287,52236,52361,52311,52867,52968,51827
1109,Occupancy rate,Real Sector / Tourism,Percent,78.0534%,88.0185%,78.421%,69.5029%,59.9409%,46.2702%,58.7573%,68.0465%,62.6702%,74.6724%,76.3823%,72.8535%,81.856%,89.0796%,81.1767%,78.7517%,61.3965%,51.0224%,63.7649%,69.0025%,65.8392%,79.3913%,80.0031%,76.05%,83.545%,81.2044%,73.3032%,72.4665%,57.7286%,48.4705%,59.442%,64.9731%,57.8065%,72.4843%,68.2483%,69.7461%,75.9183%,86.5097%,81.6067%,72.6915%,63.9729%,52.0707%,61.8534%,71.253%,64.1248%,77.3695%,70.5734%,72.8021%,77.8943%,85.8908%,77.3927%,75.9772%,63.6563%,54.447%,62.667%,70.1037%,61.818%,74.5004%,64.0582%,68.5186%,68.9824%,82.0391%,71.391%,68.4054%,59.2908%,48.0215%,59.0925%,65.4841%,57.7231%,65.5997%,58.808%,62.5316%,65.312%,78.9329%,73.258%,65.8794%,55.5789%,44.6257%,60.4534%,64.9195%,57.8807%,66.7976%,60.6919%,60.4281%,71.2505%,74.2901%,64.0867%,65.4465%,50.7085%,41.476%,56.9389%,61.638%,51.2891%,64.8106%,62.8834%,68.6783%,74.1784%,81.0072%,68.5145%,63.4906%,49.8517%,43.7357%,57.7462%,63.5373%,51.0298%,62.2897%,62.7842%,66.7425%,72.7607%,81.5031%,71.8251%,71.2418%,49.0741%,50.1721%,53.112%,62.3658%,48.0118%,59.7809%,59.5436%,67.8686%,72.736%,69.0866%,35.5655%,3.8335%,5.174%,2.5187%,8.1042%,11.9518%,9.9189%,16.7929%,24.8836%,47.6512%
1110,Resorts in operation,Real Sector / Tourism,Resorts,88,91,92,92,91,89,89,90,89,88,89,90,90,92,92,93,93,93,92,93,93,93,94,95,95,96,98,99,97,96,97,98,99,99,99,99,100,100,101,102,101,100,100,100,101,101,103,104,105,105,105,106,104,102,105,104,104,104,104,105,106,106,106,105,104,103,104,104,104,103,105,108,108,109,109,109,109,109,111,112,112,114,114,117,120,120,122,122,123,124,125,125,125,126,127,130,131,128,129,130,128,127,127,128,129,133,135,136,137,139,140,142,145,146,147,149,151,152,152,152,155,155,155,30,14,14,41,64,87,111,127,140
1111,Tourist arrivals from Europe,Real Sector / Tourism / Tourist arrivals,Tourists,51334,52742,56661,40022,34085,23549,30658,38977,34730,44761,47895,50007,54648,55782,57898,53800,33941,25598,31918,39251,35112,49072,48297,52452,54757,57677,54629,51193,32600,23682,32704,35488,33975,45529,43848,51727,52321,54095,61204,48978,35167,24238,32701,36640,35574,46530,45894,53932,52295,55780,56995,53988,34544,26284,33229,38743,35056,47421,42788,52168,52545,54718,58918,47459,35403,24274,34021,39881,34131,47369,43178,64065,55382,60719,63842,47351,36279,25661,37859,43109,36958,55368,51363,61285,64030,67730,61927,61542,35739,29194,42192,47465,40014,62018,60170,74342,76603,79710,82383,62871,40056,30774,47603,52488,44008,62962,64207,82755,83528,93617,92474,88031,38519,37678,53318,59208,48284,70888,74548,93846,94725,102348,42015,0,37,1,1044,3828,5519,14823,20522,63487
1112,Tourist arrivals from Asia,Real Sector / Tourism / Tourist arrivals,Tourists,13243,20777,14608,16369,20963,17376,21654,24382,23129,26104,21634,19643,21228,27600,18417,20674,26510,26046,34106,33333,31236,37262,31203,27077,36429,21149,16115,21728,26163,29257,37606,37452,36678,39222,33088,32793,29774,44791,30647,33903,37946,42613,49319,51450,49179,51598,42348,42185,43957,47694,39909,41212,48735,47938,59130,54399,51230,52724,40214,40889,34531,57810,42522,43638,50950,49101,59137,59197,50302,50127,39544,41463,40133,51112,39649,44604,46501,46684,57871,55710,50095,52482,42091,45404,48579,43019,38122,44308,47584,45958,54520,57701,51532,54974,47363,53131,49130,53327,36336,40543,42384,49663,57352,54810,48950,50903,46954,50576,51613,59047,49491,54400,54073,58110,60212,61791,53026,55839,46243,57155,58762,31785,10953,12,4,0,122,545,712,2127,8558,20699
1113,Tourist arrivals from Africa,Real Sector / Tourism / Tourist arrivals,Tourists,350,303,500,550,466,308,467,345,566,479,520,774,381,325,568,773,439,454,683,421,504,530,483,891,386,359,487,740,566,639,667,524,605,566,487,1069,536,386,666,752,694,1046,458,788,818,656,462,1009,532,458,619,820,647,712,688,818,770,676,437,972,605,395,707,937,716,754,901,975,818,598,482,1360,658,595,827,982,775,493,1019,1324,1109,748,686,1536,877,676,1001,1452,1141,880,1710,1631,1194,1000,929,2187,1057,708,1115,1355,859,1101,1595,1649,1449,1156,949,2361,1453,1050,1585,1833,734,1549,1526,1825,1730,1059,1192,3159,1536,1118,658,0,0,0,55,163,159,270,503,1996
1114,Tourist arrivals from Americas,Real Sector / Tourism / Tourist arrivals,Tourists,1289,1618,1788,1483,1348,1215,1433,1310,1480,1764,1762,2111,1734,1760,2089,2158,1639,1563,1884,1790,1750,2032,2401,2854,2087,1839,2147,2303,1751,1831,2209,2146,2063,2910,2287,3201,2396,2541,3069,2809,2416,2354,2486,2312,2392,3106,3023,4066,3903,2914,3746,3906,3000,2788,2748,2857,2995,3883,3178,5126,3689,3782,4504,4578,3683,3004,3458,3179,3423,3614,3496,6220,4318,4111,4741,3879,3438,3276,3960,3607,4251,4391,4580,5906,5474,4574,5440,5294,4214,4104,5083,4739,4632,5008,6269,7141,6581,5780,6746,5814,4630,4683,5117,4594,5055,5314,6830,7620,7239,8358,10207,7393,5395,5356,5873,5310,5982,6496,8020,9165,8078,7460,3183,0,0,0,255,970,1519,2276,3390,4929
1115,Tourist arrivals from Oceania,Real Sector / Tourism / Tourist arrivals,Tourists,703,585,817,1092,869,917,1141,880,1169,958,821,804,833,786,1125,1469,1091,1078,1542,1224,1522,1337,1015,1174,1184,986,1292,1722,1221,1437,1673,1446,1805,1524,1202,1334,1530,983,1508,1760,1431,1742,1788,1575,1979,1580,1266,1619,1768,1072,1440,2442,1619,1828,2150,1542,2224,1671,1373,1685,1780,1225,1633,2190,1866,2017,2202,1659,2141,1609,1311,2144,3536,1319,1706,2230,1592,2186,2452,1969,2658,2078,1890,2092,2371,1657,2180,2924,2080,2479,3057,2199,3153,2684,2703,2821,3395,2021,3257,4516,2907,2986,3957,3017,4200,4068,3215,2971,3503,2843,4105,4990,3542,3062,4075,3191,3952,4146,3621,3110,2926,2260,1468,0,0,0,29,62,66,189,236,728
1116,Tourist arrivals from the Middle East,Real Sector / Tourism / Tourist arrivals,Tourists,559,1038,601,1226,593,685,1879,421,1450,641,1620,916,669,1139,635,1073,836,1208,2383,809,1737,826,2102,1153,1303,1242,1799,1602,1233,2533,2107,2712,1680,2640,1399,1593,2312,1949,2404,2434,1772,4500,1220,5573,2333,3826,1569,2158,2809,2767,2809,2918,2707,3776,2240,5803,2812,3926,1754,2880,3885,2510,4120,3408,2740,2341,4782,5215,4674,2152,2180,3969,4339,2734,4338,4415,4608,725,7242,6532,6804,2398,3930,3265,3969,3381,3976,4231,2725,2603,6593,7547,5429,2286,3055,3398,5567,2723,3608,4599,2067,4566,6693,7417,3946,2982,3429,4517,4200,3651,4959,6443,741,7685,7105,7990,4613,3477,4255,4884,7297,4793,1346,1,0,0,247,2068,1627,1822,2530,4557
1117,Tourist arrivals - UN passport holders and others,Real Sector / Tourism / Tourist arrivals,Tourists,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,23,35,22,43,32,20,42,23,44,21,6,24,27,30,34,24,38,28,23,32,31,15,16,38,22,29,27,34,30,49,28,32,35,9,29,31,34,24,32,42,36,15,19,23,8,4,20,28,30,16,17,21,18,17,21,15,10,13,15,17,12,8,20,18,16,17,22,24,18,35,35,23,32,23,42,29,23,21,7,0,0,0,0,0,3,8,18,16
1118,Tourist arrivals from Germany,Real Sector / Tourism / Tourist arrivals / Europe,Tourists,5890,6602,8554,5317,7634,3748,4402,4943,6412,8937,8444,6225,6109,6874,8906,9389,7467,5276,5034,5918,6956,10986,10058,7544,7532,8591,10232,10145,9736,4782,6199,6485,8248,10597,8729,7075,6926,7755,11001,8303,8812,4421,5418,5930,8148,10360,8869,7655,6527,8050,9973,10273,8365,5416,5371,7293,8163,11490,9483,7924,7093,8879,12203,8388,10371,4927,5859,7698,8140,12252,9682,9640,7837,9247,13268,8810,10141,4617,6008,6869,7826,13061,10759,7938,7803,8874,10216,11172,8742,6885,6830,6916,8793,15007,11829,9042,8329,9785,14692,9070,10668,5283,6932,6382,9112,13364,13043,10872,9819,11140,16320,17583,7545,6830,8266,7242,8982,13625,12816,11393,9859,11698,6671,0,11,0,133,306,362,949,2083,4363
1119,Tourist arrivals from Italy,Real Sector / Tourism / Tourist arrivals / Europe,Tourists,12276,12003,13153,7577,3213,3495,3882,8351,4167,5153,6506,9845,12828,11499,12143,8398,3077,2347,3208,7267,3479,4610,5543,8929,10451,8910,7578,6130,1874,1578,2853,5225,2749,3679,3551,8204,7050,7832,8365,5542,1813,1579,2683,5424,2722,3128,3686,8030,6879,7455,7953,6994,1847,1793,2742,4717,2819,2694,3583,8386,8039,8224,9725,5686,2163,2017,2538,5603,2828,3084,4429,11280,8828,9253,9086,5490,2746,2583,3257,6507,3172,4122,4987,11171,12079,11215,9900,8601,3131,2768,3698,7227,3577,4898,7017,14756,14329,13962,13198,8389,3258,3236,4644,8771,4133,5663,7927,17787,16768,17795,18285,15043,3443,4042,5337,11449,5213,6560,11114,21294,20766,19849,3996,0,1,0,44,513,72,137,267,1045
1120,Tourist arrivals from Russia,Real Sector / Tourism / Tourist arrivals / Europe,Tourists,5873,3285,4301,3899,3704,2569,3098,4176,3488,4482,4750,5486,6256,4347,6043,5205,4793,3812,4565,5214,4594,5887,6008,7212,7418,5370,7131,6462,3960,3345,3918,4562,4274,5622,6860,7456,9061,6737,8457,6241,5230,4063,4612,5188,4833,6277,7675,8105,9289,6182,7121,5568,4878,4312,4624,4896,4047,5632,5273,4486,5790,2882,4048,3855,3053,2500,3180,3347,2309,3860,3702,5797,5272,3274,4461,3363,3077,2939,3415,3034,2990,4387,4750,5560,6874,5113,6413,5400,3564,3262,4144,4166,3522,5485,6421,7567,9595,6953,7867,6433,3903,3646,4370,4525,3790,5800,6901,7152,9668,7334,9282,6475,5397,4793,5345,5175,4837,7855,8171,9037,12531,9690,6728,0,0,0,52,423,2065,5995,8580,15323
