Breakdown,Number of Tourists,Month,Country
Europe,5890,01/01/2010,Germany
Europe,6602,01/02/2010,Germany
Europe,8554,01/03/2010,Germany
Europe,5317,01/04/2010,Germany
Europe,7634,01/05/2010,Germany
Europe,3748,01/06/2010,Germany
Europe,4402,01/07/2010,Germany
Europe,4943,01/08/2010,Germany
Europe,6412,01/09/2010,Germany
Europe,8937,01/10/2010,Germany
Europe,8444,01/11/2010,Germany
Europe,6225,01/12/2010,Germany
Europe,6109,01/01/2011,Germany
Europe,6874,01/02/2011,Germany
Europe,8906,01/03/2011,Germany
Europe,9389,01/04/2011,Germany
Europe,7467,01/05/2011,Germany
Europe,5276,01/06/2011,Germany
Europe,5034,01/07/2011,Germany
Europe,5918,01/08/2011,Germany
Europe,6956,01/09/2011,Germany
Europe,10986,01/10/2011,Germany
Europe,10058,01/11/2011,Germany
Europe,7544,01/12/2011,Germany
Europe,7532,01/01/2012,Germany
Europe,8591,01/02/2012,Germany
Europe,10232,01/03/2012,Germany
Europe,10145,01/04/2012,Germany
Europe,9736,01/05/2012,Germany
Europe,4782,01/06/2012,Germany
Europe,6199,01/07/2012,Germany
Europe,6485,01/08/2012,Germany
Europe,8248,01/09/2012,Germany
Europe,10597,01/10/2012,Germany
Europe,8729,01/11/2012,Germany
Europe,7075,01/12/2012,Germany
Europe,6926,01/01/2013,Germany
Europe,7755,01/02/2013,Germany
Europe,11001,01/03/2013,Germany
Europe,8303,01/04/2013,Germany
Europe,8812,01/05/2013,Germany
Europe,4421,01/06/2013,Germany
Europe,5418,01/07/2013,Germany
Europe,5930,01/08/2013,Germany
Europe,8148,01/09/2013,Germany
Europe,10360,01/10/2013,Germany
Europe,8869,01/11/2013,Germany
Europe,7655,01/12/2013,Germany
Europe,6527,01/01/2014,Germany
Europe,8050,01/02/2014,Germany
Europe,9973,01/03/2014,Germany
Europe,10273,01/04/2014,Germany
Europe,8365,01/05/2014,Germany
Europe,5416,01/06/2014,Germany
Europe,5371,01/07/2014,Germany
Europe,7293,01/08/2014,Germany
Europe,8163,01/09/2014,Germany
Europe,11490,01/10/2014,Germany
Europe,9483,01/11/2014,Germany
Europe,7924,01/12/2014,Germany
Europe,7093,01/01/2015,Germany
Europe,8879,01/02/2015,Germany
Europe,12203,01/03/2015,Germany
Europe,8388,01/04/2015,Germany
Europe,10371,01/05/2015,Germany
Europe,4927,01/06/2015,Germany
Europe,5859,01/07/2015,Germany
Europe,7698,01/08/2015,Germany
Europe,8140,01/09/2015,Germany
Europe,12252,01/10/2015,Germany
Europe,9682,01/11/2015,Germany
Europe,9640,01/12/2015,Germany
Europe,7837,01/01/2016,Germany
Europe,9247,01/02/2016,Germany
Europe,13268,01/03/2016,Germany
Europe,8810,01/04/2016,Germany
Europe,10141,01/05/2016,Germany
Europe,4617,01/06/2016,Germany
Europe,6008,01/07/2016,Germany
Europe,6869,01/08/2016,Germany
Europe,7826,01/09/2016,Germany
Europe,13061,01/10/2016,Germany
Europe,10759,01/11/2016,Germany
Europe,7938,01/12/2016,Germany
Europe,7803,01/01/2017,Germany
Europe,8874,01/02/2017,Germany
Europe,10216,01/03/2017,Germany
Europe,11172,01/04/2017,Germany
Europe,8742,01/05/2017,Germany
Europe,6885,01/06/2017,Germany
Europe,6830,01/07/2017,Germany
Europe,6916,01/08/2017,Germany
Europe,8793,01/09/2017,Germany
Europe,15007,01/10/2017,Germany
Europe,11829,01/11/2017,Germany
