Season,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
2019-20,Max Aarons ,Defender,36,5,71,48,63%,0,6,37,73,28,2,178,167,175,48,22,50,0,0,1,"1,339",37.19,7,73,22%,0,38,7,0,29,3,0,0,0,0,0,,,,,,,,,,,,,,,
2019-20,Abdul Rahman Baba ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2019-20,Tammy Abraham ,Forward,34,,,8,,,14,6,27,23,,,,,,,,,,3,407,11.97,3,11,,,,2,0,17,23,15,3,12,0,3,0.44,0,0,88,40,45%,22,,,,,,,,
2019-20,Che Adams ,Forward,30,,,6,,,14,2,9,3,,,,,,,,,,2,248,8.27,5,13,,,,0,0,17,10,4,0,4,0,1,0.13,0,0,36,10,28%,8,,,,,,,,
2019-20,Dennis Adeniran ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,,
2019-20,Albert Adomah ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,,
2019-20,Adrián ,Goalkeeper,11,2,10,,,,,,,,,,,,,,,0,2,0,260,23.64,,,,,50,1,0,0,,0,,,,,,,,,,,,18,0,4,5,1,9,51,70
2019-20,Adrien Silva ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,,
2019-20,Daniel Adshead ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,,
2019-20,Benik Afobe ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,,
