Open Play Goals,Goals with right foot,Goals with left foot,Position,Appearances,Rank,Total Goals,Open Play Goals/Game,Headed goals,Name
86,68.0,17.0,Forward,143,1,102,0.601398601,16.0,Sergio Agüero
80,61.0,25.0,Forward,177,2,98,0.451977401,12.0,Jamie Vardy
74,44.0,20.0,Forward,164,3,74,0.451219512,10.0,Sadio Mané
68,18.0,37.0,Forward,140,4,71,0.485714286,15.0,Romelu Lukaku
66,11.0,58.0,Forward,108,5,73,0.611111111,4.0,Mohamed Salah
55,29.0,14.0,Forward,175,6,57,0.314285714,13.0,Roberto Firmino
53,29.0,21.0,Forward,160,7,53,0.33125,3.0,Son Heung-Min
49,36.0,11.0,Forward,145,8,51,0.337931034,4.0,Anthony Martial
48,31.0,10.0,Midfielder,156,9,50,0.307692308,9.0,Dele Alli
48,32.0,15.0,Forward,75,9,55,0.64,7.0,Harry Kane
46,43.0,8.0,Forward,85,11,54,0.541176471,3.0,Pierre-Emerick Aubameyang
44,4.0,22.0,Forward,141,12,45,0.312056738,19.0,Olivier Giroud
42,9.0,41.0,Forward,169,13,53,0.24852071,2.0,Riyad Mahrez
40,35.0,13.0,Forward,138,14,48,0.289855072,0.0,Eden Hazard
40,34.0,6.0,Forward,99,14,46,0.404040404,6.0,Alexis Sánchez
39,21.0,12.0,Forward,102,16,41,0.382352941,8.0,Gabriel Jesus
37,35.0,5.0,Forward,142,17,44,0.26056338,4.0,Marcus Rashford
36,38.0,9.0,Forward,161,18,48,0.223602484,1.0,Joshua King
35,14.0,5.0,Forward,133,19,36,0.263157895,18.0,Michail Antonio
34,30.0,4.0,Forward,97,20,37,0.350515464,3.0,Alexandre Lacazette
34,12.0,9.0,Forward,140,20,35,0.242857143,12.0,Salomón Rondón
34,26.0,10.0,Forward,125,20,38,0.272,1.0,Marko Arnautovic
