Rank by Position,Open Play Goals,Goals with right foot,Goals with left foot,Position,Appearances,Total Goals,Open Play Goals/Game,Headed goals,Name
1,20,4.0,16.0,Defender,158,20,0.126582278,0.0,Patrick van Aanholt
2,19,2.0,13.0,Defender,113,19,0.168141593,4.0,Marcos Alonso
3,13,0.0,3.0,Defender,157,13,0.082802548,10.0,Virgil van Dijk
4,12,1.0,5.0,Defender,141,12,0.085106383,6.0,Nathan Aké
5,11,7.0,0.0,Defender,108,11,0.101851852,3.0,Laurent Koscielny
6,10,3.0,0.0,Defender,168,10,0.05952381,7.0,Steve Cook
7,9,0.0,8.0,Defender,129,9,0.069767442,1.0,Charlie Daniels
7,9,2.0,2.0,Defender,101,9,0.089108911,5.0,Scott Dann
9,8,1.0,1.0,Defender,95,8,0.084210526,6.0,Craig Dawson
9,8,6.0,0.0,Defender,186,8,0.043010753,2.0,César Azpilicueta
9,8,4.0,1.0,Defender,114,8,0.070175439,3.0,Gary Cahill
9,8,4.0,0.0,Defender,136,8,0.058823529,4.0,Harry Maguire
9,8,3.0,2.0,Defender,124,8,0.064516129,3.0,James Tomkins
9,8,1.0,4.0,Defender,74,8,0.108108108,3.0,Matt Doherty
9,8,3.0,0.0,Defender,136,8,0.058823529,5.0,Nicolás Otamendi
16,7,4.0,2.0,Defender,108,7,0.064814815,1.0,Daryl Janmaat
16,7,2.0,1.0,Defender,112,7,0.0625,4.0,David Luiz
16,7,2.0,0.0,Defender,79,7,0.088607595,5.0,Gareth McAuley
16,7,1.0,0.0,Defender,99,7,0.070707071,6.0,Shkodran Mustafi
16,7,2.0,2.0,Defender,122,7,0.057377049,4.0,Séamus Coleman
16,7,2.0,1.0,Defender,149,7,0.046979866,4.0,Toby Alderweireld
16,7,2.0,0.0,Defender,59,7,0.118644068,5.0,Vincent Kompany
1,86,68.0,17.0,Forward,143,102,0.601398601,16.0,Sergio Agüero
2,80,61.0,25.0,Forward,177,98,0.451977401,12.0,Jamie Vardy
3,74,44.0,20.0,Forward,164,74,0.451219512,10.0,Sadio Mané
4,68,18.0,37.0,Forward,140,71,0.485714286,15.0,Romelu Lukaku
5,66,11.0,58.0,Forward,108,73,0.611111111,4.0,Mohamed Salah
6,55,29.0,14.0,Forward,175,57,0.314285714,13.0,Roberto Firmino
7,53,29.0,21.0,Forward,160,53,0.33125,3.0,Son Heung-Min
8,49,36.0,11.0,Forward,145,51,0.337931034,4.0,Anthony Martial
9,48,32.0,15.0,Forward,75,55,0.64,7.0,Harry Kane
10,46,43.0,8.0,Forward,85,54,0.541176471,3.0,Pierre-Emerick Aubameyang
11,44,4.0,22.0,Forward,141,45,0.312056738,19.0,Olivier Giroud
12,42,9.0,41.0,Forward,169,53,0.24852071,2.0,Riyad Mahrez
13,40,34.0,6.0,Forward,99,46,0.404040404,6.0,Alexis Sánchez
13,40,35.0,13.0,Forward,138,48,0.289855072,0.0,Eden Hazard
15,39,21.0,12.0,Forward,102,41,0.382352941,8.0,Gabriel Jesus
16,37,35.0,5.0,Forward,142,44,0.26056338,4.0,Marcus Rashford
17,36,38.0,9.0,Forward,161,48,0.223602484,1.0,Joshua King
18,35,14.0,5.0,Forward,133,36,0.263157895,18.0,Michail Antonio
19,34,30.0,4.0,Forward,97,37,0.350515464,3.0,Alexandre Lacazette
19,34,26.0,10.0,Forward,125,38,0.272,1.0,Marko Arnautovic
19,34,12.0,9.0,Forward,140,35,0.242857143,12.0,Salomón Rondón
1,48,31.0,10.0,Midfielder,156,50,0.307692308,9.0,Dele Alli
2,31,27.0,9.0,Midfielder,152,36,0.203947368,0.0,Kevin De Bruyne
3,30,17.0,16.0,Midfielder,163,34,0.18404908,0.0,Christian Eriksen
4,26,29.0,8.0,Midfielder,174,39,0.149425287,2.0,Gylfi Sigurdsson
5,25,1.0,23.0,Midfielder,90,25,0.277777778,0.0,Leroy Sané
6,24,5.0,22.0,Midfielder,147,27,0.163265306,0.0,David Silva
6,24,16.0,1.0,Midfielder,179,25,0.134078212,8.0,Georginio Wijnaldum
6,24,2.0,19.0,Midfielder,136,24,0.176470588,3.0,Mesut Özil
6,24,19.0,3.0,Midfielder,173,24,0.138728324,1.0,Nathan Redmond
10,23,6.0,3.0,Midfielder,158,25,0.14556962,0.0,Nacer Chadli
10,23,25.0,2.0,Midfielder,71,28,0.323943662,1.0,Philippe Coutinho
12,19,1.0,16.0,Midfielder,105,19,0.180952381,2.0,Bernardo Silva
12,19,3.0,18.0,Midfielder,115,22,0.165217391,1.0,Xherdan Shaqiri
14,18,19.0,2.0,Midfielder,108,25,0.166666667,4.0,Paul Pogba
15,17,13.0,4.0,Midfielder,106,17,0.160377358,0.0,Aaron Ramsey
15,17,12.0,2.0,Midfielder,129,17,0.131782946,2.0,Abdoulaye Doucouré
15,17,15.0,1.0,Midfielder,132,18,0.128787879,2.0,Jesse Lingard
15,17,15.0,4.0,Midfielder,122,20,0.139344262,1.0,Manuel Lanzini
19,15,3.0,13.0,Midfielder,150,16,0.1,0.0,Andros Townsend
19,15,5.0,6.0,Midfielder,165,15,0.090909091,4.0,James McArthur
19,15,13.0,3.0,Midfielder,106,16,0.141509434,0.0,Roberto Pereyra
19,15,13.0,3.0,Midfielder,120,16,0.125,0.0,Ryan Fraser
