Position,Team,Total Games Played,Total Points,Goal Difference
1,Man City,32,74,44
2,Man Utd,32,66,29
3,Leicester,31,56,18
4,West Ham,32,55,11
5,Chelsea,31,54,19
6,Liverpool,32,53,16
7,Spurs,32,50,17
8,Everton,31,49,3
9,Arsenal,32,46,8
10,Leeds,32,46,0
11,Aston Villa,30,44,10
12,Wolves,32,41,-9
13,Crystal Palace,31,38,-19
14,Southampton,31,36,-17
15,Newcastle,32,35,-18
16,Brighton,31,33,-5
17,Burnley,32,33,-19
18,Fulham,33,27,-18
19,West Brom,31,24,-31
20,Sheffield Utd,32,14,-39
