Date,Number of people off each day
02/05/2021 00:00:00,0
16/05/2021 00:00:00,2
25/05/2021 00:00:00,0
29/04/2021 00:00:00,0
09/05/2021 00:00:00,0
18/05/2021 00:00:00,2
20/04/2021 00:00:00,0
19/04/2021 00:00:00,0
30/05/2021 00:00:00,0
26/05/2021 00:00:00,0
16/04/2021 00:00:00,0
23/04/2021 00:00:00,0
07/05/2021 00:00:00,0
21/05/2021 00:00:00,1
15/04/2021 00:00:00,0
12/05/2021 00:00:00,1
14/04/2021 00:00:00,1
21/04/2021 00:00:00,0
22/04/2021 00:00:00,0
20/05/2021 00:00:00,2
06/04/2021 00:00:00,2
17/05/2021 00:00:00,1
10/05/2021 00:00:00,0
04/04/2021 00:00:00,2
30/04/2021 00:00:00,0
26/04/2021 00:00:00,0
13/04/2021 00:00:00,1
19/05/2021 00:00:00,2
28/05/2021 00:00:00,0
28/04/2021 00:00:00,0
05/04/2021 00:00:00,2
12/04/2021 00:00:00,1
08/05/2021 00:00:00,0
14/05/2021 00:00:00,2
01/05/2021 00:00:00,0
01/04/2021 00:00:00,1
06/05/2021 00:00:00,0
02/04/2021 00:00:00,1
31/05/2021 00:00:00,0
27/04/2021 00:00:00,0
04/05/2021 00:00:00,0
09/04/2021 00:00:00,2
24/04/2021 00:00:00,0
13/05/2021 00:00:00,1
27/05/2021 00:00:00,0
08/04/2021 00:00:00,4
23/05/2021 00:00:00,0
11/05/2021 00:00:00,1
25/04/2021 00:00:00,0
22/05/2021 00:00:00,1
10/04/2021 00:00:00,3
29/05/2021 00:00:00,0
05/05/2021 00:00:00,0
18/04/2021 00:00:00,0
07/04/2021 00:00:00,3
17/04/2021 00:00:00,0
03/05/2021 00:00:00,0
11/04/2021 00:00:00,2
24/05/2021 00:00:00,0
03/04/2021 00:00:00,1
15/05/2021 00:00:00,2
