Date,Number of people off each day
01/04/2021 00:00:00,1
02/04/2021 00:00:00,1
03/04/2021 00:00:00,1
04/04/2021 00:00:00,2
05/04/2021 00:00:00,2
06/04/2021 00:00:00,2
07/04/2021 00:00:00,3
08/04/2021 00:00:00,4
09/04/2021 00:00:00,2
10/04/2021 00:00:00,3
11/04/2021 00:00:00,2
12/04/2021 00:00:00,1
13/04/2021 00:00:00,1
14/04/2021 00:00:00,1
15/04/2021 00:00:00,0
16/04/2021 00:00:00,0
17/04/2021 00:00:00,0
18/04/2021 00:00:00,0
19/04/2021 00:00:00,0
20/04/2021 00:00:00,0
21/04/2021 00:00:00,0
22/04/2021 00:00:00,0
23/04/2021 00:00:00,0
24/04/2021 00:00:00,0
25/04/2021 00:00:00,0
26/04/2021 00:00:00,0
27/04/2021 00:00:00,0
28/04/2021 00:00:00,0
29/04/2021 00:00:00,0
30/04/2021 00:00:00,0
01/05/2021 00:00:00,0
02/05/2021 00:00:00,0
03/05/2021 00:00:00,0
04/05/2021 00:00:00,0
05/05/2021 00:00:00,0
06/05/2021 00:00:00,0
07/05/2021 00:00:00,0
08/05/2021 00:00:00,0
09/05/2021 00:00:00,0
10/05/2021 00:00:00,0
11/05/2021 00:00:00,1
12/05/2021 00:00:00,1
13/05/2021 00:00:00,1
14/05/2021 00:00:00,2
15/05/2021 00:00:00,2
16/05/2021 00:00:00,2
17/05/2021 00:00:00,1
18/05/2021 00:00:00,2
19/05/2021 00:00:00,2
20/05/2021 00:00:00,2
21/05/2021 00:00:00,1
22/05/2021 00:00:00,1
23/05/2021 00:00:00,0
24/05/2021 00:00:00,0
25/05/2021 00:00:00,0
26/05/2021 00:00:00,0
27/05/2021 00:00:00,0
28/05/2021 00:00:00,0
29/05/2021 00:00:00,0
30/05/2021 00:00:00,0
31/05/2021 00:00:00,0
