Destination,Date,Revenue
London,01/01/2021,232572
London,02/01/2021,105610
London,03/01/2021,149849
London,04/01/2021,164463
London,05/01/2021,129130
London,06/01/2021,232296
London,07/01/2021,101116
London,08/01/2021,161349
London,09/01/2021,174858
London,10/01/2021,199301
London,11/01/2021,230980
London,12/01/2021,235460
London,13/01/2021,213764
London,14/01/2021,222004
London,15/01/2021,157904
London,16/01/2021,112679
London,17/01/2021,207620
London,18/01/2021,195451
London,19/01/2021,157721
London,20/01/2021,139648
London,21/01/2021,188606
London,22/01/2021,114345
London,23/01/2021,183384
London,24/01/2021,172588
London,25/01/2021,230301
London,26/01/2021,209966
London,27/01/2021,210703
London,28/01/2021,122697
London,29/01/2021,231308
London,30/01/2021,176304
London,31/01/2021,192659
London,01/02/2021,195124
London,02/02/2021,127394
London,03/02/2021,103937
London,04/02/2021,135162
London,05/02/2021,157100
London,06/02/2021,174370
London,07/02/2021,178589
London,08/02/2021,117005
London,09/02/2021,186600
London,10/02/2021,124923
London,11/02/2021,131947
London,12/02/2021,216364
London,13/02/2021,185838
London,14/02/2021,108336
London,15/02/2021,105098
London,16/02/2021,225503
London,17/02/2021,144078
London,18/02/2021,112369
London,19/02/2021,199949
London,20/02/2021,234297
London,21/02/2021,201543
London,22/02/2021,161682
London,23/02/2021,201161
London,24/02/2021,241856
London,25/02/2021,200753
London,26/02/2021,236913
London,27/02/2021,100503
London,28/02/2021,113872
London,01/03/2021,213322
London,02/03/2021,132979
London,03/03/2021,197084
London,04/03/2021,241387
London,05/03/2021,249127
London,06/03/2021,164298
London,07/03/2021,130638
London,08/03/2021,124321
London,09/03/2021,190883
London,10/03/2021,138429
London,11/03/2021,131020
London,12/03/2021,150643
London,13/03/2021,200376
London,14/03/2021,138176
London,15/03/2021,185108
London,16/03/2021,169004
London,17/03/2021,113118
London,18/03/2021,175344
London,19/03/2021,132689
London,20/03/2021,109593
London,21/03/2021,125802
London,22/03/2021,107253
London,23/03/2021,105331
London,24/03/2021,144348
London,25/03/2021,135777
London,26/03/2021,139672
London,27/03/2021,166969
London,28/03/2021,243855
London,29/03/2021,163782
London,30/03/2021,127081
London,31/03/2021,201767
New York,01/01/2021,236769
New York,02/01/2021,192002
New York,03/01/2021,227616
New York,04/01/2021,186570
New York,05/01/2021,234950
New York,06/01/2021,135904
New York,07/01/2021,192355
New York,08/01/2021,170849
New York,09/01/2021,202299
New York,10/01/2021,236794
New York,11/01/2021,169250
New York,12/01/2021,190842
New York,13/01/2021,158298
New York,14/01/2021,184167
New York,15/01/2021,167376
New York,16/01/2021,240356
New York,17/01/2021,174108
New York,18/01/2021,156398
New York,19/01/2021,146411
New York,20/01/2021,154856
New York,21/01/2021,153122
New York,22/01/2021,135098
New York,23/01/2021,133716
New York,24/01/2021,160358
New York,25/01/2021,190080
New York,26/01/2021,229742
New York,27/01/2021,183642
New York,28/01/2021,207527
New York,29/01/2021,179907
New York,30/01/2021,242684
New York,31/01/2021,243837
New York,01/02/2021,182056
New York,02/02/2021,166863
New York,03/02/2021,185309
New York,04/02/2021,142823
New York,05/02/2021,221124
New York,06/02/2021,185484
New York,07/02/2021,159274
New York,08/02/2021,191621
New York,09/02/2021,164744
New York,10/02/2021,172052
New York,11/02/2021,192729
New York,12/02/2021,174470
New York,13/02/2021,129867
New York,14/02/2021,169005
New York,15/02/2021,144954
New York,16/02/2021,165035
New York,17/02/2021,189402
New York,18/02/2021,129789
New York,19/02/2021,164064
New York,20/02/2021,144554
New York,21/02/2021,167727
New York,22/02/2021,158148
New York,23/02/2021,151304
New York,24/02/2021,192549
New York,25/02/2021,128824
New York,26/02/2021,233713
New York,27/02/2021,126998
New York,28/02/2021,193601
New York,01/03/2021,232932
New York,02/03/2021,135101
New York,03/03/2021,182382
New York,04/03/2021,180656
New York,05/03/2021,147456
New York,06/03/2021,247412
New York,07/03/2021,213398
New York,08/03/2021,241043
New York,09/03/2021,242973
New York,10/03/2021,233110
New York,11/03/2021,242035
New York,12/03/2021,221123
New York,13/03/2021,135312
New York,14/03/2021,153848
New York,15/03/2021,212939
New York,16/03/2021,154072
New York,17/03/2021,125102
New York,18/03/2021,180670
New York,19/03/2021,207834
New York,20/03/2021,152812
New York,21/03/2021,236636
New York,22/03/2021,146382
New York,23/03/2021,172759
New York,24/03/2021,206480
New York,25/03/2021,243620
New York,26/03/2021,126632
New York,27/03/2021,128248
New York,28/03/2021,144219
New York,29/03/2021,165175
New York,30/03/2021,235352
New York,31/03/2021,180357
Perth,01/01/2021,137371
Perth,02/01/2021,127151
Perth,03/01/2021,58638
Perth,04/01/2021,126701
Perth,05/01/2021,125250
Perth,06/01/2021,73399
Perth,07/01/2021,70300
Perth,08/01/2021,148536
Perth,09/01/2021,90522
Perth,10/01/2021,65784
Perth,11/01/2021,90626
Perth,12/01/2021,54642
Perth,13/01/2021,92835
Perth,14/01/2021,86773
Perth,15/01/2021,149841
Perth,16/01/2021,149646
Perth,17/01/2021,122669
Perth,18/01/2021,86517
Perth,19/01/2021,107778
Perth,20/01/2021,81558
Perth,21/01/2021,74126
Perth,22/01/2021,94211
Perth,23/01/2021,93989
Perth,24/01/2021,59711
Perth,25/01/2021,78098
Perth,26/01/2021,121514
Perth,27/01/2021,102482
Perth,28/01/2021,146359
Perth,29/01/2021,101320
Perth,30/01/2021,70521
Perth,31/01/2021,96653
Perth,01/02/2021,114566
Perth,02/02/2021,105223
Perth,03/02/2021,88541
Perth,04/02/2021,57418
Perth,05/02/2021,146355
Perth,06/02/2021,149984
Perth,07/02/2021,69848
Perth,08/02/2021,138131
Perth,09/02/2021,104505
Perth,10/02/2021,123791
Perth,11/02/2021,90640
Perth,12/02/2021,73550
Perth,13/02/2021,149053
Perth,14/02/2021,75142
Perth,15/02/2021,77542
Perth,16/02/2021,126946
Perth,17/02/2021,85220
Perth,18/02/2021,126807
Perth,19/02/2021,52332
Perth,20/02/2021,149358
Perth,21/02/2021,123388
Perth,22/02/2021,54147
Perth,23/02/2021,65947
Perth,24/02/2021,68119
Perth,25/02/2021,103656
Perth,26/02/2021,117579
Perth,27/02/2021,133363
Perth,28/02/2021,117918
Perth,01/03/2021,87670
Perth,02/03/2021,149236
Perth,03/03/2021,107615
Perth,04/03/2021,76992
Perth,05/03/2021,148598
Perth,06/03/2021,107260
Perth,07/03/2021,86008
Perth,08/03/2021,73513
Perth,09/03/2021,96490
Perth,10/03/2021,127658
Perth,11/03/2021,124459
Perth,12/03/2021,82758
Perth,13/03/2021,60727
Perth,14/03/2021,123286
Perth,15/03/2021,146968
Perth,16/03/2021,144373
Perth,17/03/2021,113872
Perth,18/03/2021,102275
Perth,19/03/2021,76375
Perth,20/03/2021,90839
Perth,21/03/2021,61928
Perth,22/03/2021,104105
Perth,23/03/2021,79832
Perth,24/03/2021,93213
Perth,25/03/2021,144922
Perth,26/03/2021,80512
Perth,27/03/2021,117829
Perth,28/03/2021,98244
Perth,29/03/2021,88599
Perth,30/03/2021,80576
Perth,31/03/2021,109173
