Destination,Date,Rolling Week Avg,Rolling Week Total
Perth,03/02/2021,108391.428571429,758740
New York,11/01/2021,187499.857142857,1312499
London,02/02/2021,155382.857142857,1087680
London,29/01/2021,191251.571428571,1338761
New York,16/02/2021,156016.571428571,1092116
New York,26/01/2021,183567.428571429,1284972
London,07/03/2021,177011.857142857,1239083
Perth,07/03/2021,102359.857142857,716519
New York,29/03/2021,163330.5,979983
London,26/03/2021,157104.857142857,1099734
Perth,09/03/2021,99735.142857143,698146
London,11/03/2021,153406.857142857,1073848
London,03/02/2021,155106.571428571,1085746
London,09/02/2021,161399.714285714,1129798
New York,22/02/2021,158167.142857143,1107170
Perth,02/02/2021,97039.571428571,679277
London,03/03/2021,187438.428571429,1312069
London,08/02/2021,152933.428571429,1070534
London,06/03/2021,185391.142857143,1297738
London,15/01/2021,192126,1344882
Perth,02/03/2021,117341.714285714,821392
New York,05/02/2021,178928.285714286,1252498
Perth,18/02/2021,105941.857142857,741593
Perth,05/03/2021,107031.714285714,749222
London,19/03/2021,133257.571428571,932803
Perth,07/01/2021,100070.285714286,700492
Perth,21/02/2021,91442.571428571,640098
New York,29/01/2021,209913.571428571,1469395
Perth,04/02/2021,104562.142857143,731935
New York,01/03/2021,183626.142857143,1285383
Perth,11/01/2021,89959.714285714,629718
Perth,31/01/2021,103311.857142857,723183
Perth,16/01/2021,113722.714285714,796059
New York,04/01/2021,200880.857142857,1406166
New York,14/01/2021,183485.285714286,1284397
London,11/01/2021,205388,1437716
New York,06/02/2021,178625.571428571,1250379
Perth,17/01/2021,112111.714285714,784782
Perth,27/01/2021,97143.571428571,680005
New York,26/03/2021,169590.428571429,1187133
New York,15/01/2021,181649.285714286,1271545
New York,06/03/2021,207902.857142857,1455320
Perth,15/03/2021,110608.428571429,774259
Perth,22/01/2021,84210.142857143,589471
London,10/03/2021,152330,1066310
London,17/03/2021,146147.428571429,1023032
New York,02/02/2021,197813.714285714,1384696
Perth,16/02/2021,99006,693042
Perth,20/01/2021,94406.857142857,660848
London,16/01/2021,181020.428571429,1267143
London,24/03/2021,132164.571428571,925152
London,01/03/2021,176580,1236060
New York,12/01/2021,187003.714285714,1309026
Perth,23/01/2021,86172.428571429,603207
Perth,10/03/2021,93087.571428571,651613
Perth,10/01/2021,87606.428571429,613245
London,08/03/2021,161245.142857143,1128716
Perth,15/02/2021,102037.142857143,714260
Perth,24/02/2021,95171.285714286,666199
London,31/03/2021,184121.25,736485
London,18/02/2021,174691,1222837
Perth,05/01/2021,104282.142857143,729975
London,25/02/2021,179534.285714286,1256740
Perth,22/02/2021,88135.285714286,616947
New York,17/03/2021,169611,1187277
New York,07/01/2021,194245.857142857,1359721
Perth,04/01/2021,102687.142857143,718810
New York,20/02/2021,157855.428571429,1104988
London,22/03/2021,122970.428571429,860793
Perth,01/02/2021,90606,634242
London,06/01/2021,159008.714285714,1113061
London,16/02/2021,154453,1081171
New York,27/01/2021,199134.285714286,1393940
Perth,13/02/2021,102380.571428571,716664
Perth,16/03/2021,109696.571428571,767876
London,30/03/2021,180690.8,903454
London,20/01/2021,169539.285714286,1186775
London,12/01/2021,204895.857142857,1434271
Perth,21/01/2021,85412.857142857,597890
Perth,21/03/2021,86938.142857143,608567
New York,09/02/2021,177196.285714286,1240374
Perth,24/01/2021,89161.571428571,624131
London,01/01/2021,163123.5,652494
Perth,11/03/2021,98413,688891
New York,04/02/2021,177561.857142857,1242933
London,09/03/2021,147176,1030232
New York,09/01/2021,185470.428571429,1298293
London,19/01/2021,159438.571428571,1116070
London,04/02/2021,153096.571428571,1071676
Perth,22/03/2021,93030.571428571,651214
London,26/02/2021,186911.428571429,1308380
Perth,13/03/2021,115747,810229
London,15/03/2021,161681.285714286,1131769
Perth,28/03/2021,102836.428571429,719855
New York,15/03/2021,169009.428571429,1183066
New York,31/01/2021,201169,1408183
New York,18/03/2021,181437.857142857,1270065
Perth,30/01/2021,105303.428571429,737124
London,14/02/2021,159594.857142857,1117164
London,05/02/2021,141936.714285714,993557
London,22/01/2021,169513.285714286,1186593
New York,01/02/2021,191925.571428571,1343479
New York,19/02/2021,159817,1118719
Perth,06/03/2021,99496.571428571,696476
London,20/03/2021,124161.428571429,869130
London,05/01/2021,149116.142857143,1043813
Perth,26/01/2021,100496.142857143,703473
New York,30/01/2021,200930.857142857,1406516
New York,21/01/2021,148565.571428571,1039959
New York,07/03/2021,215149.714285714,1506048
Perth,31/03/2021,94148,376592
London,29/03/2021,173854.333333333,1043126
London,13/02/2021,156858.428571429,1098009
London,17/01/2021,170432.428571429,1193027
London,04/03/2021,189833.571428571,1328835
New York,13/02/2021,164016,1148112
New York,24/01/2021,169394,1185758
London,30/01/2021,179455.571428571,1256189
New York,31/03/2021,181275.75,725103
Perth,12/03/2021,108906.571428571,762346
Perth,23/02/2021,97456.285714286,682194
New York,03/02/2021,189642.285714286,1327496
Perth,28/01/2021,102421,716947
New York,25/03/2021,166905.714285714,1168340
London,23/03/2021,123968,867776
New York,27/02/2021,177674,1243718
Perth,02/01/2021,115022.2,575111
Perth,19/01/2021,102357.857142857,716505
London,27/03/2021,160212,1121484
New York,21/03/2021,186224.714285714,1303573
Perth,17/02/2021,99049.571428571,693347
New York,14/03/2021,177775.857142857,1244431
London,02/01/2021,156324.8,781624
