Destination,Date,Rolling Week Avg,Rolling Week Total
London,01/01/2021,163123.5,652494
London,02/01/2021,156324.8,781624
London,03/01/2021,168986.66666666666,1013920
London,04/01/2021,159290.85714285713,1115036
London,05/01/2021,149116.14285714287,1043813
London,06/01/2021,159008.7142857143,1113061
London,07/01/2021,166073.2857142857,1162513
London,08/01/2021,175575.7142857143,1229030
London,09/01/2021,190765.7142857143,1335360
London,10/01/2021,188118.2857142857,1316828
London,11/01/2021,205388.0,1437716
London,12/01/2021,204895.85714285713,1434271
London,13/01/2021,196013.14285714287,1372092
London,14/01/2021,197201.57142857142,1380411
London,15/01/2021,192126.0,1344882
London,16/01/2021,181020.42857142858,1267143
London,17/01/2021,170432.42857142858,1193027
London,18/01/2021,165661.2857142857,1159629
London,19/01/2021,159438.57142857142,1116070
London,20/01/2021,169539.2857142857,1186775
London,21/01/2021,164534.7142857143,1151743
London,22/01/2021,169513.2857142857,1186593
London,23/01/2021,176976.85714285713,1238838
London,24/01/2021,187127.57142857142,1309893
London,25/01/2021,177712.0,1243984
London,26/01/2021,194421.0,1360947
London,27/01/2021,193409.57142857142,1353867
London,28/01/2021,196276.85714285713,1373938
London,29/01/2021,191251.57142857142,1338761
London,30/01/2021,179455.57142857142,1256189
London,31/01/2021,164203.2857142857,1149423
London,01/02/2021,165984.0,1161888
London,02/02/2021,155382.85714285713,1087680
London,03/02/2021,155106.57142857142,1085746
London,04/02/2021,153096.57142857142,1071676
London,05/02/2021,141936.7142857143,993557
London,06/02/2021,150394.7142857143,1052763
London,07/02/2021,153392.7142857143,1073749
London,08/02/2021,152933.42857142858,1070534
London,09/02/2021,161399.7142857143,1129798
London,10/02/2021,163038.0,1141266
London,11/02/2021,153001.85714285713,1071013
London,12/02/2021,151300.85714285713,1059106
London,13/02/2021,156858.42857142858,1098009
London,14/02/2021,159594.85714285713,1117164
London,15/02/2021,156798.0,1097586
London,16/02/2021,154453.0,1081171
London,17/02/2021,161375.7142857143,1129630
London,18/02/2021,174691.0,1222837
London,19/02/2021,182774.42857142858,1279421
London,20/02/2021,179297.0,1255079
London,21/02/2021,193265.2857142857,1352857
London,22/02/2021,205891.57142857142,1441241
London,23/02/2021,211172.14285714287,1478205
London,24/02/2021,192058.7142857143,1344411
London,25/02/2021,179534.2857142857,1256740
London,26/02/2021,186911.42857142858,1308380
London,27/02/2021,177171.14285714287,1240198
London,28/02/2021,170775.14285714287,1195426
London,01/03/2021,176580.0,1236060
London,02/03/2021,178324.85714285713,1248274
London,03/03/2021,187438.42857142858,1312069
London,04/03/2021,189833.57142857142,1328835
London,05/03/2021,177119.14285714287,1239834
London,06/03/2021,185391.14285714287,1297738
London,07/03/2021,177011.85714285713,1239083
London,08/03/2021,161245.14285714287,1128716
London,09/03/2021,147176.0,1030232
London,10/03/2021,152330.0,1066310
London,11/03/2021,153406.85714285713,1073848
London,12/03/2021,162090.7142857143,1134635
London,13/03/2021,158965.14285714287,1112756
London,14/03/2021,155349.2857142857,1087445
London,15/03/2021,161681.2857142857,1131769
London,16/03/2021,159116.42857142858,1113815
London,17/03/2021,146147.42857142858,1023032
London,18/03/2021,144379.7142857143,1010658
London,19/03/2021,133257.57142857142,932803
London,20/03/2021,124161.42857142857,869130
London,21/03/2021,128622.85714285714,900360
London,22/03/2021,122970.42857142857,860793
London,23/03/2021,123968.0,867776
London,24/03/2021,132164.57142857142,925152
London,25/03/2021,149029.2857142857,1043205
London,26/03/2021,157104.85714285713,1099734
London,27/03/2021,160212.0,1121484
London,28/03/2021,168414.7142857143,1178903
London,29/03/2021,173854.33333333334,1043126
London,30/03/2021,180690.8,903454
London,31/03/2021,184121.25,736485
New York,01/01/2021,210739.25,842957
New York,02/01/2021,215581.4,1077907
New York,03/01/2021,202301.83333333334,1213811
New York,04/01/2021,200880.85714285713,1406166
New York,05/01/2021,191463.7142857143,1340246
New York,06/01/2021,192934.7142857143,1350543
New York,07/01/2021,194245.85714285713,1359721
New York,08/01/2021,191771.57142857142,1342401
New York,09/01/2021,185470.42857142858,1298293
New York,10/01/2021,188669.57142857142,1320687
New York,11/01/2021,187499.85714285713,1312499
New York,12/01/2021,187003.7142857143,1309026
New York,13/01/2021,192440.42857142858,1347083
New York,14/01/2021,183485.2857142857,1284397
