Hour,Minute,From,To
0,1,G,8
0,2,4,G
0,2,11,G
0,3,B,G
0,4,1,G
0,4,10,11
0,5,6,3
0,5,G,11
0,6,G,11
0,6,G,10
0,8,G,9
0,10,2,1
0,10,1,G
0,11,11,G
0,11,5,G
0,12,6,11
0,12,10,1
0,13,1,G
0,14,G,9
0,15,G,9
0,15,G,7
0,16,5,G
0,18,G,9
0,18,1,G
0,19,B,4
0,20,3,2
0,20,B,G
0,21,G,2
0,22,5,B
0,23,G,7
0,23,3,11
0,24,G,4
0,24,10,G
0,24,G,B
0,26,7,G
0,26,11,G
0,27,6,5
0,28,7,2
0,29,9,G
0,30,G,4
0,32,G,8
0,32,10,G
0,34,G,6
0,34,4,11
0,35,2,G
0,36,9,G
0,36,6,G
0,36,G,4
0,37,5,G
0,37,2,5
0,38,G,6
0,38,1,11
0,39,9,8
0,40,G,4
0,41,G,11
0,41,B,11
0,43,4,G
0,44,9,G
0,45,G,8
0,46,G,B
0,46,G,8
0,47,10,G
0,47,4,9
0,47,3,G
0,49,5,G
0,49,G,6
0,49,2,5
0,52,3,2
0,54,7,G
0,54,6,2
0,55,10,G
0,57,G,11
0,57,8,G
0,58,4,G
0,58,10,2
0,59,7,5
0,59,6,4
0,59,G,6
1,1,G,5
1,1,10,G
1,2,G,B
1,3,7,B
1,3,G,9
1,4,G,B
1,4,7,G
1,5,B,8
1,8,G,8
1,10,7,G
1,10,4,G
1,11,1,G
1,11,7,3
1,12,2,G
1,13,11,7
1,13,5,G
1,13,10,2
1,14,8,G
1,15,G,3
1,15,3,5
1,16,G,6
1,18,1,G
1,19,5,11
1,20,9,10
1,22,G,10
1,23,9,G
1,23,1,2
1,24,G,3
1,24,G,2
1,25,4,11
1,26,3,G
1,27,G,7
1,27,1,8
1,28,G,10
1,28,6,10
1,28,1,10
1,29,1,5
1,29,6,B
1,30,7,G
1,30,G,1
1,31,B,10
1,32,G,5
1,33,G,3
1,33,B,G
1,34,4,7
1,34,8,9
1,35,G,10
1,35,6,G
1,36,9,G
1,36,5,G
1,37,10,G
1,37,G,7
1,38,10,7
1,38,11,G
1,39,1,5
1,39,10,7
1,40,9,4
1,41,5,3
1,41,7,5
1,42,10,7
1,44,G,4
1,44,G,9
1,45,G,2
1,46,G,6
1,47,G,3
1,48,5,G
1,49,G,9
1,51,G,11
1,52,5,3
1,53,9,1
1,53,1,G
1,54,10,4
1,55,G,10
1,56,3,B
1,56,9,G
1,57,G,B
1,57,10,6
1,58,8,G
1,58,8,4
2,1,1,9
2,1,G,1
2,5,11,3
2,5,B,G
2,5,G,2
2,6,G,6
2,6,4,6
2,8,2,G
2,9,7,6
2,9,G,5
2,10,G,9
2,11,G,6
2,12,8,G
2,13,10,4
2,13,G,1
2,14,1,G
2,15,2,G
2,15,9,3
2,18,G,6
2,20,3,10
2,20,G,B
2,20,B,G
2,21,4,G
2,22,6,G
2,24,10,G
2,24,2,G
2,25,G,8
2,25,G,6
2,25,10,B
2,26,10,G
2,26,8,1
2,27,9,7
2,28,7,4
2,29,G,1
2,29,7,G
2,31,10,G
2,33,6,3
2,33,G,3
2,34,G,B
2,35,3,G
2,35,G,7
2,37,10,3
2,37,11,9
2,38,4,G
2,38,G,5
2,39,2,B
2,39,G,7
2,39,G,7
2,40,G,5
2,40,3,G
2,40,G,2
2,41,11,6
2,41,10,G
2,42,7,G
2,42,B,1
2,43,8,G
2,43,4,8
2,43,G,6
2,45,G,5
2,46,11,B
2,48,9,G
2,49,8,G
2,50,5,7
2,50,2,G
2,52,B,1
2,53,2,11
2,54,7,G
2,54,6,2
2,54,9,G
2,55,6,10
2,55,9,1
2,56,4,1
2,58,G,1
2,58,G,4
2,59,G,11
2,59,8,6
3,1,G,10
3,2,5,G
3,3,4,G
3,3,8,G
3,4,7,G
3,4,G,1
3,4,11,G
3,5,9,G
3,5,9,G
3,5,7,10
3,6,5,6
3,6,6,1
3,8,G,9
3,8,G,1
3,9,G,2
3,10,10,G
3,10,G,7
3,11,G,7
3,12,G,B
3,13,G,1
3,13,4,G
3,14,7,9
3,15,B,G
3,15,G,5
3,15,G,9
3,16,G,1
3,16,G,2
3,17,8,G
3,17,G,10
3,18,1,9
3,20,11,G
3,21,5,6
3,21,11,7
3,22,8,1
3,22,4,9
3,23,G,2
3,23,6,G
3,24,11,G
3,24,4,10
3,25,B,G
3,25,1,G
3,25,5,G
3,26,4,G
3,26,9,G
3,26,G,B
3,27,5,4
3,27,3,G
3,27,G,6
3,28,2,9
3,28,6,9
3,28,G,5
3,29,3,8
3,29,11,9
3,31,G,10
3,33,11,G
3,33,G,4
3,34,8,3
3,35,G,3
3,35,5,11
3,36,6,11
3,36,6,G
3,37,10,G
3,38,G,10
3,38,7,6
3,39,9,G
3,39,11,3
3,39,G,7
3,41,11,G
3,43,9,10
3,43,G,5
3,43,7,G
3,44,G,8
3,45,G,1
3,47,5,G
3,47,G,8
3,48,4,G
3,50,9,B
3,51,G,10
3,51,G,1
3,53,G,10
3,54,G,B
3,54,10,1
3,55,G,1
3,55,G,6
3,56,G,11
3,57,3,11
3,57,G,7
3,58,6,G
4,1,7,G
4,1,2,G
4,2,9,G
4,3,5,2
4,3,1,6
4,5,9,3
4,6,G,1
4,6,8,G
4,7,9,G
4,7,3,G
4,8,5,8
4,8,1,G
4,9,4,G
4,9,5,G
4,10,G,8
4,11,10,G
4,11,7,G
4,11,6,G
4,12,4,8
4,12,2,9
4,13,7,G
4,14,G,8
4,15,B,G
4,16,G,B
4,17,G,2
4,19,5,10
4,20,G,7
4,20,4,G
4,21,6,G
4,21,11,8
4,22,G,1
4,22,1,G
4,23,6,2
4,23,G,6
4,24,4,G
4,25,G,6
4,25,G,7
4,26,G,2
4,26,6,3
4,26,G,5
4,27,2,G
4,27,9,1
4,28,7,6
4,28,11,8
4,29,G,3
4,29,G,1
4,30,4,2
4,30,4,6
4,31,7,G
4,31,10,G
4,31,G,4
4,32,3,G
4,32,G,10
4,33,G,4
4,33,G,8
4,34,G,1
4,35,10,G
4,36,10,G
4,37,8,1
4,37,1,G
4,37,2,G
4,38,1,4
4,38,2,B
4,40,4,G
4,40,G,6
4,40,B,11
4,41,4,G
4,44,G,6
4,44,G,10
4,45,3,5
4,45,9,G
4,48,6,G
4,48,G,9
4,49,B,G
4,51,G,6
4,51,B,8
4,52,1,5
4,52,G,3
4,53,9,G
4,54,G,11
4,55,9,G
4,55,1,2
4,55,G,11
4,56,10,4
4,57,2,G
4,57,10,2
4,58,2,8
4,59,G,3
4,59,11,9
4,59,G,5
5,1,11,3
5,2,G,1
5,2,G,8
5,3,5,G
5,3,1,11
5,3,G,6
5,4,G,4
5,4,7,G
5,5,G,B
5,5,B,1
5,6,10,G
5,7,G,4
5,7,7,G
5,9,G,6
5,10,G,3
5,12,2,G
5,12,5,2
5,13,G,9
5,13,9,6
5,14,G,4
5,14,9,G
5,14,G,2
5,15,G,B
5,15,10,G
5,17,2,1
5,17,G,1
5,19,G,4
5,20,8,G
5,20,B,G
5,20,7,G
5,21,3,8
5,21,2,5
5,22,G,4
5,23,G,11
5,24,9,G
5,24,G,6
5,26,G,5
5,27,G,5
5,28,G,9
5,28,G,3
5,29,1,8
5,30,G,11
5,30,G,10
5,31,2,11
5,31,10,5
5,32,G,11
5,32,10,G
5,33,G,B
5,33,8,G
5,33,5,G
5,34,7,3
5,34,B,G
5,34,G,B
5,35,G,6
5,36,G,4
5,37,B,2
5,37,8,G
5,38,6,3
5,38,11,9
5,39,G,3
5,39,G,7
5,39,7,5
5,40,9,11
5,41,1,G
5,42,11,5
5,43,3,G
5,43,9,G
5,43,G,11
5,44,2,G
5,45,7,G
5,45,4,G
5,46,5,6
5,46,2,G
5,47,8,B
5,47,9,5
5,48,3,G
5,48,1,G
5,49,G,9
5,51,G,3
5,51,8,3
5,52,4,11
5,52,8,7
5,53,G,2
5,53,G,3
5,54,8,G
5,54,1,G
5,54,G,7
5,55,10,G
5,56,G,7
5,56,1,G
5,56,5,9
5,57,9,3
5,58,G,9
5,58,4,G
5,59,2,1
6,1,G,11
6,1,4,G
6,2,B,G
6,2,G,10
6,3,G,B
6,3,7,G
6,4,2,4
6,6,4,G
6,7,G,2
6,7,G,3
6,8,5,6
6,9,11,5
6,10,8,G
6,10,G,11
6,10,G,10
6,11,4,9
6,11,2,9
6,12,G,10
6,13,3,8
6,14,G,10
6,15,G,4
6,16,7,G
6,16,10,G
6,17,4,B
6,17,6,4
6,17,11,G
6,18,6,1
6,18,2,11
6,19,6,7
6,20,G,3
6,21,5,G
6,22,6,5
6,22,B,G
6,23,8,G
6,23,G,9
6,23,5,3
6,24,9,G
6,24,9,2
6,25,10,5
6,25,G,7
6,27,8,G
6,29,2,1
6,30,7,G
6,30,G,8
6,31,4,9
6,31,6,3
6,31,6,G
6,32,G,1
6,33,6,8
6,34,G,11
6,34,10,G
6,34,G,B
6,35,2,8
6,36,G,1
6,36,G,1
6,36,G,6
6,37,1,G
6,37,2,G
6,37,7,5
6,38,3,G
6,39,G,9
6,40,G,5
6,41,8,3
6,42,7,G
6,42,G,7
6,43,G,10
6,43,1,4
6,44,10,G
6,45,4,7
6,45,4,9
6,46,6,11
6,46,1,G
6,47,8,G
6,47,1,3
6,48,8,9
6,48,G,6
6,49,4,G
6,49,G,2
6,51,G,10
6,51,3,G
6,53,4,5
6,53,4,G
6,54,5,G
6,54,G,11
6,55,7,3
6,55,11,7
6,55,2,G
6,57,G,8
6,57,G,11
6,57,3,9
6,58,G,1
6,59,7,G
7,1,G,7
7,2,G,B
7,2,11,G
7,3,3,10
7,3,2,6
7,3,G,2
7,4,G,10
7,4,10,B
7,4,11,G
7,5,3,G
7,6,10,G
7,7,G,2
7,8,G,10
7,8,G,7
7,9,7,G
7,10,8,G
7,11,3,G
7,11,8,4
7,11,1,G
7,12,G,9
7,13,5,G
7,13,4,3
7,14,11,3
7,14,5,G
7,14,1,G
7,16,G,B
7,16,G,6
7,17,G,3
7,17,G,8
7,18,4,G
7,19,1,7
7,20,G,7
7,24,G,11
7,25,11,4
7,25,2,5
7,26,6,G
7,27,G,1
7,28,6,G
7,28,G,5
7,29,4,6
7,30,10,3
7,31,G,6
7,33,7,5
7,37,1,9
7,38,G,8
7,38,5,G
7,38,4,B
7,39,4,5
7,40,B,5
7,42,4,G
7,44,2,G
7,44,1,6
7,45,10,5
7,46,G,7
7,47,2,G
7,47,3,4
7,47,6,1
7,48,G,4
7,48,1,5
7,48,G,7
7,49,2,G
7,50,G,11
7,51,5,G
7,52,3,1
7,53,2,8
7,53,6,G
7,54,7,10
7,54,G,6
7,55,5,G
7,56,G,7
7,58,3,G
7,59,G,1
8,1,1,5
8,2,2,8
8,3,G,3
8,3,1,11
8,5,G,2
8,6,2,G
8,7,8,5
8,8,B,G
8,9,6,7
8,10,4,11
8,10,1,G
8,11,1,G
8,11,8,G
8,12,G,6
8,12,4,3
8,14,10,G
8,15,4,10
8,16,1,2
8,16,G,11
8,16,B,G
8,17,9,G
8,17,7,G
8,18,1,G
8,18,9,G
8,19,3,9
8,19,8,6
8,21,G,9
8,22,10,7
8,23,2,4
8,23,8,G
8,24,5,4
8,25,2,G
8,26,G,B
8,27,G,1
8,27,7,8
8,27,G,9
8,28,G,1
8,28,3,G
8,29,4,G
8,29,G,10
8,30,8,2
8,31,5,9
8,31,G,2
8,31,8,G
8,32,G,B
8,34,G,10
8,35,1,G
8,36,G,8
8,36,3,G
8,39,4,2
8,40,2,G
8,40,B,10
8,40,G,1
8,41,B,G
8,41,9,G
8,41,5,G
8,43,G,4
8,43,9,8
8,43,11,G
8,46,G,3
8,46,G,2
8,47,5,11
8,47,G,4
8,48,G,1
8,50,5,B
8,51,10,G
8,51,2,1
8,51,8,G
8,52,B,G
8,53,9,G
8,53,1,G
8,54,9,G
8,54,11,8
8,55,10,2
8,56,2,G
8,56,G,9
8,57,3,G
8,57,B,8
8,58,7,11
8,58,G,6
8,58,6,1
8,59,6,G
9,2,G,2
9,3,7,9
9,3,7,G
9,4,G,11
9,4,6,3
9,4,9,G
9,6,2,9
9,7,G,11
9,7,6,5
9,8,G,10
9,9,2,1
9,10,G,B
9,11,G,5
9,12,G,9
9,12,G,B
9,13,2,7
9,15,G,4
9,16,G,9
9,16,1,3
9,16,3,G
9,18,B,G
9,19,5,G
9,19,B,7
9,20,11,10
9,20,4,G
9,20,7,5
9,21,9,G
9,23,5,G
9,23,10,1
9,23,G,11
9,24,G,2
9,24,4,G
9,24,1,7
9,25,G,B
9,25,G,7
9,26,4,10
9,26,G,6
9,26,11,G
9,27,2,11
9,27,G,9
9,28,B,G
9,29,G,1
9,30,G,11
9,31,G,B
9,32,G,7
9,32,G,3
9,33,G,5
9,33,G,7
9,34,9,G
9,35,G,9
9,36,G,B
9,37,3,G
9,37,5,G
9,38,11,G
9,38,G,10
9,39,B,G
9,40,G,10
9,41,5,G
9,41,10,G
9,41,G,5
9,42,9,G
9,42,9,B
9,42,G,7
9,44,3,G
9,44,8,B
9,45,G,11
9,46,G,7
9,46,G,1
9,49,G,8
9,49,G,7
9,50,10,9
9,50,G,5
9,50,5,G
9,52,G,4
9,52,G,9
9,52,B,4
9,54,9,G
9,54,G,B
9,54,G,B
9,56,9,B
9,56,G,10
9,57,6,G
9,58,3,G
9,58,11,4
9,59,9,G
10,1,G,5
10,2,8,4
10,2,G,10
10,3,4,G
10,3,G,7
10,4,G,4
10,5,G,11
10,6,G,B
10,6,G,B
10,7,G,4
10,7,9,G
10,7,6,G
10,8,11,G
10,8,G,2
10,9,G,6
10,10,1,11
10,11,B,G
10,12,5,G
10,12,9,5
10,13,6,11
10,13,9,2
10,13,9,8
10,14,G,9
10,14,9,G
10,16,10,G
10,17,11,8
10,18,3,G
10,19,2,1
10,20,1,9
10,22,G,10
10,23,G,11
10,23,4,2
10,24,11,6
10,24,6,G
10,24,7,9
10,25,7,G
10,25,4,B
10,26,4,G
10,26,5,6
10,26,G,8
10,28,G,3
10,29,4,G
10,30,8,3
10,30,11,G
10,31,G,10
10,31,B,2
10,32,5,G
10,32,G,B
10,34,10,G
10,35,G,9
10,35,G,7
10,36,G,1
10,36,8,G
10,37,3,9
10,37,G,B
10,39,5,8
10,40,G,5
10,40,G,4
10,41,B,G
10,42,7,9
10,42,7,G
10,43,3,G
10,44,G,4
10,45,B,7
10,45,G,7
10,46,2,G
10,46,2,G
10,46,2,G
10,47,G,5
10,48,G,4
10,49,6,8
10,49,G,1
10,50,G,6
10,51,10,2
10,51,8,G
10,51,G,6
10,52,G,6
10,53,B,G
10,54,G,5
10,54,G,10
10,54,7,10
10,55,11,G
10,57,7,G
10,59,11,G
10,59,1,7
11,1,7,G
11,2,10,1
11,3,6,11
11,3,8,B
11,4,G,10
11,4,5,G
11,7,1,G
11,8,4,7
11,9,4,1
11,9,11,G
11,10,5,11
11,10,2,G
11,10,8,G
11,11,7,G
11,11,G,4
11,12,6,G
11,12,G,4
11,13,8,G
11,14,11,1
11,14,2,G
11,15,G,10
11,15,G,1
11,17,5,11
11,17,3,8
11,18,G,5
11,19,8,G
11,19,6,5
11,19,8,1
11,20,4,G
11,20,G,7
11,21,11,4
11,22,B,G
11,22,4,G
11,23,1,5
11,23,9,G
11,24,1,G
11,25,G,3
11,25,G,4
11,26,4,G
11,27,G,7
11,28,4,G
11,29,2,1
11,30,G,B
11,30,G,2
11,30,3,G
11,31,G,9
11,32,6,G
11,33,1,2
11,33,5,G
11,34,3,G
11,35,G,9
11,36,5,G
11,36,G,9
11,38,G,10
11,39,G,5
11,39,G,3
11,40,11,5
11,41,2,G
11,41,6,G
11,42,4,G
11,42,9,4
11,43,G,8
11,43,G,5
11,43,4,10
11,44,2,6
11,45,4,B
11,46,6,G
11,47,G,5
11,47,2,3
11,47,11,1
11,48,7,G
11,48,G,1
11,48,8,1
11,49,G,1
11,50,G,11
11,50,10,3
11,51,G,11
11,52,5,1
11,52,G,4
11,52,G,7
11,53,G,11
11,53,2,9
11,54,G,2
11,55,4,G
11,57,9,11
11,57,7,2
11,58,2,9
11,59,7,G
12,1,G,7
12,1,5,8
12,3,G,7
12,3,G,2
12,5,11,10
12,5,6,11
12,6,5,7
12,6,B,8
12,6,10,7
12,7,4,G
12,7,G,4
12,8,7,G
12,8,2,8
12,9,8,G
12,9,G,4
12,9,5,G
12,10,1,G
12,11,8,B
12,13,3,G
12,14,B,G
12,16,2,3
12,18,7,G
12,18,G,3
12,18,5,B
12,19,G,6
12,19,G,8
12,19,10,4
12,20,1,G
12,22,G,3
12,22,9,5
12,22,4,G
12,23,10,6
12,23,3,G
12,24,11,G
12,25,8,G
12,25,B,3
12,26,9,G
12,26,G,B
12,27,7,G
12,28,G,8
12,29,9,6
12,29,7,G
12,30,1,G
12,31,6,3
12,32,7,G
12,32,8,G
12,33,4,G
12,33,6,9
12,34,11,9
12,35,2,3
12,35,8,G
12,37,2,3
12,37,10,3
12,38,G,10
12,38,4,3
12,39,8,11
12,40,11,G
12,40,10,G
12,41,8,7
12,43,4,6
12,44,B,4
12,44,7,9
12,44,6,G
12,45,G,6
12,45,G,8
12,46,G,5
12,46,6,4
12,47,4,G
12,48,10,G
12,48,1,G
12,48,10,11
12,49,B,G
12,49,3,5
12,49,G,1
12,50,G,8
12,50,2,G
12,50,G,10
12,51,8,G
12,51,G,5
12,51,2,G
12,52,2,4
12,53,5,7
12,54,7,1
12,54,B,G
12,54,G,2
12,55,9,G
12,56,11,G
12,56,G,9
12,57,5,G
12,57,3,6
12,58,10,7
12,58,G,3
13,1,5,1
13,1,1,7
13,2,G,2
13,3,3,G
13,3,10,G
13,3,3,G
13,4,B,11
13,4,9,6
13,5,G,10
13,9,3,G
13,9,G,8
13,11,G,3
13,12,11,B
13,12,G,B
13,14,G,7
13,15,B,G
13,15,3,G
13,15,5,B
13,16,G,10
13,16,11,6
13,17,7,9
13,18,G,B
13,19,11,7
13,19,2,7
13,20,9,G
13,20,G,B
13,21,3,G
13,21,G,3
13,21,8,G
13,22,9,11
13,23,1,G
13,23,11,G
13,25,G,9
13,25,G,B
13,25,3,1
13,26,9,10
13,27,11,G
13,28,9,G
13,29,6,11
13,29,3,6
13,31,10,11
13,32,G,B
13,33,4,B
13,33,1,3
13,34,7,G
13,34,3,2
13,35,11,G
13,36,G,11
13,36,11,G
13,36,G,B
13,39,1,10
13,39,G,1
13,40,G,6
13,41,8,G
13,42,9,G
13,42,G,3
13,42,3,G
13,43,G,9
13,46,9,G
13,46,2,10
13,48,5,G
13,49,10,G
13,49,9,4
13,49,5,9
13,50,G,10
13,50,G,10
13,51,G,2
13,53,11,G
13,54,7,10
13,54,G,3
13,56,7,9
13,56,8,G
13,58,G,4
13,59,6,G
13,59,11,9
14,1,3,11
14,2,7,G
14,4,G,7
14,5,2,G
14,5,G,1
14,6,5,G
14,7,4,3
