Trilogy Ranking,Trilogy,Trilogy Average,Film Order,Title,Rating,Total Films in Series
1,Lord of the Rings,8.8,2,The Lord of the Rings: The Two Towers,8.7,3
1,Lord of the Rings,8.8,1,The Lord of the Rings: The Fellowship of the Ring,8.8,3
1,Lord of the Rings,8.8,3,The Lord of the Rings: The Return of the King,8.9,3
2,The Godfather,8.6,3,The Godfather Part III,7.6,3
2,The Godfather,8.6,2,The Godfather: Part II,9.0,3
2,The Godfather,8.6,1,The Godfather,9.2,3
3,The Dark Knight,8.5,1,Batman Begins,8.2,3
3,The Dark Knight,8.5,3,The Dark Knight Rises,8.4,3
3,The Dark Knight,8.5,2,The Dark Knight,9.0,3
4,Star Wars,8.5,6,Star Wars: Return of the Jedi,8.3,9
4,Star Wars,8.5,4,Star Wars: Episode IV - A New Hope,8.6,9
4,Star Wars,8.5,5,Star Wars: Episode V - The Empire Strikes Back,8.7,9
5,Dollars,8.3,1,A Fistful of Dollars,8.0,3
5,Dollars,8.3,2,For a Few Dollars More,8.2,3
5,Dollars,8.3,3,"The Good, the Bad and the Ugly",8.8,3
6,Once Upon a Time,8.2,2,A Fistful of Dynamite,7.6,3
6,Once Upon a Time,8.2,3,Once Upon a Time in America,8.4,3
6,Once Upon a Time,8.2,1,Once Upon a Time in the West,8.5,3
7,Toy Story,8.1,2,Toy Story 2,7.9,4
7,Toy Story,8.1,3,Toy Story 3,8.2,4
7,Toy Story,8.1,1,Toy Story,8.3,4
8,The Before,8.0,3,Before Midnight,7.9,3
8,The Before,8.0,1,Before Sunrise,8.1,3
8,The Before,8.0,2,Before Sunset,8.1,3
9,Back to the Future,7.9,3,Back to the Future Part III,7.4,3
9,Back to the Future,7.9,2,Back to the Future Part II,7.8,3
9,Back to the Future,7.9,1,Back to the Future,8.5,3
10,The Vengeance,7.9,1,Sympathy for Mr. Vengeance,7.6,3
10,The Vengeance,7.9,3,Chinjeolhan geumjassi,7.6,3
10,The Vengeance,7.9,2,Oldboy,8.4,3
11,Three Colours,7.9,2,Three Colors: White,7.6,3
11,Three Colours,7.9,1,Three Colors: Blue,7.9,3
11,Three Colours,7.9,3,Three Colours: Red,8.1,3
12,Death,7.7,3,Babel,7.4,3
12,Death,7.7,2,21 Grams,7.6,3
12,Death,7.7,1,Love's a Bitch,8.1,3
13,The Hobbit,7.7,3,The Hobbit: The Battle of the Five Armies,7.4,3
13,The Hobbit,7.7,1,The Hobbit: An Unexpected Journey,7.8,3
13,The Hobbit,7.7,2,The Hobbit: The Desolation of Smaug,7.8,3
14,Three Flavours Cornetto,7.6,3,The World's End,7.0,3
14,Three Flavours Cornetto,7.6,2,Hot Fuzz,7.8,3
14,Three Flavours Cornetto,7.6,1,Shaun of the Dead,7.9,3
15,Matrix,7.6,3,The Matrix Revolutions,6.8,3
15,Matrix,7.6,2,The Matrix Reloaded,7.2,3
15,Matrix,7.6,1,The Matrix,8.7,3
16,Evil Dead,7.6,1,The Evil Dead,7.5,4
16,Evil Dead,7.6,3,Army of Darkness,7.5,4
16,Evil Dead,7.6,2,Evil Dead II,7.7,4
17,Captain America,7.5,1,Captain America: The First Avenger,6.9,3
17,Captain America,7.5,2,Captain America: The Winter Soldier,7.7,3
17,Captain America,7.5,3,Captain America: Civil War,7.8,3
18,Millennium,7.4,2,The Girl Who Played with Fire,7.2,3
18,Millennium,7.4,3,The Girl Who Kicked the Hornets' Nest,7.3,3
18,Millennium,7.4,1,The Girl with the Dragon Tattoo,7.8,3
19,Iron Man,7.3,2,Iron Man 2,7.0,3
19,Iron Man,7.3,3,Iron Man Three,7.1,3
19,Iron Man,7.3,1,Iron Man,7.9,3
20,X-Men,7.2,3,X-Men: The Last Stand,6.7,10
20,X-Men,7.2,1,X-Men,7.4,10
20,X-Men,7.2,2,X-Men 2,7.4,10
21,Wolverine,7.1,4,X-Men Origins: Wolverine,6.6,10
21,Wolverine,7.1,5,The Wolverine,6.7,10
21,Wolverine,7.1,6,Logan,8.1,10
22,Ocean's,7.0,2,Ocean's Twelve,6.5,4
22,Ocean's,7.0,3,Ocean's Thirteen,6.9,4
22,Ocean's,7.0,1,Ocean's Eleven,7.7,4
23,The Naked Gun,7.0,3,Naked Gun 33 1/3: The Final Insult,6.5,3
23,The Naked Gun,7.0,2,The Naked Gun 2½: The Smell of Fear,6.9,3
23,The Naked Gun,7.0,1,The Naked Gun: From the Files of Police Squad!,7.6,3
24,Spider-Man,6.9,3,Spider-Man 3,6.2,3
24,Spider-Man,6.9,1,Spider-Man,7.3,3
24,Spider-Man,6.9,2,Spider-Man 2,7.3,3
25,Mad Max,6.9,3,Mad Max Beyond Thunderdome,6.3,4
25,Mad Max,6.9,1,Mad Max,6.9,4
25,Mad Max,6.9,2,Mad Max 2,7.6,4
26,Prequel,6.8,1,Star Wars: Episode I - The Phantom Menace,6.5,9
26,Prequel,6.8,2,Star Wars: Episode II - Attack of the Clones,6.5,9
26,Prequel,6.8,3,Star Wars: Episode III - Revenge of the Sith,7.5,9
27,Mexico,6.8,3,Once Upon a Time in Mexico,6.4,3
27,Mexico,6.8,1,El mariachi,6.9,3
27,Mexico,6.8,2,Desperado,7.2,3
28,MIB,6.8,2,Men in Black II,6.2,4
28,MIB,6.8,3,Men in Black 3,6.8,4
28,MIB,6.8,1,Men in Black,7.3,4
29,Madagascar,6.8,2,Madagascar: Escape 2 Africa,6.6,3
29,Madagascar,6.8,3,Madagascar 3: Europe's Most Wanted,6.8,3
29,Madagascar,6.8,1,Madagascar,6.9,3
30,The Hangover,6.6,3,The Hangover Part III,5.8,3
30,The Hangover,6.6,2,The Hangover Part II,6.4,3
30,The Hangover,6.6,1,The Hangover,7.7,3
