SEASON    LEAGUE     P    W    D    L    F    A    P      POS

1906-07   SOUTH-2   22   14    5    3   58   23   33      1/12
1907-08   SOUTH-2   18   13    3    2   47   16   29      1/10
1908-09   SOUTH-1   40   14   10   16   52   54   38     12/21
1909-10   SOUTH-1   42   12    9   21   51   90   33     20/22
1910-11   SOUTH-1   38   10    9   19   47   64   29     19/20
1911-12   SOUTH-2   26   16    1    9   73   24   33      4/14
1912-13   SOUTH-2   24   14    6    4   43   23   34      2/13
1913-14   SOUTH-1   38   10   12   16   41   66   32     16/20
1914-15   SOUTH-1   38   10    8   20   44   64   28     18/20

1919-20   SOUTH-1   42   13   17   12   46   48   43     11/22
1920-21   FL-3S     42   14    8   20   44   61   36     17/22
1921-22   FL-3S     42    8   11   23   34   74   27     22/22
1922-23   FL-3S     42   12   13   17   49   54   37     15/22
1923-24   FL-3S     42   12   10   20   53   84   34     19/22
1924-25   FL-3S     42   19    5   18   51   61   43     10/22
1925-26   FL-3S     42   19    4   19   78   73   42     11/22
1926-27   FL-3S     42   14    6   22   64   77   34     19/22
1927-28   FL-3S     42   20    6   16   80   64   46      7/22
1928-29   FL-3S     42   15   11   16   80   75   41     12/22
1929-30   FL-3S     42   15   13   14   69   59   43     11/22
1930-31   FL-3S     42   22    5   15   76   60   49      5/22
1931-32   FL-3S     42   21   11   10   77   53   53      3/22
1932-33   FL-3S     42   15   11   16   65   82   41     13/22
1933-34   FL-3S     42   12   10   20   51   74   34     16/22
1934-35   FL-3S     42   11    9   22   65   78   31     21/22
1935-36   FL-3S     42   13   10   19   61   62   36     18/22
1936-37   FL-3S     42   17   11   14   78   67   45     10/22
1937-38   FL-3S     42   15   10   17   70   68   40     12/22
1938-39   FL-3S     42   16    9   17   61   64   41     12/22
1939-40   FL-3S      3    1    1    1    3    3    3     ABAND

1946-47   FL-3S     42   17   10   15   71   60   44      8/22
1947-48   FL-3S     42   15   13   14   51   58   43      9/22
1948-49   FL-3S     42    9   16   17   41   46   34     18/22
1949-50   FL-3S     42   19   13   10   66   48   51      3/22
1950-51   FL-3S     46   21   10   15   92   69   52      7/24
1951-52   FL-3S     46   19   10   17   75   66   48      9/24
1952-53   FL-3S     46   18   13   15   69   74   49      8/24
1953-54   FL-3S     46   18    7   21   69   71   43     16/24
1954-55   FL-3S     46   17   12   17   83   80   46     10/24
1955-56   FL-3S     46   21   11   14   88   80   53      4/24
1956-57   FL-3S     46   18   12   16   73   65   48      7/24
1957-58   FL-3S     46   21   12   13   90   58   54      7/24
1958-59   FL-3      46   21    8   17   85   80   50      8/24
1959-60   FL-3      46   19    8   19   76   74   46     12/24
