Avg raised per weekday,Value raised per day,Days into fund raising,Date,Total Raised to date
40.773809524,,0,Friday,0.0
31.094566353,0,1,Saturday,0.0
30.276268116,0,2,Sunday,0.0
32.806372549,0,3,Monday,0.0
30.929292929,0,4,Tuesday,0.0
33.442982456,0,5,Wednesday,0.0
31.652421652,0,6,Thursday,0.0
40.773809524,42.857142857,7,Friday,300.0
31.094566353,37.5,8,Saturday,300.0
30.276268116,33.333333333,9,Sunday,300.0
32.806372549,30,10,Monday,300.0
30.929292929,27.272727273,11,Tuesday,300.0
33.442982456,41.666666667,12,Wednesday,500.0
31.652421652,38.461538462,13,Thursday,500.0
40.773809524,35.714285714,14,Friday,500.0
31.094566353,33.333333333,15,Saturday,500.0
30.276268116,31.25,16,Sunday,500.0
32.806372549,47.058823529,17,Monday,800.0
30.929292929,44.444444444,18,Tuesday,800.0
33.442982456,42.105263158,19,Wednesday,800.0
31.652421652,40,20,Thursday,800.0
40.773809524,38.095238095,21,Friday,800.0
31.094566353,36.363636364,22,Saturday,800.0
30.276268116,56.52173913,23,Sunday,1300.0
32.806372549,54.166666667,24,Monday,1300.0
30.929292929,52,25,Tuesday,1300.0
33.442982456,50,26,Wednesday,1300.0
31.652421652,48.148148148,27,Thursday,1300.0
40.773809524,46.428571429,28,Friday,1300.0
31.094566353,48.275862069,29,Saturday,1400.0
