Outdoors,Turbo Trainer,Date,Activities per Day
0,25,01/01/2021,2
0,15,02/01/2021,1
0,22.5,03/01/2021,1
0,10,04/01/2021,1
0,15,05/01/2021,1
0,0,06/01/2021,0
0,22.5,07/01/2021,1
0,10,08/01/2021,1
0,22.5,09/01/2021,1
0,20,10/01/2021,2
0,10,11/01/2021,1
0,15,12/01/2021,1
0,15,13/01/2021,1
0,22.5,14/01/2021,1
0,10,15/01/2021,1
0,22.5,16/01/2021,1
0,10,17/01/2021,1
0,15,18/01/2021,1
0,0,19/01/2021,0
0,10,20/01/2021,1
0,15,21/01/2021,1
0,15,22/01/2021,2
0,22.5,23/01/2021,1
0,15,24/01/2021,1
0,0,25/01/2021,0
0,15,26/01/2021,1
0,15,27/01/2021,1
0,10,28/01/2021,1
0,15,29/01/2021,1
0,0,30/01/2021,0
0,10,31/01/2021,1
0,15,01/02/2021,2
0,10,02/02/2021,1
0,22.5,03/02/2021,1
0,10,04/02/2021,1
0,15,05/02/2021,1
13.1,15,06/02/2021,2
0,0,07/02/2021,0
0,0,08/02/2021,0
0,15,09/02/2021,1
0,15,10/02/2021,1
0,0,11/02/2021,0
0,22.5,12/02/2021,1
0,0,13/02/2021,0
0,0,14/02/2021,0
0,22.5,15/02/2021,1
0,15,16/02/2021,1
0,0,17/02/2021,0
0,15,18/02/2021,2
0,0,19/02/2021,0
13.9,15,20/02/2021,2
13.1,0,21/02/2021,1
0,0,22/02/2021,0
0,0,23/02/2021,0
0,22.5,24/02/2021,1
0,15,25/02/2021,1
0,0,26/02/2021,0
0,10,27/02/2021,1
0,0,28/02/2021,0
0,15,01/03/2021,1
0,15,02/03/2021,1
4.1,0,03/03/2021,1
0,10,04/03/2021,1
0,0,05/03/2021,0
0,15,06/03/2021,1
0,0,07/03/2021,0
0,10,08/03/2021,1
0,0,09/03/2021,0
0,22.5,10/03/2021,1
0,15,11/03/2021,1
0,0,12/03/2021,0
0,0,13/03/2021,0
20.8,0,14/03/2021,1
0,15,15/03/2021,1
0,0,16/03/2021,0
0,22.5,17/03/2021,1
0,0,18/03/2021,0
0,0,19/03/2021,0
0,15,20/03/2021,1
15.7,0,21/03/2021,1
0,0,22/03/2021,0
0,0,23/03/2021,0
0,22.5,24/03/2021,1
0,0,25/03/2021,0
0,15,26/03/2021,1
6.9,10,27/03/2021,2
0,0,28/03/2021,0
0,0,29/03/2021,0
0,0,30/03/2021,0
9.1,0,31/03/2021,1
0,0,01/04/2021,0
0,0,02/04/2021,0
20.5,0,03/04/2021,1
0,0,04/04/2021,0
0,0,05/04/2021,0
0,0,06/04/2021,0
0,0,07/04/2021,0
0,0,08/04/2021,0
0,0,09/04/2021,0
13,0,10/04/2021,1
0,0,11/04/2021,0
0,0,12/04/2021,0
0,0,13/04/2021,0
39.6,0,14/04/2021,1
0,0,15/04/2021,0
0,0,16/04/2021,0
29.3,0,17/04/2021,1
0,0,18/04/2021,0
0,0,19/04/2021,0
0,0,20/04/2021,0
0,0,21/04/2021,0
0,0,22/04/2021,0
0,15,23/04/2021,1
19,0,24/04/2021,1
0,0,25/04/2021,0
0,15,26/04/2021,1
0,0,27/04/2021,0
0,0,28/04/2021,0
0,0,29/04/2021,0
0,0,30/04/2021,0
36.7,0,01/05/2021,1
0,0,02/05/2021,0
0,0,03/05/2021,0
0,0,04/05/2021,0
0,0,05/05/2021,0
0,0,06/05/2021,0
0,22.5,07/05/2021,1
9.2,0,08/05/2021,1
0,10,09/05/2021,1
0,0,10/05/2021,0
0,0,11/05/2021,0
0,0,12/05/2021,0
0,15,13/05/2021,1
0,0,14/05/2021,0
0,0,15/05/2021,0
0,0,16/05/2021,0
0,0,17/05/2021,0
0,0,18/05/2021,0
0,0,19/05/2021,0
0,0,20/05/2021,0
0,0,21/05/2021,0
6.9,0,22/05/2021,1
20.5,0,23/05/2021,1
0,0,24/05/2021,0
0,0,25/05/2021,0
0,0,26/05/2021,0
0,0,27/05/2021,0
0,0,28/05/2021,0
26.4,0,29/05/2021,1
0,0,30/05/2021,0
0,15,31/05/2021,1
0,15,01/06/2021,1
16.5,0,02/06/2021,1
0,20,03/06/2021,2
0,0,04/06/2021,0
15.1,0,05/06/2021,1
0,0,06/06/2021,0
30,0,07/06/2021,1
0,15,08/06/2021,2
0,0,09/06/2021,0
0,0,10/06/2021,0
0,0,11/06/2021,0
0,0,12/06/2021,0
0,0,13/06/2021,0
0,0,14/06/2021,0
0,0,15/06/2021,0
0,0,16/06/2021,0
0,0,17/06/2021,0
0,0,18/06/2021,0
0,0,19/06/2021,0
0,0,20/06/2021,0
0,0,21/06/2021,0
0,0,22/06/2021,0
0,0,23/06/2021,0
0,0,24/06/2021,0
0,10,25/06/2021,1
12.9,0,26/06/2021,1
0,0,27/06/2021,0
0,0,28/06/2021,0
0,0,29/06/2021,0
0,0,30/06/2021,0
0,0,01/07/2021,0
0,17.5,02/07/2021,1
0,0,03/07/2021,0
0,0,04/07/2021,0
0,0,05/07/2021,0
0,0,06/07/2021,0
4.3,0,07/07/2021,1
0,0,08/07/2021,0
0,0,09/07/2021,0
0,22.5,10/07/2021,1
0,0,11/07/2021,0
0,0,12/07/2021,0
0,0,13/07/2021,0
11.2,0,14/07/2021,1
15.4,0,15/07/2021,1
0,0,16/07/2021,0
0,0,17/07/2021,0
0,0,18/07/2021,0
0,0,19/07/2021,0
0,0,20/07/2021,0
0,0,21/07/2021,0
0,0,22/07/2021,0
0,0,23/07/2021,0
0,0,24/07/2021,0
0,0,25/07/2021,0
0,0,26/07/2021,0
0,0,27/07/2021,0
0,0,28/07/2021,0
0,0,29/07/2021,0
0,0,30/07/2021,0
0,0,31/07/2021,0
0,0,01/08/2021,0
0,0,02/08/2021,0
0,0,03/08/2021,0
0,0,04/08/2021,0
0,0,05/08/2021,0
0,0,06/08/2021,0
0,0,07/08/2021,0
0,0,08/08/2021,0
0,0,09/08/2021,0
0,0,10/08/2021,0
0,0,11/08/2021,0
17.2,0,12/08/2021,1
0,0,13/08/2021,0
0,0,14/08/2021,0
0,0,15/08/2021,0
0,0,16/08/2021,0
0,0,17/08/2021,0
0,0,18/08/2021,0
0,0,19/08/2021,0
0,0,20/08/2021,0
0,0,21/08/2021,0
7,0,22/08/2021,1
0,0,23/08/2021,0
0,0,24/08/2021,0
