name,metric,raw_value,scaled_value
Annie Duke,number_of_events,79.0,61.5
Barbara Enright,number_of_events,289.0,99.0
Jennifer Harman,number_of_events,93.0,73.5
Melissa Hayden,number_of_events,82.0,67.0
Kathy Liebert,number_of_events,397.0,100.0
Marsha Waggoner,number_of_events,176.0,93.0
Lucy Rokach,number_of_events,90.0,71.0
Victoria Coren Mitchell,number_of_events,63.0,44.5
Isabelle Mercier,number_of_events,48.0,32.0
Joanne Liu,number_of_events,287.0,98.0
Xuyen Pham,number_of_events,39.0,22.5
Maureen Feduniak,number_of_events,41.0,24.5
Nani Dollison,number_of_events,30.0,13.5
Karina Jett,number_of_events,53.0,36.5
Allyn Jaffrey Shulman,number_of_events,135.0,86.0
Cyndy Violette,number_of_events,80.0,63.5
Shirley Rosario,number_of_events,105.0,79.0
Kristy Gazes,number_of_events,55.0,39.0
Clonie Gowen,number_of_events,42.0,26.5
Mimi Tran,number_of_events,82.0,67.0
Carol Fuchs,number_of_events,77.0,59.5
Maria Ho,number_of_events,154.0,90.0
Vanessa Rousso,number_of_events,68.0,49.0
Liz Lieu,number_of_events,34.0,18.0
Jennifer Tilly,number_of_events,61.0,43.0
Svetlana Gromenkova,number_of_events,63.0,44.5
Tiffany Williamson,number_of_events,17.0,4.5
Mimi Luu,number_of_events,35.0,20.0
Carmine Tirone,number_of_events,20.0,6.0
Lynne Beaumont,number_of_events,153.0,89.0
Louise Francoeur,number_of_events,221.0,96.0
Erica Schoenberg,number_of_events,64.0,46.0
Vanessa Selbst,number_of_events,86.0,69.0
La Sengphet,number_of_events,82.0,67.0
Esther Taylor,number_of_events,77.0,59.5
Nancy Birnbaum,number_of_events,230.0,97.0
Annette Obrestad,number_of_events,72.0,53.5
Sara Stohler,number_of_events,112.0,80.5
Liv Boeree,number_of_events,103.0,78.0
Jessica Dawley,number_of_events,92.0,72.0
Anna Wroblewski,number_of_events,65.0,47.5
Kathy Lehne,number_of_events,9.0,2.0
Ronit Chamani,number_of_events,81.0,65.0
Samantha Cohen,number_of_events,72.0,53.5
Kara Scott,number_of_events,25.0,9.5
Lika Gerasimova,number_of_events,32.0,16.0
Celina Lin Pei Fei,number_of_events,120.0,82.0
Hui Chen Kuo,number_of_events,126.0,85.0
Anna Antimony,number_of_events,95.0,75.0
Leo Margets,number_of_events,75.0,58.0
Melanie Banfield,number_of_events,56.0,40.0
Jackqueline Glazier,number_of_events,79.0,61.5
Christina Lindley,number_of_events,71.0,51.0
Sandra Naujoks,number_of_events,24.0,8.0
Isabel Baltazar,number_of_events,98.0,77.0
Cherish Andrews,number_of_events,43.0,28.5
Catherine Dever,number_of_events,93.0,73.5
Jamie Kerstetter,number_of_events,166.0,92.0
Natasha Mercier,number_of_events,80.0,63.5
Xuan Liu,number_of_events,54.0,38.0
