"name","metric","raw_value","scaled_value"
"Abbey Daniels","number_of_events",124,84
"Abbey Daniels","total_prize_money",710915,40
"Abbey Daniels","biggest_win",286819,52
"Abbey Daniels","percent_won",0.0483870967741935,46
"Abbey Daniels","countries_visited",1,6.5
"Abbey Daniels","career_length",10.652977412731,34
"Allyn Jaffrey Shulman","number_of_events",135,86
"Allyn Jaffrey Shulman","total_prize_money",1541447,77
"Allyn Jaffrey Shulman","biggest_win",603713,87
"Allyn Jaffrey Shulman","percent_won",0.0518518518518519,51
"Allyn Jaffrey Shulman","countries_visited",7,57
"Allyn Jaffrey Shulman","career_length",19.9835728952772,90
"Amanda Musumeci","number_of_events",71,51
"Amanda Musumeci","total_prize_money",1103874,64
"Amanda Musumeci","biggest_win",481643,78
"Amanda Musumeci","percent_won",0.0422535211267606,39
"Amanda Musumeci","countries_visited",5,49.5
"Amanda Musumeci","career_length",6.26694045174538,9
"Ana Marquez","number_of_events",87,70
"Ana Marquez","total_prize_money",1876595,84
"Ana Marquez","biggest_win",445000,73
"Ana Marquez","percent_won",0.0229885057471264,18
"Ana Marquez","countries_visited",15,94
"Ana Marquez","career_length",11.2279260780287,38
"Angelina Rich","number_of_events",50,33
"Angelina Rich","total_prize_money",574448,21
"Angelina Rich","biggest_win",304386,56
"Angelina Rich","percent_won",0.06,54
"Angelina Rich","countries_visited",11,85
"Angelina Rich","career_length",7.50992470910335,16
"Anna Antimony","number_of_events",95,75
"Anna Antimony","total_prize_money",677100,36
"Anna Antimony","biggest_win",126146,22
"Anna Antimony","percent_won",0.0421052631578947,38
"Anna Antimony","countries_visited",2,18.5
"Anna Antimony","career_length",13.1279945242984,60
"Anna Wroblewski","number_of_events",65,47.5
"Anna Wroblewski","total_prize_money",1087271,60
"Anna Wroblewski","biggest_win",337395,60
"Anna Wroblewski","percent_won",0.0923076923076923,72
"Anna Wroblewski","countries_visited",3,31
"Anna Wroblewski","career_length",12.2737850787132,49
"Annette Obrestad","number_of_events",72,53.5
"Annette Obrestad","total_prize_money",3942232,95
"Annette Obrestad","biggest_win",2013733,99
"Annette Obrestad","percent_won",0.166666666666667,92.5
"Annette Obrestad","countries_visited",9,73
"Annette Obrestad","career_length",11.7371663244353,42
"Annie Duke","number_of_events",79,61.5
"Annie Duke","total_prize_money",4270548,97
"Annie Duke","biggest_win",2e+06,98
"Annie Duke","percent_won",0.0886075949367089,71
"Annie Duke","countries_visited",3,31
"Annie Duke","career_length",17.9055441478439,84
"Barbara Enright","number_of_events",289,99
"Barbara Enright","total_prize_money",1720938,81
