StoreID,CustomerID,OrderID,Order Date,ProductID,Returned,Quantity,Sales
5,61,1347,24/01/2021,14,0,7,420.49
3,33,1924,15/01/2021,14,0,7,420.49
6,11,2097,07/01/2021,14,0,10,600.7
6,22,1704,14/01/2021,31,0,11,415.25
4,5,1911,23/01/2021,31,1,4,151.0
5,36,1965,16/01/2021,31,0,3,113.25
6,41,1259,20/01/2021,45,0,5,484.09999999999997
7,60,1105,23/01/2021,29,0,7,303.03
6,79,1141,30/01/2021,29,1,7,303.03
5,21,1984,13/01/2021,29,0,3,129.87
6,18,1985,13/01/2021,29,0,11,476.19
7,28,1194,14/01/2021,35,0,10,208.70000000000002
7,76,1139,30/01/2021,57,1,9,141.21
3,30,1193,14/01/2021,36,0,3,26.400000000000002
4,62,1431,26/01/2021,36,1,7,61.60000000000001
5,45,1411,21/01/2021,48,1,3,7.800000000000001
7,65,1432,26/01/2021,48,1,7,18.2
5,58,1914,23/01/2021,48,1,5,13.0
5,5,1221,02/01/2021,5,0,5,50.0
6,16,1275,12/01/2021,5,0,3,30.0
5,77,1586,30/01/2021,5,1,11,110.0
6,69,2016,28/01/2021,5,0,4,40.0
3,23,1705,14/01/2021,32,1,11,219.89
3,29,1703,14/01/2021,37,0,8,2115.68
5,59,1912,23/01/2021,37,0,5,1322.3
7,48,1132,21/01/2021,20,0,10,5629.0
2,37,1964,16/01/2021,20,1,4,2251.6
6,18,1985,13/01/2021,20,0,10,5629.0
3,20,1986,13/01/2021,20,0,11,6191.9
3,12,2096,07/01/2021,20,0,7,3940.2999999999997
7,48,1132,21/01/2021,25,0,11,5107.1900000000005
1,51,1188,21/01/2021,25,1,4,1857.16
5,45,1411,21/01/2021,25,1,10,4642.900000000001
4,5,1911,23/01/2021,25,1,8,3714.32
5,21,1984,13/01/2021,25,0,9,4178.610000000001
7,54,1133,21/01/2021,47,0,9,1127.97
6,66,1313,27/01/2021,47,1,11,1378.6299999999999
4,5,1911,23/01/2021,47,1,6,751.98
5,42,1095,20/01/2021,41,0,7,4237.73
2,31,1922,15/01/2021,41,0,8,4843.12
2,35,1923,15/01/2021,41,1,8,4843.12
1,83,1140,30/01/2021,19,0,5,4488.25
2,9,1178,07/01/2021,19,0,10,8976.5
6,80,1138,30/01/2021,16,1,3,313.74
7,28,1194,14/01/2021,16,0,3,313.74
6,69,2016,28/01/2021,16,0,6,627.48
3,12,2096,07/01/2021,16,0,6,627.48
6,67,2076,27/01/2021,55,0,10,56.900000000000006
6,65,1232,28/01/2021,1,1,11,36.63
2,17,1851,12/01/2021,1,1,2,6.66
1,2,2002,01/01/2021,1,0,4,13.32
6,67,2076,27/01/2021,1,0,9,29.97
6,11,2097,07/01/2021,1,0,8,26.64
7,65,1432,26/01/2021,53,1,6,16.14
7,76,1139,30/01/2021,59,1,8,36.0
2,81,1137,30/01/2021,15,0,10,55.0
5,25,1702,14/01/2021,15,0,5,27.5
7,43,1778,20/01/2021,15,0,3,16.5
6,67,2076,27/01/2021,15,0,11,60.5
1,10,2095,07/01/2021,15,0,3,16.5
4,6,1223,02/01/2021,9,0,8,21.52
6,22,1704,14/01/2021,9,0,10,26.9
2,37,1964,16/01/2021,9,1,11,29.59
6,69,2016,28/01/2021,9,0,1,2.69
6,11,2097,07/01/2021,9,0,8,21.52
3,30,1193,14/01/2021,10,0,10,48.7
5,5,1221,02/01/2021,10,0,6,29.22
6,66,1313,27/01/2021,10,1,2,9.74
4,78,1142,30/01/2021,11,0,1,9.99
1,51,1188,21/01/2021,11,1,9,89.91
7,65,1432,26/01/2021,11,1,4,39.96
2,7,1747,03/01/2021,11,1,8,79.92
2,63,1791,26/01/2021,11,1,8,79.92
7,28,1194,14/01/2021,28,0,8,62.4
