ProductID,Category,Sub-Category,Product Name,Unit Price,First Sold
1,Office Supplies,Art,Post-its,3.33,01/01/2021
2,Office Supplies,Storage,Stacking Storage Drawers,43.26,01/01/2021
3,Office Supplies,Paper,Xerox 1979,6.45,01/01/2021
4,Office Supplies,Paper,Xerox 208,7.14,01/01/2021
5,Furniture,Furnishings,Desk Lamp Bulbs,10.0,02/01/2021
6,Technology,Phones,Fast-charging Portable Charger,15.639999999999999,02/01/2021
7,Office Supplies,Paper,Parchment Paper,2.65,02/01/2021
8,Technology,Accessories,PC Headset,45.89,02/01/2021
9,Office Supplies,Fasteners,Push Pins,2.69,02/01/2021
10,Office Supplies,Fasteners,Rubber Bands,4.87,02/01/2021
11,Office Supplies,Labels,Colour-Coded Labels,9.99,03/01/2021
12,Technology,Phones,Panasonic KX-TG9471B,397.54,03/01/2021
13,Technology,Phones,Bluetooth Headset,86.99,07/01/2021
14,Furniture,Bookcases,Bookcase,60.07,07/01/2021
15,Office Supplies,Envelopes,Coloured Envelopes,5.5,07/01/2021
16,Office Supplies,Appliances,Microwave,104.58,07/01/2021
17,Technology,Phones,Motorola L703CM,356.99,07/01/2021
18,Technology,Phones,Panasonic Kx-TS550,657.55,07/01/2021
19,Office Supplies,Appliances,Refrigerator,897.65,07/01/2021
20,Furniture,Tables,Round Conference Table,562.9,07/01/2021
21,Office Supplies,Paper,Xerox 1974,5.99,08/01/2021
22,Technology,Accessories,USB Wired Mouse,5.99,09/01/2021
23,Technology,Phones,Samsung Galaxy Note 2,809.56,12/01/2021
24,Office Supplies,Paper,Xerox 1951,5.67,12/01/2021
25,Furniture,Tables,Laminate Occasional Tables,464.29,13/01/2021
26,Technology,Phones,Motorola L804,459.66999999999996,13/01/2021
27,Technology,Phones,Panasonic KX TS3282W Corded phone,297.5,13/01/2021
28,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,7.8,13/01/2021
29,Furniture,Chairs,Task/Swivel Chairs,43.29,13/01/2021
30,Office Supplies,Paper,Xerox 1933,3.9700000000000006,13/01/2021
31,Furniture,Chairs,Armless Task Chair,37.75,14/01/2021
32,Furniture,Furnishings,Desk Lamp,19.99,14/01/2021
33,Technology,Accessories,Keyboard,19.94,14/01/2021
34,Office Supplies,Storage,Lockers,89.97,14/01/2021
35,Furniture,Chairs,Operator's Chair,20.87,14/01/2021
36,Furniture,Furnishings,Round Wall Clock,8.8,14/01/2021
37,Furniture,Tables,Solid Wood Round Tables,264.46,14/01/2021
38,Office Supplies,Paper,Xerox 1925,2.8,14/01/2021
39,Office Supplies,Paper,Xerox 200,6.52,14/01/2021
40,Office Supplies,Paper,Xerox 219,7.5,14/01/2021
41,Office Supplies,Appliances,Vaccuum,605.3900000000001,15/01/2021
42,Technology,Machines,Videoconferencing Unit,168.76,15/01/2021
43,Office Supplies,Paper,Xerox 1936,4.87,16/01/2021
44,Office Supplies,Paper,Xerox 2000,6.89,19/01/2021
45,Furniture,Chairs,Leather Highback Executive Chair,96.82,20/01/2021
46,Office Supplies,Paper,Xerox 232,7.99,20/01/2021
47,Furniture,Tables,Desk,125.33000000000001,21/01/2021
48,Furniture,Furnishings,Stackable Tray,2.6,21/01/2021
49,Office Supplies,Paper,Xerox 1901,2.65,21/01/2021
50,Technology,Phones,Speakerphone,79.46,22/01/2021
51,Office Supplies,Paper,Xerox 221,7.8,22/01/2021
52,Technology,Machines,Shredder,65.49,23/01/2021
53,Office Supplies,Art,Highlighters,2.69,26/01/2021
54,Office Supplies,Paper,Xerox 1897,2.55,26/01/2021
55,Office Supplies,Art,Pens,5.69,27/01/2021
56,Technology,Phones,Panasonic KX T7731-B Digital phone,451.27,29/01/2021
57,Furniture,Chairs,Folding Chairs,15.690000000000001,30/01/2021
58,Technology,Machines,Printer,129.99,30/01/2021
59,Office Supplies,Envelopes,White Envelopes,4.5,30/01/2021
60,Office Supplies,Paper,Xerox 194,5.17,05/02/2021
