Complaint,Complaints per Person,Complaint causes,Department,Name
i'm really disappointed the pilot didn't fly past my house,1,other,Unknown,Ian
while i love children as much as the next person. i didn't appreciate being sat next to what appeared to be the entire kings college choir's under 1 year olds,2,other,Unknown,Sophie
"the lugguage compartment door wasn't working, and i got hit by my own bag 3 (!!!) times during an hour flight :(",2,other,Unknown,Anya
call that food? the bread was so stale. i thought weapons weren't allowed onboard? i should have been able to bring more onboard in my luggage but the price was too high.,3,"food, luggage",Operations,Carl
"i am only 5' 3"" and i still didn't have leg room in economy. i'm just thankful i do yoga!",3,room,Marketing,Carl
the baby changing facilities were not suitable for my high standards,1,baby changing,Operations,Oscar
i have seen tins of sardines with more leg room than i had. not worth it for the price i paid.,2,price,Sales,Sophie
the usb socket had broken in my seat. how am i supposed to entertain my baby for all of that time?,2,broken,Operations,Toni
call that food? the bread was so stale. i thought weapons weren't allowed onboard? i should have been able to bring more onboard in my luggage but the price was too high.,3,price,Sales,Carl
the state of the toilets were not suitable for a field let alone first class,3,toilet,Operations,Carl
the free socks in the flight accessories were not as soft as advertised,2,advertise,Marketing,Toni
"urgh, the food. they run out of tomato juice in the first five minutes of the flight. how can you be on a plane without tomato juice!?",2,food,Operations,Anya
i have seen tins of sardines with more leg room than i had. not worth it for the price i paid.,2,room,Marketing,Sophie
