Name,Complaint,Department,Complaints per Person,Complaint causes
Anya,"the lugguage compartment door wasn't working, and i got hit by my own bag 3 (!!!) times during an hour flight :(",Unknown,2,other
Anya,"urgh, the food. they run out of tomato juice in the first five minutes of the flight. how can you be on a plane without tomato juice!?",Operations,2,food
Carl,call that food? the bread was so stale. i thought weapons weren't allowed onboard? i should have been able to bring more onboard in my luggage but the price was too high.,Operations,3,"food, luggage"
Carl,call that food? the bread was so stale. i thought weapons weren't allowed onboard? i should have been able to bring more onboard in my luggage but the price was too high.,Sales,3,price
Carl,"i am only 5' 3"" and i still didn't have leg room in economy. i'm just thankful i do yoga!",Marketing,3,room
Carl,the state of the toilets were not suitable for a field let alone first class,Operations,3,toilet
Ian,i'm really disappointed the pilot didn't fly past my house,Unknown,1,other
Oscar,the baby changing facilities were not suitable for my high standards,Operations,1,baby changing
Sophie,i have seen tins of sardines with more leg room than i had. not worth it for the price i paid.,Marketing,2,room
Sophie,i have seen tins of sardines with more leg room than i had. not worth it for the price i paid.,Sales,2,price
Sophie,while i love children as much as the next person. i didn't appreciate being sat next to what appeared to be the entire kings college choir's under 1 year olds,Unknown,2,other
Toni,the free socks in the flight accessories were not as soft as advertised,Marketing,2,advertise
Toni,the usb socket had broken in my seat. how am i supposed to entertain my baby for all of that time?,Operations,2,broken
