Passed Subjects,Student's Avg Score,Student ID,Gender
6,88.7,300,Female
6,86.4,634,Polygender
4,79,495,Female
6,87.3,220,Female
6,85.6,985,Male
3,77,992,Female
5,81.4,849,Polygender
6,80.6,941,Female
7,88,23,Bigender
5,81.3,993,Non-binary
4,78.1,898,Male
6,84.6,439,Polygender
5,83,341,Female
5,83.4,952,Male
2,73.4,59,Male
2,73.6,108,Female
5,81.6,333,Female
6,85.1,25,Female
4,80.9,345,Female
4,78.1,143,Male
6,82.9,705,Male
4,81.4,489,Male
5,81.3,319,Female
5,83.3,602,Male
3,77,423,Male
3,75.9,301,Female
4,78.4,942,Female
5,81.4,275,Male
4,80.4,253,Male
4,80.4,956,Male
5,80.3,29,Female
5,82.6,944,Male
4,80.1,666,Female
5,80.4,402,Male
4,79.4,385,Female
3,77.9,290,Female
3,76.6,343,Male
5,80.6,488,Male
4,77.4,534,Female
5,80.1,773,Female
3,77.3,548,Female
5,77.6,48,Female
5,79.4,860,Genderfluid
5,80,492,Male
4,79.4,977,Non-binary
4,82.4,691,Male
3,73.1,246,Male
4,78.1,179,Non-binary
6,82.4,498,Genderqueer
3,77.9,403,Male
4,77.4,610,Male
5,80.3,3,Female
3,72.6,103,Female
7,88.3,130,Male
3,75.1,224,Male
5,76.9,915,Female
4,80,284,Male
4,79.1,983,Male
5,81.1,630,Female
4,80.1,268,Male
3,71.7,580,Female
6,84,434,Genderfluid
5,85.6,740,Female
4,76.6,482,Female
5,82.9,720,Male
3,73.9,61,Male
4,83,196,Male
5,82.3,344,Female
4,78.4,270,Male
3,75,436,Female
6,83.9,931,Female
3,77.6,554,Female
1,69.4,30,Male
5,80.6,219,Bigender
5,87,550,Male
3,76.4,349,Male
1,70.9,723,Female
5,81,471,Female
6,88.1,928,Genderfluid
4,81,144,Female
4,79,505,Male
5,83.6,841,Female
5,79.3,13,Male
3,80.4,116,Male
5,81.1,822,Male
3,77.1,456,Male
6,79.3,862,Female
4,83.4,972,Male
6,89.6,687,Female
5,85,657,Female
3,72.7,93,Female
2,71.1,126,Male
4,80.4,437,Male
6,85.3,194,Male
5,86.3,24,Male
4,77,171,Male
4,77.7,781,Female
5,79,68,Male
6,85,201,Male
5,81.9,549,Male
4,82.6,735,Female
4,75.7,747,Female
4,79.3,595,Female
7,86.4,102,Male
4,74.3,805,Male
7,83.1,560,Female
3,78,469,Female
4,79.4,806,Genderqueer
3,75,825,Male
5,77.9,221,Male
3,78.4,875,Male
4,79.9,589,Male
5,78.7,949,Male
5,79.4,1000,Female
3,75.7,501,Female
4,82.7,506,Male
6,79.3,19,Female
5,80.6,472,Male
4,73.3,670,Female
6,82.6,585,Male
4,77.6,566,Male
6,87,169,Polygender
5,81.7,745,Male
5,82.4,934,Male
3,79.4,980,Male
5,82.7,951,Male
5,86.3,945,Female
4,78.1,900,Female
6,82.3,125,Female
3,73,524,Male
7,84.1,318,Male
4,80.7,852,Female
4,76.4,569,Male
7,86.3,43,Male
5,80.7,738,Female
4,79.6,586,Male
6,85,163,Male
4,76.4,793,Male
5,83.7,243,Male
5,80.7,399,Female
6,87.1,464,Male
5,75,858,Male
5,78.9,425,Male
6,83.1,823,Female
5,83,206,Male
4,78.7,265,Male
4,80.6,553,Female
5,79.7,979,Female
5,83.1,577,Male
