Passed Subjects,Student's Avg Score,Student ID,Gender
6,81.3,1,Female
4,76.4,2,Male
5,80.3,3,Female
5,83.4,4,Male
6,88.0,5,Female
3,75.3,6,Female
4,81.9,7,Female
6,82.4,8,Male
5,80.6,9,Female
3,76.9,10,Male
5,84.6,11,Genderqueer
7,89.6,12,Female
5,79.3,13,Male
5,85.1,14,Male
4,77.9,15,Male
7,89.4,16,Male
5,83.4,17,Male
5,79.4,18,Female
6,79.3,19,Female
6,82.3,20,Female
4,81.3,21,Genderfluid
6,84.0,22,Male
7,88.0,23,Bigender
5,86.3,24,Male
6,85.1,25,Female
4,78.7,26,Male
4,76.1,27,Female
3,76.1,28,Female
5,80.3,29,Female
1,69.4,30,Male
4,74.0,31,Female
3,77.4,32,Female
3,75.7,33,Male
4,76.6,34,Genderqueer
6,88.1,35,Genderfluid
4,77.7,36,Genderqueer
4,82.3,37,Male
3,76.7,38,Male
2,72.9,39,Female
3,75.1,40,Female
4,75.4,41,Female
5,86.7,42,Male
7,86.3,43,Male
5,82.4,44,Female
5,81.6,45,Male
4,81.1,46,Female
6,83.6,47,Male
5,77.6,48,Female
5,82.6,49,Female
4,74.7,50,Male
6,84.9,51,Female
5,78.7,52,Male
3,77.3,53,Male
5,83.9,54,Female
5,83.9,55,Female
6,89.7,56,Male
6,86.6,57,Male
7,84.3,58,Polygender
2,73.4,59,Male
3,70.4,60,Male
3,73.9,61,Male
4,77.6,62,Male
5,87.1,63,Male
4,74.6,64,Female
7,89.4,65,Female
5,82.0,66,Male
4,76.6,67,Polygender
5,79.0,68,Male
5,80.0,69,Female
5,80.7,70,Male
6,80.1,71,Male
3,75.0,72,Male
3,72.1,73,Female
3,76.7,74,Female
2,74.3,75,Female
3,79.7,76,Male
4,80.6,77,Female
3,77.0,78,Female
3,76.1,79,Genderfluid
7,88.6,80,Male
4,78.1,81,Bigender
3,79.4,82,Female
4,77.6,83,Female
6,86.4,84,Male
6,81.9,85,Female
5,82.6,86,Female
5,77.1,87,Male
4,75.3,88,Male
6,86.4,89,Male
4,82.6,90,Bigender
3,76.1,91,Male
4,78.6,92,Female
3,72.7,93,Female
5,79.4,94,Male
4,75.7,95,Female
5,85.9,96,Male
4,79.4,97,Bigender
3,74.0,98,Male
5,84.6,99,Female
7,83.1,100,Male
6,83.9,101,Female
7,86.4,102,Male
3,72.6,103,Female
5,77.7,104,Female
5,82.7,105,Male
4,77.0,106,Male
5,80.4,107,Female
2,73.6,108,Female
3,73.3,109,Female
4,74.1,110,Male
4,76.1,111,Female
5,80.1,112,Male
4,81.6,113,Female
5,81.0,114,Male
4,76.3,115,Polygender
3,80.4,116,Male
5,82.3,117,Female
0,65.7,118,Male
4,82.6,119,Genderfluid
4,78.0,120,Female
2,71.9,121,Polygender
5,78.3,122,Female
5,81.7,123,Female
5,80.7,124,Male
6,82.3,125,Female
2,71.1,126,Male
5,79.7,127,Bigender
4,80.9,128,Female
4,81.1,129,Female
7,88.3,130,Male
4,84.0,131,Male
5,82.3,132,Female
4,74.9,133,Female
5,82.0,134,Male
4,80.3,135,Female
4,79.3,136,Male
4,79.9,137,Female
4,80.1,138,Female
4,79.0,139,Female
4,76.1,140,Female
5,82.9,141,Polygender
3,73.7,142,Female
4,78.1,143,Male
4,81.0,144,Female
7,88.7,145,Female
5,84.3,146,Female
6,85.6,147,Male
2,69.1,148,Genderfluid
6,86.4,149,Female
3,77.6,150,Male
7,87.6,151,Female
4,75.0,152,Female
4,76.0,153,Polygender
4,75.7,154,Female
5,76.7,155,Female
6,84.3,156,Female
4,78.3,157,Male
1,69.6,158,Male
6,85.7,159,Female
2,68.3,160,Male
5,84.6,161,Bigender
5,82.4,162,Male
6,85.0,163,Male
4,82.1,164,Male
5,80.3,165,Male
5,80.7,166,Male
4,74.4,167,Female
5,80.6,168,Female
6,87.0,169,Polygender
4,80.6,170,Male
4,77.0,171,Male
3,73.9,172,Male
4,77.7,173,Male
2,72.6,174,Female
5,80.9,175,Female
5,83.7,176,Female
3,75.3,177,Male
4,75.3,178,Female
4,78.1,179,Non-binary
7,86.9,180,Female
4,76.7,181,Male
5,80.7,182,Male
3,75.4,183,Male
5,85.0,184,Male
6,85.1,185,Female
2,73.4,186,Bigender
5,84.0,187,Female
5,84.6,188,Female
3,75.9,189,Male
4,79.9,190,Genderqueer
5,81.4,191,Male
3,78.3,192,Male
4,83.4,193,Male
6,85.3,194,Male
4,79.4,195,Genderfluid
4,83.0,196,Male
6,86.7,197,Male
5,83.9,198,Female
3,74.6,199,Genderqueer
3,75.9,200,Male
6,85.0,201,Male
4,81.3,202,Female
6,90.1,203,Male
4,77.4,204,Non-binary
2,74.4,205,Female
5,83.0,206,Male
4,77.0,207,Male
3,78.6,208,Female
4,84.3,209,Female
4,80.3,210,Female
2,73.4,211,Male
6,80.6,212,Male
5,77.0,213,Male
4,80.9,214,Female
3,71.1,215,Female
5,82.6,216,Non-binary
2,73.1,217,Male
6,84.6,218,Female
5,80.6,219,Bigender
6,87.3,220,Female
5,77.9,221,Male
3,78.4,222,Male
3,79.7,223,Female
3,75.1,224,Male
5,84.0,225,Male
4,78.9,226,Female
6,83.9,227,Male
6,82.1,228,Female
5,82.7,229,Male
4,79.7,230,Female
5,76.3,231,Male
6,81.3,232,Female
3,80.3,233,Female
3,70.7,234,Female
5,82.9,235,Female
6,83.9,236,Female
4,80.7,237,Female
5,85.0,238,Female
3,76.7,239,Non-binary
5,83.4,240,Male
5,81.9,241,Male
4,79.1,242,Male
5,83.7,243,Male
4,80.1,244,Female
4,79.4,245,Male
3,73.1,246,Male
3,77.1,247,Female
3,73.1,248,Male
3,73.9,249,Male
2,75.0,250,Male
4,76.7,251,Female
4,84.3,252,Female
4,80.4,253,Male
4,77.0,254,Female
5,81.6,255,Female
5,77.9,256,Female
3,75.9,257,Male
4,75.6,258,Male
6,87.1,259,Female
5,85.4,260,Female
4,78.1,261,Female
5,83.9,262,Male
5,82.6,263,Male
4,74.9,264,Male
4,78.7,265,Male
6,85.9,266,Male
7,87.4,267,Female
4,80.1,268,Male
5,81.0,269,Female
4,78.4,270,Male
4,82.3,271,Female
6,87.1,272,Female
6,79.6,273,Female
4,81.6,274,Female
5,81.4,275,Male
4,79.0,276,Male
4,74.4,277,Female
4,76.3,278,Male
5,81.1,279,Male
6,82.4,280,Non-binary
5,79.6,281,Female
6,86.3,282,Male
2,71.9,283,Female
4,80.0,284,Male
5,82.6,285,Male
1,72.3,286,Male
4,80.7,287,Female
5,81.3,288,Male
6,88.1,289,Male
3,77.9,290,Female
6,78.4,291,Female
4,74.3,292,Agender
1,68.7,293,Male
6,82.9,294,Female
4,84.9,295,Female
4,79.7,296,Male
4,80.3,297,Male
7,86.6,298,Female
4,82.3,299,Female
6,88.7,300,Female
3,75.9,301,Female
5,84.3,302,Male
6,84.0,303,Female
2,70.6,304,Agender
5,80.6,305,Male
3,76.1,306,Male
6,87.7,307,Male
3,74.1,308,Male
5,79.1,309,Female
6,81.4,310,Genderfluid
5,78.6,311,Male
6,82.7,312,Male
7,87.0,313,Male
5,84.6,314,Female
5,77.1,315,Male
5,81.0,316,Male
4,74.7,317,Female
7,84.1,318,Male
5,81.3,319,Female
4,80.6,320,Female
6,88.4,321,Bigender
5,83.1,322,Female
6,85.3,323,Male
3,76.6,324,Female
5,83.7,325,Male
5,84.3,326,Genderfluid
3,74.6,327,Male
6,84.1,328,Female
5,81.0,329,Female
4,78.6,330,Male
3,75.4,331,Female
1,70.6,332,Bigender
5,81.6,333,Female
2,71.0,334,Male
5,80.4,335,Male
5,81.6,336,Male
5,86.1,337,Female
4,74.4,338,Female
6,84.0,339,Female
6,81.9,340,Male
5,83.0,341,Female
3,76.4,342,Male
3,76.6,343,Male
5,82.3,344,Female
4,80.9,345,Female
4,79.1,346,Female
6,80.7,347,Female
3,77.3,348,Female
3,76.4,349,Male
5,85.7,350,Male
5,81.9,351,Male
5,77.7,352,Male
5,83.4,353,Female
5,75.0,354,Female
3,75.1,355,Non-binary
3,73.1,356,Female
4,79.1,357,Male
5,85.9,358,Female
1,69.0,359,Male
4,81.4,360,Male
4,79.7,361,Male
3,74.3,362,Polygender
4,82.9,363,Female
2,74.4,364,Male
3,71.9,365,Female
5,77.4,366,Male
6,81.9,367,Female
5,83.3,368,Female
3,75.1,369,Female
3,78.0,370,Female
6,86.7,371,Male
5,80.6,372,Male
6,79.1,373,Male
3,76.0,374,Male
6,78.0,375,Female
4,81.0,376,Female
6,87.6,377,Male
3,74.6,378,Male
4,80.4,379,Male
6,84.0,380,Male
5,80.1,381,Female
7,89.6,382,Male
4,80.3,383,Genderqueer
3,77.9,384,Female
4,79.4,385,Female
5,78.0,386,Male
3,74.9,387,Female
4,77.4,388,Male
5,79.7,389,Male
5,82.3,390,Male
2,71.3,391,Female
6,85.3,392,Polygender
3,73.9,393,Polygender
4,73.7,394,Male
4,80.6,395,Male
3,79.9,396,Female
5,87.1,397,Male
4,81.9,398,Male
5,80.7,399,Female
3,79.4,400,Agender
4,78.4,401,Female
5,80.4,402,Male
3,77.9,403,Male
3,75.6,404,Female
5,81.6,405,Male
5,81.6,406,Female
5,82.3,407,Male
5,80.7,408,Female
5,79.9,409,Male
3,80.3,410,Male
6,84.1,411,Female
6,83.6,412,Male
4,81.0,413,Female
1,70.4,414,Female
3,76.3,415,Female
3,76.3,416,Female
4,79.4,417,Male
6,81.9,418,Female
5,78.3,419,Male
4,79.4,420,Female
2,68.7,421,Male
4,77.7,422,Male
3,77.0,423,Male
4,79.4,424,Female
5,78.9,425,Male
4,83.7,426,Female
5,80.4,427,Female
3,71.7,428,Female
4,74.1,429,Female
4,80.6,430,Male
3,77.6,431,Male
5,81.9,432,Male
5,78.1,433,Agender
6,84.0,434,Genderfluid
5,84.6,435,Male
3,75.0,436,Female
4,80.4,437,Male
4,82.3,438,Male
6,84.6,439,Polygender
3,80.1,440,Male
3,76.4,441,Male
3,76.7,442,Female
5,77.3,443,Female
5,80.9,444,Male
3,75.6,445,Male
5,84.4,446,Female
5,79.1,447,Male
3,76.9,448,Male
5,81.1,449,Male
2,76.1,450,Male
5,81.4,451,Male
3,71.4,452,Female
1,70.6,453,Female
5,77.3,454,Female
4,78.6,455,Female
3,77.1,456,Male
3,74.3,457,Female
4,73.6,458,Male
3,73.1,459,Bigender
6,85.7,460,Male
4,78.7,461,Female
3,78.1,462,Female
4,75.1,463,Non-binary
6,87.1,464,Male
5,86.0,465,Male
7,86.1,466,Male
1,70.0,467,Female
4,79.1,468,Male
3,78.0,469,Female
4,80.9,470,Female
5,81.0,471,Female
5,80.6,472,Male
5,81.9,473,Male
3,76.9,474,Female
5,85.1,475,Female
5,80.1,476,Male
6,82.9,477,Male
6,80.1,478,Female
3,73.7,479,Male
4,79.0,480,Non-binary
3,73.4,481,Male
4,76.6,482,Female
6,82.4,483,Female
4,79.9,484,Female
4,83.0,485,Male
6,81.7,486,Female
4,78.9,487,Female
5,80.6,488,Male
4,81.4,489,Male
4,80.7,490,Male
4,77.1,491,Female
5,80.0,492,Male
5,83.4,493,Male
6,82.0,494,Male
4,79.0,495,Female
5,82.0,496,Male
6,85.1,497,Male
6,82.4,498,Genderqueer
5,80.9,499,Female
3,74.6,500,Female
3,75.7,501,Female
5,84.3,502,Male
4,73.6,503,Female
5,85.6,504,Genderqueer
4,79.0,505,Male
4,82.7,506,Male
3,77.3,507,Male
5,82.3,508,Male
3,76.4,509,Male
5,82.6,510,Female
5,82.6,511,Female
4,77.6,512,Female
4,77.4,513,Female
2,73.0,514,Female
6,88.6,515,Female
6,84.1,516,Female
4,74.9,517,Male
2,72.3,518,Female
6,82.3,519,Female
1,71.0,520,Female
1,67.4,521,Female
2,73.3,522,Polygender
5,84.7,523,Female
3,73.0,524,Male
5,80.1,525,Bigender
4,81.1,526,Male
4,77.4,527,Female
5,87.1,528,Female
5,83.1,529,Female
5,84.9,530,Female
5,83.1,531,Male
4,83.1,532,Genderfluid
4,84.4,533,Genderqueer
4,77.4,534,Female
5,79.9,535,Male
5,80.6,536,Male
5,78.1,537,Female
5,83.9,538,Male
6,86.0,539,Agender
2,71.0,540,Male
5,83.6,541,Female
1,70.3,542,Female
2,77.3,543,Female
6,87.9,544,Female
4,73.6,545,Agender
5,84.6,546,Male
5,85.1,547,Female
3,77.3,548,Female
5,81.9,549,Male
5,87.0,550,Male
6,87.6,551,Male
4,76.3,552,Female
4,80.6,553,Female
3,77.6,554,Female
5,80.3,555,Female
5,81.9,556,Male
4,80.6,557,Male
6,86.4,558,Male
5,85.9,559,Male
7,83.1,560,Female
4,75.6,561,Female
4,81.3,562,Male
7,82.0,563,Polygender
2,74.9,564,Male
7,85.0,565,Male
4,77.6,566,Male
4,77.6,567,Male
2,74.7,568,Male
4,76.4,569,Male
4,76.4,570,Female
4,79.0,571,Female
6,84.4,572,Female
4,79.3,573,Female
4,79.9,574,Male
6,77.4,575,Female
3,76.1,576,Female
5,83.1,577,Male
7,88.0,578,Female
5,79.9,579,Female
3,71.7,580,Female
5,85.9,581,Agender
6,85.7,582,Female
3,76.3,583,Male
5,79.4,584,Genderqueer
6,82.6,585,Male
4,79.6,586,Male
5,79.7,587,Male
2,74.9,588,Male
4,79.9,589,Male
3,77.6,590,Female
5,82.6,591,Genderfluid
5,81.7,592,Female
3,76.0,593,Male
4,79.6,594,Female
4,79.3,595,Female
1,71.1,596,Male
5,83.0,597,Male
4,77.6,598,Female
6,85.4,599,Female
6,88.6,600,Female
6,86.1,601,Male
5,83.3,602,Male
1,69.4,603,Non-binary
5,80.3,604,Female
5,84.0,605,Male
5,81.7,606,Male
5,83.3,607,Female
4,85.0,608,Male
6,86.9,609,Female
4,77.4,610,Male
3,74.9,611,Female
4,75.9,612,Female
1,68.7,613,Male
5,80.0,614,Male
2,72.1,615,Bigender
4,80.4,616,Female
5,79.7,617,Female
4,77.0,618,Female
5,78.7,619,Female
6,82.9,620,Male
4,76.3,621,Male
6,80.1,622,Male
4,74.1,623,Male
6,89.3,624,Polygender
5,82.6,625,Female
6,87.0,626,Female
6,83.4,627,Female
3,81.0,628,Male
3,77.0,629,Female
5,81.1,630,Female
4,82.6,631,Genderfluid
4,79.4,632,Male
5,79.6,633,Polygender
6,86.4,634,Polygender
4,83.4,635,Male
3,74.7,636,Female
6,81.9,637,Male
6,80.0,638,Agender
6,84.3,639,Male
4,81.3,640,Male
6,83.6,641,Male
5,81.0,642,Male
5,84.9,643,Female
4,75.3,644,Male
6,84.9,645,Female
4,78.4,646,Genderqueer
3,75.1,647,Male
6,83.3,648,Bigender
3,78.1,649,Female
6,84.0,650,Female
4,82.7,651,Bigender
4,74.7,652,Male
5,79.0,653,Genderfluid
6,87.3,654,Female
3,74.1,655,Female
4,81.0,656,Polygender
5,85.0,657,Female
4,82.6,658,Genderqueer
4,83.1,659,Female
6,84.1,660,Female
5,81.9,661,Female
2,75.3,662,Polygender
2,74.4,663,Male
4,76.3,664,Male
6,79.6,665,Male
4,80.1,666,Female
3,75.1,667,Female
4,81.0,668,Male
6,87.7,669,Male
4,73.3,670,Female
5,81.0,671,Female
7,85.0,672,Female
5,77.9,673,Female
4,76.4,674,Male
3,77.4,675,Female
3,76.0,676,Female
7,84.1,677,Female
5,79.3,678,Female
5,81.1,679,Female
6,86.9,680,Female
4,75.7,681,Female
2,71.0,682,Polygender
4,79.4,683,Female
6,86.9,684,Female
2,72.0,685,Male
3,74.6,686,Female
6,89.6,687,Female
5,79.1,688,Male
4,76.9,689,Agender
3,74.4,690,Female
