Student ID,M,Tu,W,Th,F
1,Car,Car,Car,Car,Bycycle
2,Bicycle,Bicycle,Bicycle,Walk,Walk
3,Car,Bicycle,Carr,Walk,Car
4,Scooter,Scooter,Scootr,Scooter,Scoter
5,Bycycle,Carr,Scoter,Walkk,Scoter
6,Car,Car,Car,Car,Car
7,Walk,Walk,Wallk,Walk,WAlk
8,Car,Walk,Bicycle,Walk,Walk
9,Aeroplane,Aeroplane,Aeroplane,Aeroplane,Aeroplane
10,Car,Walk,Car,Walk,Car
11,Helicopter,Car,Car,Car,Bicycle
12,Car,Car,Car,Car,Bycycle
13,Bicycle,Bicycle,Bicycle,Walk,Walk
14,Car,Bicycle,Carr,Walk,Car
15,Scooter,Scooter,Scootr,Scooter,Scoter
16,Bycycle,Carr,Scoter,Walkk,Scoter
17,Car,Car,Car,Car,Car
18,Walk,Walk,Wallk,Walk,WAlk
19,Car,Walk,Bicycle,Walk,Walk
20,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
21,Walk,Walkk,Walk,Walk,Walkk
22,Car,Car,Car,Car,Van
23,Van,Van,Van,Car,Mum's Shoulders
24,Car,Car,Car,Car,Bycycle
25,Bicycle,Bicycle,Bicycle,Walk,Walk
26,Car,Bicycle,Carr,Walk,Car
27,Scooter,Scooter,Scootr,Scooter,Scoter
28,Bycycle,Carr,Scoter,Walkk,Scoter
29,Car,Car,Car,Car,Car
30,Walk,Walk,Wallk,Walk,WAlk
31,Car,Walk,Bicycle,Walk,Walk
32,Helicopter,Car,Car,Helicopeter,Car
33,Car,Walk,Car,Walk,Car
34,Helicopter,Car,Car,Car,Bicycle
35,Car,Car,Car,Car,Bycycle
36,Bicycle,Bicycle,Bicycle,Walk,Walk
37,Car,Bicycle,Carr,Walk,Car
38,Scooter,Scooter,Scootr,Scooter,Scoter
39,Bycycle,Carr,Scoter,Walkk,Scoter
40,Car,Car,Car,Car,Car
41,Walk,Walk,Wallk,Walk,WAlk
42,Car,Walk,Bicycle,Walk,Walk
43,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
44,Walk,Walkk,Walk,Walk,Walkk
45,Car,Car,Car,Car,Van
46,Van,Van,Van,Car,Mum's Shoulders
47,Walk,Dad's Shoulders,Walk,Bicycle,Waalk
48,Car,Walk,Car,Walk,Car
49,Helicopter,Car,Car,Car,Bicycle
50,Car,Car,Car,Car,Bycycle
51,Bicycle,Bicycle,Bicycle,Walk,Walk
52,Car,Bicycle,Carr,Walk,Car
53,Scooter,Scooter,Scootr,Scooter,Scoter
54,Bycycle,Carr,Scoter,Walkk,Scoter
55,Car,Car,Car,Car,Car
56,Walk,Walk,Wallk,Walk,WAlk
57,Car,Walk,Bicycle,Walk,Walk
58,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle
