Student ID,Maths,English,Spanish,Science,Art,History,Geography
1,66,97,85,75,76,94,76
2,84,85,62,87,68,75,74
3,88,68,69,81,92,89,75
4,65,97,96,89,98,77,62
5,86,97,94,98,67,77,97
6,80,78,70,89,71,67,72
7,68,69,100,84,94,90,68
8,82,76,81,96,84,87,71
9,100,84,79,82,60,62,97
10,81,71,94,73,66,63,90
11,61,98,83,100,93,87,70
12,94,80,99,85,77,98,94
13,78,79,65,69,84,87,93
14,63,92,99,68,79,100,95
15,100,66,80,86,90,60,63
16,95,95,94,83,82,98,79
17,70,88,97,92,80,73,84
18,64,81,94,84,74,77,82
19,76,90,69,81,76,84,79
20,77,94,70,92,80,83,80
21,74,84,93,69,96,65,88
22,91,82,88,94,60,93,80
23,78,95,75,91,91,96,90
24,97,72,75,98,92,70,100
25,90,65,83,88,96,93,81
26,96,97,81,79,73,65,60
27,84,70,89,63,88,79,60
28,100,89,64,82,66,62,70
29,72,93,99,76,75,62,85
30,64,93,66,69,60,72,62
31,68,76,82,61,88,63,80
32,69,91,64,97,60,88,73
33,71,69,78,88,66,73,85
34,97,88,71,76,77,65,62
35,96,70,82,96,98,91,84
36,96,85,63,66,98,60,76
37,93,99,78,98,64,71,73
38,67,99,84,72,63,72,80
39,70,71,66,85,86,64,68
40,85,63,71,75,94,66,72
41,73,70,89,75,75,86,60
42,90,74,98,99,90,96,60
43,94,80,97,82,82,76,93
44,76,98,89,99,81,72,62
45,95,97,61,80,92,85,61
46,69,71,93,95,97,77,66
47,79,92,66,97,91,84,76
48,64,82,83,83,89,66,76
49,81,98,72,87,86,92,62
50,78,76,66,76,96,62,69
51,75,81,88,98,91,70,91
52,71,91,96,75,78,65,75
53,69,70,94,62,72,94,80
54,93,77,68,96,92,88,73
55,94,93,63,70,88,81,98
56,62,95,94,92,99,94,92
57,81,99,80,88,94,72,92
58,76,83,84,84,77,91,95
59,74,69,93,61,65,85,67
60,68,65,76,60,85,79,60
61,74,69,82,93,61,63,75
62,83,64,98,61,84,81,72
63,99,90,65,100,95,93,68
64,60,68,78,82,78,63,93
65,96,82,76,89,90,98,95
66,84,89,72,83,61,94,91
67,71,67,92,62,78,90,76
68,78,90,79,81,61,96,68
69,61,90,71,86,87,86,79
70,81,70,87,62,100,75,90
71,93,81,83,84,65,80,75
72,64,83,61,70,61,91,95
73,74,60,85,78,80,65,63
74,69,81,69,84,70,99,65
75,63,81,99,74,62,74,67
76,72,70,62,91,98,100,65
77,68,99,93,82,81,67,74
78,72,90,66,84,69,69,89
79,67,63,69,93,94,71,76
80,77,91,92,90,81,96,93
81,97,91,77,67,67,65,83
82,90,71,73,74,99,72,77
83,96,98,65,61,85,77,61
84,93,99,82,81,90,60,100
85,77,85,74,82,77,85,93
86,68,83,94,89,79,94,71
87,87,77,81,64,64,86,81
88,82,89,80,69,63,84,60
89,92,98,94,86,60,91,84
90,64,95,70,93,99,68,89
91,74,67,98,84,79,63,68
92,65,65,96,87,61,76,100
93,63,89,68,76,90,63,60
94,86,64,69,77,76,94,90
95,69,81,64,76,89,79,72
96,84,98,72,99,100,83,65
97,60,97,86,67,79,73,94
98,81,68,92,61,83,62,71
99,93,75,96,74,80,74,100
100,76,83,76,90,76,100,81
101,82,91,72,76,93,84,89
102,76,80,84,84,97,92,92
103,61,80,79,64,66,90,68
104,76,67,93,93,76,79,60
105,62,69,98,87,86,87,90
106,97,66,89,84,60,66,77
107,85,83,85,60,71,82,97
108,61,65,90,73,73,93,60
109,78,73,62,66,75,61,98
110,93,78,75,77,61,71,64
111,62,81,90,70,93,62,75
112,66,99,84,80,86,70,76
113,60,92,73,87,95,97,67
114,66,87,69,81,92,84,88
115,70,75,73,83,71,75,87
116,93,72,98,72,66,62,100
117,99,93,61,91,67,86,79
118,66,72,68,61,62,60,71
119,99,69,79,98,97,62,74
120,71,70,90,86,91,78,60
121,66,62,89,79,64,69,74
122,86,64,85,70,79,75,89
123,89,70,77,99,62,77,98
124,61,85,63,78,91,95,92
125,94,77,91,71,80,81,82
126,60,91,90,62,62,66,67
127,68,83,88,93,63,86,77
128,71,71,61,93,89,92,89
129,96,68,64,86,85,72,97
130,87,92,84,79,93,88,95
131,64,99,100,98,73,93,61
132,91,72,87,84,87,67,88
133,81,64,68,69,86,77,79
134,61,90,69,76,98,84,96
135,62,64,97,87,87,93,72
136,65,91,68,81,73,98,79
137,72,93,96,66,82,60,90
138,93,97,85,71,92,62,61
139,88,89,94,71,81,69,61
140,63,100,66,67,79,83,75
141,87,95,63,64,98,84,89
142,87,70,94,60,80,63,62
143,69,98,60,77,89,89,65
144,81,94,68,91,99,60,74
145,98,96,99,77,79,92,80
146,76,98,88,93,96,67,72
147,100,96,85,93,69,78,78
148,76,61,73,79,68,60,67
149,84,66,98,94,100,82,81
150,85,72,73,61,90,94,68
151,88,83,76,86,93,93,94
152,76,66,60,80,77,72,94
153,82,74,60,88,76,71,81
154,76,93,65,67,73,78,78
155,63,81,86,93,75,79,60
156,91,82,100,71,81,90,75
157,92,67,76,68,89,93,63
158,73,74,63,71,61,79,66
159,94,97,93,89,61,76,90
160,65,76,66,60,78,61,72
161,97,61,62,92,82,100,98
162,85,72,94,93,83,69,81
163,89,88,100,76,82,69,91
164,74,91,72,95,68,95,80
165,87,90,86,86,62,70,81
166,67,81,97,92,88,79,61
167,60,89,79,79,69,67,78
168,83,93,88,81,67,84,68
169,99,64,85,98,85,90,88
170,60,100,60,99,65,88,92
171,61,85,84,83,63,65,98
172,87,64,82,60,74,74,76
173,83,94,70,73,87,77,60
174,61,88,71,75,74,72,67
175,100,75,81,77,66,68,99
176,99,91,91,98,61,71,75
177,85,66,65,68,65,93,85
178,75,70,89,75,60,62,96
179,65,69,81,74,84,80,94
180,79,84,85,92,95,83,90
181,74,85,83,63,81,65,86
182,86,74,81,97,75,90,62
183,62,91,70,64,93,82,66
184,96,77,97,98,65,72,90
185,77,90,100,99,67,83,80
186,90,66,74,69,67,87,61
187,87,69,95,94,88,88,67
188,93,66,86,93,84,72,98
189,86,67,98,83,67,60,70
190,72,91,73,61,90,79,93
191,61,98,100,81,82,87,61
192,67,86,72,90,67,68,98
193,91,89,99,65,69,99,72
194,75,86,72,97,84,97,86
195,71,64,85,84,91,93,68
196,71,100,93,97,62,71,87
197,93,60,77,99,95,95,88
198,93,84,94,86,70,87,73
199,83,67,69,64,84,64,91
200,85,76,100,69,74,67,60
201,99,96,73,82,83,84,78
202,63,96,98,66,100,69,77
203,73,88,91,97,92,99,91
204,61,62,98,82,78,70,91
205,73,86,70,61,98,72,61
206,79,76,85,99,74,72,96
207,76,75,100,64,100,62,62
208,73,84,65,66,88,74,100
209,100,98,70,63,94,92,73
210,66,94,100,81,72,85,64
211,87,65,60,60,99,73,70
212,71,82,78,83,78,80,92
213,78,77,82,65,100,75,62
214,100,72,92,73,80,68,81
215,62,75,85,65,64,64,83
