Avg student total points per grade,Total Points per Student,Grade,Points,Subject,Score,Student ID
34.96,42,D,4,English,80,318
34.96,43,D,4,English,80,225
34.96,46,D,4,English,80,102
34.96,48,D,4,English,80,43
34.96,48,D,4,English,80,397
34.96,42,D,4,English,79,565
34.96,44,D,4,English,78,602
34.96,44,D,4,English,78,868
34.96,42,D,4,English,78,485
34.96,43,D,4,English,78,607
34.96,42,D,4,English,78,531
34.96,54,D,4,English,78,693
34.96,48,D,4,English,78,782
34.96,45,D,4,English,77,184
34.96,44,D,4,English,77,54
34.96,50,D,4,English,77,684
34.96,42,D,4,English,77,125
34.96,42,D,4,English,77,560
34.96,45,D,4,English,77,240
34.96,45,D,4,English,77,434
34.96,42,D,4,English,77,523
34.96,43,D,4,English,77,639
34.96,42,D,4,English,77,328
34.96,42,D,4,English,77,412
34.96,48,D,4,English,77,973
34.96,42,D,4,English,76,344
34.96,42,D,4,English,76,8
34.96,42,D,4,English,76,206
34.96,44,D,4,English,76,936
34.96,44,D,4,English,76,498
34.96,49,D,4,English,76,857
34.96,44,D,4,English,76,585
34.96,44,D,4,English,75,981
34.96,42,D,4,English,75,411
34.96,44,D,4,English,75,236
34.96,48,D,4,English,75,721
34.96,43,D,4,English,75,641
34.96,46,D,4,English,75,672
34.96,48,D,4,English,75,99
34.96,51,D,4,English,74,42
34.96,44,D,4,English,74,742
34.96,43,D,4,English,74,659
34.96,46,D,4,English,74,533
34.96,44,D,4,Maths,79,660
34.96,42,D,4,Maths,79,206
34.96,51,D,4,Maths,78,272
34.96,52,D,4,Maths,78,23
34.96,54,D,4,Maths,77,300
34.96,42,D,4,Maths,77,940
34.96,46,D,4,Maths,77,185
34.96,48,D,4,Maths,77,267
34.96,52,D,4,Maths,77,80
34.96,42,D,4,Maths,76,496
34.96,43,D,4,Maths,76,541
34.96,43,D,4,Maths,76,823
34.96,44,D,4,Maths,76,146
34.96,50,D,4,Maths,76,220
34.96,43,D,4,Maths,76,791
34.96,44,D,4,Maths,76,58
34.96,43,D,4,Maths,76,639
34.96,42,D,4,Maths,76,100
34.96,46,D,4,Maths,76,102
34.96,46,D,4,Maths,76,672
34.96,46,D,4,Maths,75,988
34.96,50,D,4,Maths,75,298
34.96,44,D,4,Maths,75,498
34.96,46,D,4,Maths,75,51
34.96,48,D,4,Maths,75,350
34.96,44,D,4,Maths,75,194
34.96,44,D,4,Maths,75,339
34.96,43,D,4,Maths,74,426
34.96,47,D,4,Maths,74,435
34.96,42,D,4,Maths,74,483
34.96,42,D,4,Maths,74,924
34.96,44,D,4,Maths,74,295
34.96,48,D,4,Maths,73,460
34.96,48,D,4,Maths,73,581
34.96,56,D,4,Maths,73,203
34.96,45,D,4,Maths,73,816
34.96,52,D,4,Maths,73,891
34.96,47,D,4,Maths,72,608
34.96,44,D,4,Geography,80,627
34.96,50,D,4,Geography,80,626
34.96,42,D,4,Geography,79,218
34.96,50,D,4,Geography,79,871
34.96,54,D,4,Geography,79,16
34.96,44,D,4,Geography,78,147
34.96,42,D,4,Geography,78,955
34.96,46,D,4,Geography,78,201
34.96,42,D,4,Geography,77,777
34.96,58,D,4,Geography,77,808
34.96,42,D,4,Geography,77,318
34.96,42,D,4,Geography,77,328
34.96,46,D,4,Geography,77,601
34.96,42,D,4,Geography,77,353
34.96,42,D,4,Geography,76,940
34.96,44,D,4,Geography,76,645
34.96,46,D,4,Geography,76,799
34.96,42,D,4,Geography,76,508
34.96,42,D,4,Geography,76,228
34.96,42,D,4,Geography,76,412
34.96,44,D,4,Geography,75,156
34.96,42,D,4,Geography,75,483
34.96,46,D,4,Geography,75,475
34.96,52,D,4,Geography,75,846
34.96,44,D,4,Geography,75,339
34.96,48,D,4,Geography,75,460
34.96,49,D,4,Geography,75,985
34.96,43,D,4,Geography,75,176
34.96,52,D,4,Geography,74,551
34.96,43,D,4,Geography,74,659
34.96,52,D,4,Geography,74,321
34.96,52,D,4,Geography,74,307
34.96,42,D,4,Geography,73,496
34.96,44,D,4,Spanish,80,439
34.96,42,D,4,Spanish,79,922
34.96,48,D,4,Spanish,79,782
34.96,42,D,4,Spanish,79,725
34.96,42,D,4,Spanish,79,777
34.96,48,D,4,Spanish,79,558
34.96,51,D,4,Spanish,78,654
34.96,49,D,4,Spanish,78,259
34.96,48,D,4,Spanish,78,911
34.96,52,D,4,Spanish,78,803
34.96,42,D,4,Spanish,78,228
34.96,46,D,4,Spanish,77,601
34.96,44,D,4,Spanish,77,323
34.96,52,D,4,Spanish,77,833
34.96,53,D,4,Spanish,77,197
34.96,43,D,4,Spanish,77,477
34.96,46,D,4,Spanish,77,392
34.96,42,D,4,Spanish,76,100
34.96,58,D,4,Spanish,76,839
34.96,56,D,4,Spanish,76,65
34.96,52,D,4,Spanish,76,151
34.96,42,D,4,Spanish,76,565
34.96,43,D,4,Spanish,76,829
34.96,46,D,4,Spanish,75,24
34.96,44,D,4,Spanish,75,981
34.96,45,D,4,Spanish,75,263
34.96,45,D,4,Spanish,75,434
34.96,52,D,4,Spanish,75,23
34.96,50,D,4,Spanish,75,669
34.96,48,D,4,Spanish,74,397
34.96,42,D,4,Spanish,74,353
34.96,50,D,4,Spanish,74,626
34.96,45,D,4,Spanish,73,240
34.96,46,D,4,Spanish,73,201
34.96,52,D,4,Spanish,73,515
34.96,42,D,4,History,79,940
34.96,43,D,4,History,79,641
34.96,43,D,4,History,78,380
34.96,44,D,4,History,78,147
34.96,43,D,4,History,78,302
34.96,42,D,4,History,77,312
34.96,42,D,4,History,77,784
34.96,42,D,4,History,77,736
34.96,52,D,4,History,77,5
34.96,44,D,4,History,77,4
34.96,45,D,4,History,77,493
34.96,48,D,4,History,76,43
34.96,49,D,4,History,76,159
34.96,46,D,4,History,76,497
34.96,50,D,4,History,75,313
34.96,42,D,4,History,75,449
34.96,48,D,4,History,74,99
34.96,43,D,4,History,74,607
34.96,42,D,4,History,73,360
34.96,46,D,4,History,73,845
34.96,44,D,4,History,73,303
34.96,54,D,4,History,73,687
34.96,48,D,4,History,73,539
34.96,44,D,4,History,73,17
34.96,42,D,4,History,73,955
34.96,46,D,4,History,73,533
34.96,45,D,4,History,73,263
34.96,46,D,4,History,72,912
34.96,42,D,4,History,72,206
34.96,45,D,4,History,72,216
34.96,46,D,4,History,72,546
34.96,56,D,4,Science,80,997
34.96,50,D,4,Science,80,578
34.96,42,D,4,Science,80,870
34.96,50,D,4,Science,80,464
34.96,43,D,4,Science,80,829
34.96,43,D,4,Science,79,791
34.96,58,D,4,Science,79,764
34.96,52,D,4,Science,79,914
34.96,48,D,4,Science,79,539
34.96,44,D,4,Science,79,303
34.96,54,D,4,Science,79,130
34.96,50,D,4,Science,78,313
34.96,46,D,4,Science,78,799
34.96,50,D,4,Science,78,298
34.96,46,D,4,Science,78,266
34.96,44,D,4,Science,78,742
34.96,54,D,4,Science,77,837
34.96,52,D,4,Science,77,145
34.96,51,D,4,Science,77,377
34.96,43,D,4,Science,77,380
34.96,53,D,4,Science,77,809
34.96,50,D,4,Science,77,626
34.96,50,D,4,Science,77,871
34.96,44,D,4,Science,76,323
34.96,42,D,4,Science,76,940
34.96,48,D,4,Science,76,466
34.96,46,D,4,Science,76,163
34.96,42,D,4,Science,76,101
34.96,44,D,4,Science,76,677
34.96,42,D,4,Science,75,620
34.96,46,D,4,Science,75,912
34.96,42,D,4,Science,75,560
34.96,47,D,4,Science,74,547
34.96,48,D,4,Science,74,99
34.96,46,D,4,Science,74,446
34.96,42,D,4,Science,74,438
34.96,46,D,4,Science,74,475
34.96,44,D,4,Science,74,602
34.96,42,D,4,Science,74,531
34.96,42,D,4,Science,74,344
34.96,45,D,4,Art,79,14
34.96,52,D,4,Art,79,702
34.96,44,D,4,Art,79,227
34.96,46,D,4,Art,79,392
34.96,52,D,4,Art,79,515
34.96,52,D,4,Art,79,145
34.96,52,D,4,Art,78,867
34.96,58,D,4,Art,78,839
34.96,43,D,4,Art,78,530
34.96,43,D,4,Art,78,325
34.96,45,D,4,Art,78,559
34.96,44,D,4,Art,78,677
34.96,43,D,4,Art,78,705
34.96,48,D,4,Art,78,460
34.96,42,D,4,Art,78,483
34.96,48,D,4,Art,78,721
34.96,44,D,4,Art,77,645
34.96,42,D,4,Art,77,725
34.96,44,D,4,Art,77,58
34.96,56,D,4,Art,77,12
34.96,43,D,4,Art,76,829
34.96,50,D,4,Art,76,863
34.96,42,D,4,Art,76,344
34.96,42,D,4,Art,76,100
34.96,45,D,4,Art,75,897
34.96,46,D,4,Art,75,650
34.96,48,D,4,Art,75,911
34.96,44,D,4,Art,75,236
34.96,42,D,4,Art,75,777
34.96,42,D,4,Art,74,206
34.96,50,D,4,Art,74,220
34.96,44,D,4,Art,74,502
34.96,44,D,4,Art,74,627
34.96,44,D,4,Art,74,972
34.96,42,D,4,Art,73,485
34.96,44,D,4,Art,73,742
33.36,43,E,2,English,73,252
33.36,46,E,2,English,73,904
33.36,42,E,2,English,73,920
33.36,43,E,2,English,72,426
33.36,44,E,2,English,72,657
33.36,46,E,2,English,72,24
33.36,46,E,2,English,72,465
33.36,43,E,2,English,71,658
33.36,44,E,2,English,71,262
33.36,46,E,2,English,71,572
33.36,42,E,2,English,71,508
33.36,46,E,2,English,70,546
33.36,52,E,2,English,70,35
33.36,44,E,2,English,69,502
33.36,48,E,2,English,69,187
33.36,45,E,2,English,69,493
33.36,42,E,2,English,69,353
33.36,54,E,2,English,69,300
33.36,42,E,2,English,69,620
33.36,44,E,2,English,69,972
33.36,44,E,2,English,69,645
33.36,42,E,2,English,68,890
33.36,46,E,2,English,68,754
33.36,42,E,2,English,67,901
33.36,42,E,2,Maths,72,725
33.36,50,E,2,Maths,72,871
33.36,42,E,2,Maths,72,736
33.36,44,E,2,Maths,72,769
33.36,43,E,2,Maths,71,302
33.36,46,E,2,Maths,71,601
33.36,52,E,2,Maths,71,792
33.36,42,E,2,Maths,70,243
33.36,43,E,2,Maths,70,635
33.36,42,E,2,Maths,70,508
33.36,44,E,2,Maths,70,227
33.36,44,E,2,Maths,70,17
33.36,48,E,2,Maths,70,599
33.36,46,E,2,Maths,70,650
33.36,46,E,2,Maths,70,238
33.36,42,E,2,Maths,70,784
33.36,47,E,2,Maths,69,766
33.36,43,E,2,Maths,69,285
33.36,42,E,2,Maths,69,485
33.36,48,E,2,Maths,68,550
33.36,54,E,2,Maths,68,693
33.36,54,E,2,Maths,68,855
33.36,42,E,2,Maths,68,955
33.36,44,E,2,Maths,67,602
33.36,52,E,2,Maths,67,528
33.36,44,E,2,Maths,67,657
33.36,48,E,2,Maths,67,911
33.36,44,E,2,Maths,66,585
33.36,50,E,2,Geography,73,684
33.36,43,E,2,Geography,73,209
33.36,44,E,2,Geography,73,54
33.36,44,E,2,Geography,73,198
33.36,48,E,2,Geography,72,350
33.36,44,E,2,Geography,72,146
33.36,42,E,2,Geography,71,531
33.36,42,E,2,Geography,71,8
33.36,46,E,2,Geography,71,634
33.36,54,E,2,Geography,71,982
33.36,43,E,2,Geography,70,225
33.36,46,E,2,Geography,70,260
33.36,45,E,2,Geography,70,11
33.36,42,E,2,Geography,69,538
33.36,50,E,2,Geography,69,680
33.36,49,E,2,Geography,68,63
33.36,43,E,2,Geography,68,951
33.36,44,E,2,Geography,68,868
33.36,42,E,2,Geography,68,344
33.36,48,E,2,Geography,67,187
33.36,45,E,2,Geography,67,841
33.36,46,E,2,Geography,67,912
33.36,42,E,2,Geography,67,922
33.36,46,E,2,Geography,66,740
33.36,47,E,2,Spanish,72,608
33.36,42,E,2,Spanish,72,101
33.36,44,E,2,Spanish,72,295
33.36,44,E,2,Spanish,72,194
33.36,45,E,2,Spanish,72,96
33.36,46,E,2,Spanish,71,465
33.36,43,E,2,Spanish,71,831
33.36,46,E,2,Spanish,71,988
33.36,46,E,2,Spanish,71,475
33.36,43,E,2,Spanish,70,209
33.36,43,E,2,Spanish,70,407
33.36,52,E,2,Spanish,70,914
33.36,43,E,2,Spanish,70,760
33.36,46,E,2,Spanish,70,582
33.36,46,E,2,Spanish,69,904
33.36,49,E,2,Spanish,69,945
33.36,44,E,2,Spanish,69,972
33.36,42,E,2,Spanish,69,496
33.36,48,E,2,Spanish,69,282
33.36,42,E,2,Spanish,69,870
33.36,48,E,2,Spanish,68,581
33.36,46,E,2,Spanish,68,845
33.36,44,E,2,Spanish,68,54
33.36,44,E,2,Spanish,67,262
33.36,48,E,2,Spanish,67,973
33.36,50,E,2,History,72,669
33.36,42,E,2,History,72,411
33.36,45,E,2,History,72,184
33.36,43,E,2,History,72,188
33.36,50,E,2,History,72,57
33.36,44,E,2,History,71,643
33.36,46,E,2,History,71,266
33.36,43,E,2,History,71,176
33.36,44,E,2,History,71,236
33.36,43,E,2,History,71,541
33.36,42,E,2,History,71,218
33.36,46,E,2,History,70,24
33.36,43,E,2,History,70,975
33.36,52,E,2,History,70,803
33.36,46,E,2,History,70,51
33.36,52,E,2,History,70,961
33.36,44,E,2,History,69,339
33.36,44,E,2,History,69,981
33.36,43,E,2,History,69,530
33.36,43,E,2,History,69,506
33.36,46,E,2,History,69,163
33.36,44,E,2,History,69,323
33.36,42,E,2,History,68,870
33.36,52,E,2,History,68,528
33.36,43,E,2,History,68,252
33.36,46,E,2,History,68,446
33.36,42,E,2,History,68,328
33.36,42,E,2,History,68,597
33.36,42,E,2,History,68,895
33.36,42,E,2,History,68,920
33.36,46,E,2,History,67,238
33.36,50,E,2,History,67,464
33.36,47,E,2,History,67,326
33.36,44,E,2,History,67,146
33.36,43,E,2,History,66,325
33.36,44,E,2,History,66,868
33.36,42,E,2,Science,73,485
33.36,44,E,2,Science,73,643
33.36,52,E,2,Science,73,833
33.36,44,E,2,Science,73,936
33.36,47,E,2,Science,73,337
33.36,45,E,2,Science,73,559
33.36,58,E,2,Science,72,874
33.36,43,E,2,Science,72,511
33.36,44,E,2,Science,72,295
33.36,42,E,2,Science,72,597
33.36,42,E,2,Science,72,890
33.36,42,E,2,Science,71,125
33.36,42,E,2,Science,71,901
33.36,42,E,2,Science,71,784
33.36,42,E,2,Science,71,523
33.36,44,E,2,Science,71,156
33.36,42,E,2,Science,71,312
33.36,47,E,2,Science,71,865
33.36,45,E,2,Science,70,55
33.36,42,E,2,Science,69,228
33.36,44,E,2,Science,69,498
33.36,48,E,2,Science,69,558
33.36,42,E,2,Science,69,895
33.36,42,E,2,Science,68,924
33.36,45,E,2,Science,68,14
33.36,43,E,2,Science,68,635
33.36,46,E,2,Science,68,740
33.36,46,E,2,Science,67,497
33.36,44,E,2,Science,67,439
33.36,46,E,2,Science,67,392
33.36,44,E,2,Art,73,131
