Avg student total points per grade,Total Points per Student,Grade,Points,Subject,Score,Student ID
31.086004691164973,44,F,1,Maths,65,4
38.343723673125524,52,B,8,Maths,86,5
36.19456617002629,42,C,6,Maths,82,8
31.086004691164973,45,F,1,Maths,61,11
31.086004691164973,45,F,1,Maths,63,14
32.717791411042946,42,E,2,Maths,70,17
38.343723673125524,43,B,8,Maths,91,22
34.24044180118946,52,D,4,Maths,78,23
38.343723673125524,47,B,8,Maths,90,25
38.343723673125524,51,B,8,Maths,90,42
34.24044180118946,41,D,4,Maths,76,44
34.24044180118946,41,D,4,Maths,79,47
34.24044180118946,46,D,4,Maths,75,51
31.086004691164973,55,F,1,Maths,62,56
36.19456617002629,48,C,6,Maths,81,57
34.24044180118946,44,D,4,Maths,76,58
36.19456617002629,41,C,6,Maths,84,66
34.24044180118946,52,D,4,Maths,77,80
38.343723673125524,47,B,8,Maths,92,89
31.086004691164973,41,F,1,Maths,64,90
36.19456617002629,45,C,6,Maths,84,96
34.24044180118946,42,D,4,Maths,76,100
36.19456617002629,42,C,6,Maths,82,101
34.24044180118946,46,D,4,Maths,76,102
31.086004691164973,41,F,1,Maths,62,105
38.343723673125524,52,B,8,Maths,87,130
31.086004691164973,42,F,1,Maths,64,131
31.086004691164973,41,F,1,Maths,61,134
38.343723673125524,44,B,8,Maths,87,141
34.24044180118946,44,D,4,Maths,76,146
36.19456617002629,47,C,6,Maths,84,149
38.343723673125524,48,B,8,Maths,88,151
38.343723673125524,44,B,8,Maths,91,156
38.343723673125524,46,B,8,Maths,89,163
34.24044180118946,48,D,4,Maths,79,180
38.343723673125524,41,B,8,Maths,86,182
34.24044180118946,44,D,4,Maths,77,185
38.343723673125524,46,B,8,Maths,87,187
38.343723673125524,41,B,8,Maths,91,193
34.24044180118946,44,D,4,Maths,75,194
34.24044180118946,56,D,4,Maths,73,203
36.19456617002629,43,C,6,Maths,80,216
36.19456617002629,42,C,6,Maths,81,218
34.24044180118946,50,D,4,Maths,76,220
31.086004691164973,43,F,1,Maths,62,225
32.717791411042946,44,E,2,Maths,70,227
38.343723673125524,42,B,8,Maths,88,228
36.19456617002629,44,C,6,Maths,82,236
32.717791411042946,44,E,2,Maths,70,238
36.19456617002629,43,C,6,Maths,81,240
32.717791411042946,42,E,2,Maths,70,243
38.343723673125524,49,B,8,Maths,90,259
38.343723673125524,43,B,8,Maths,88,262
34.24044180118946,43,D,4,Maths,79,263
36.19456617002629,46,C,6,Maths,81,266
34.24044180118946,48,D,4,Maths,77,267
34.24044180118946,51,D,4,Maths,78,272
34.24044180118946,41,D,4,Maths,76,280
32.717791411042946,43,E,2,Maths,69,285
38.343723673125524,50,B,8,Maths,89,289
38.343723673125524,41,B,8,Maths,91,294
34.24044180118946,44,D,4,Maths,74,295
34.24044180118946,50,D,4,Maths,75,298
34.24044180118946,52,D,4,Maths,77,300
32.717791411042946,43,E,2,Maths,71,302
36.19456617002629,44,C,6,Maths,85,303
38.343723673125524,50,B,8,Maths,89,307
38.343723673125524,42,B,8,Maths,89,318
38.343723673125524,44,B,8,Maths,92,323
36.19456617002629,42,C,6,Maths,80,325
38.343723673125524,47,B,8,Maths,86,326
38.343723673125524,42,B,8,Maths,90,328
31.086004691164973,47,F,1,Maths,62,337
34.24044180118946,44,D,4,Maths,75,339
38.343723673125524,44,B,8,Maths,89,341
34.24044180118946,46,D,4,Maths,75,350
38.343723673125524,48,B,8,Maths,87,358
36.19456617002629,41,C,6,Maths,81,368
36.19456617002629,56,C,6,Maths,82,382
38.343723673125524,43,B,8,Maths,91,392
31.086004691164973,41,F,1,Maths,60,407
38.343723673125524,42,B,8,Maths,92,411
38.343723673125524,42,B,8,Maths,88,412
34.24044180118946,43,D,4,Maths,74,426
38.343723673125524,43,B,8,Maths,88,434
34.24044180118946,45,D,4,Maths,74,435
38.343723673125524,44,B,8,Maths,88,446
38.343723673125524,42,B,8,Maths,88,449
34.24044180118946,46,D,4,Maths,73,460
38.343723673125524,44,B,8,Maths,89,465
38.343723673125524,48,B,8,Maths,88,466
38.343723673125524,44,B,8,Maths,90,475
38.343723673125524,41,B,8,Maths,88,477
34.24044180118946,42,D,4,Maths,74,483
38.343723673125524,43,B,8,Maths,88,493
38.343723673125524,45,B,8,Maths,91,497
36.19456617002629,44,C,6,Maths,84,502
38.343723673125524,47,B,8,Maths,89,504
31.086004691164973,41,F,1,Maths,60,511
38.343723673125524,50,B,8,Maths,87,515
36.19456617002629,44,C,6,Maths,80,516
32.717791411042946,48,E,2,Maths,67,528
31.086004691164973,44,F,1,Maths,65,532
36.19456617002629,42,C,6,Maths,82,538
36.19456617002629,48,C,6,Maths,80,539
34.24044180118946,43,D,4,Maths,76,541
31.086004691164973,53,F,1,Maths,61,544
38.343723673125524,44,B,8,Maths,92,546
36.19456617002629,43,C,6,Maths,82,547
32.717791411042946,48,E,2,Maths,68,550
38.343723673125524,52,B,8,Maths,92,551
36.19456617002629,42,C,6,Maths,85,565
38.343723673125524,42,B,8,Maths,90,572
34.24044180118946,48,D,4,Maths,79,578
34.24044180118946,48,D,4,Maths,73,581
38.343723673125524,46,B,8,Maths,90,582
31.086004691164973,41,F,1,Maths,66,585
36.19456617002629,42,C,6,Maths,80,597
32.717791411042946,46,E,2,Maths,70,599
32.717791411042946,46,E,2,Maths,71,601
32.717791411042946,42,E,2,Maths,67,602
31.086004691164973,44,F,1,Maths,63,605
31.086004691164973,43,F,1,Maths,63,607
32.717791411042946,45,E,2,Maths,72,608
34.24044180118946,46,D,4,Maths,79,609
38.343723673125524,44,B,8,Maths,88,627
32.717791411042946,41,E,2,Maths,70,635
34.24044180118946,43,D,4,Maths,76,639
31.086004691164973,43,F,1,Maths,60,641
32.717791411042946,44,E,2,Maths,70,650
31.086004691164973,47,F,1,Maths,65,654
32.717791411042946,44,E,2,Maths,67,657
34.24044180118946,44,D,4,Maths,79,660
34.24044180118946,44,D,4,Maths,76,672
36.19456617002629,50,C,6,Maths,81,684
38.343723673125524,54,B,8,Maths,91,687
32.717791411042946,52,E,2,Maths,68,693
38.343723673125524,42,B,8,Maths,88,720
34.24044180118946,42,D,4,Maths,79,721
