Points Rank,Likelihood Rank,7 letter word,% Chance,Total Points
1,178,muzjiks,2.88e-12,29
2,121,bezique,1.0368e-10,27
2,129,cazique,7.776e-11,27
2,129,tzaddiq,7.776e-11,27
2,172,jukebox,7.68e-12,27
2,138,mezquit,5.184e-11,27
3,178,zambuck,2.88e-12,26
3,158,zinkify,1.944e-11,26
3,131,zootaxy,6.912e-11,26
3,176,squawky,5.76e-12,26
3,170,sovkhoz,1.024e-11,26
3,168,zombify,1.152e-11,26
3,169,kolhozy,1.024e-11,26
4,160,jambeux,1.728e-11,25
4,176,zymurgy,5.76e-12,25
4,131,quezals,6.912e-11,25
4,176,muzhiks,5.76e-12,25
4,123,quinzes,1.0368e-10,25
4,176,quickly,5.76e-12,25
4,175,asphyxy,5.76e-12,25
4,121,quetzal,1.0368e-10,25
4,173,packwax,6.48e-12,25
4,138,frawzey,5.184e-11,25
4,168,squiffy,1.152e-11,25
4,115,jezebel,1.3824e-10,25
4,93,squeeze,2.7648e-10,25
5,152,zaddick,2.592e-11,24
5,146,zincify,3.888e-11,24
5,177,jumpoff,5.12e-12,24
5,176,zambuks,5.76e-12,24
5,152,chintzy,2.592e-11,24
5,155,showbiz,2.304e-11,24
5,150,kajawah,2.916e-11,24
5,89,oxidize,3.1104e-10,24
5,155,zebecks,2.304e-11,24
5,159,kibbitz,1.944e-11,24
5,172,zythums,7.68e-12,24
5,160,waxwork,1.728e-11,24
5,152,hamzahs,2.592e-11,24
5,171,kibbutz,8.64e-12,24
5,179,jumbuck,1.28e-12,24
5,160,cachexy,1.728e-11,24
5,147,queachy,3.456e-11,24
5,162,hutzpah,1.728e-11,24
5,164,jackdaw,1.296e-11,24
5,168,hypoxic,1.152e-11,24
5,168,ziplock,1.152e-11,24
5,163,zlotych,1.536e-11,24
5,155,zephyrs,2.304e-11,24
5,146,mitzvah,3.888e-11,24
5,142,queechy,4.608e-11,24
5,163,hydroxy,1.536e-11,24
5,115,jerqued,1.3824e-10,24
5,164,jaywalk,1.296e-11,24
5,164,czapkas,1.296e-11,24
5,140,mythize,5.184e-11,24
6,156,schmooz,2.048e-11,23
6,146,kwanzas,3.888e-11,23
6,163,schmelz,1.536e-11,23
6,147,squeaky,3.456e-11,23
6,111,jezails,1.5552e-10,23
6,165,hijacks,1.296e-11,23
6,94,janizar,2.6244e-10,23
6,166,squawks,1.152e-11,23
6,142,chometz,4.608e-11,23
6,140,enzymic,5.184e-11,23
