Stage_1,Stage_2,Stage_3,pokedex_number,gen_introduced,initial_combat_power,final_combat_power,combat_power_increase
Snover,Abomasnow,,459,4,334,494,0.479041916167665
Shelmet,Accelgor,,616,5,305,495,0.622950819672131
Honedge,Doublade,Aegislash Shield,679,6,325,500,0.538461538461539
Aron,Lairon,Aggron,304,3,330,530,0.606060606060606
Abra,Kadabra,Alakazam,63,1,310,500,0.612903225806452
Milcery,Alcremie,,868,8,270,495,0.833333333333333
Swablu,Altaria,,333,3,310,490,0.580645161290323
Aipom,Ambipom,,190,2,360,482,0.338888888888889
Foongus,Amoonguss,,590,5,294,464,0.578231292517007
Mareep,Flaaffy,Ampharos,179,2,280,510,0.821428571428571
Applin,Appletun,,840,8,260,485,0.865384615384615
Dewpider,Araquanid,,751,7,269,454,0.687732342007435
Ekans,Arbok,,23,1,288,448,0.555555555555556
Growlithe,Arcanine,,58,1,350,555,0.585714285714286
Archen,Archeops,,566,5,401,567,0.413965087281795
Spinarak,Ariados,,167,2,250,400,0.6
Anorith,Armaldo,,347,3,355,495,0.394366197183099
Spritzee,Aromatisse,,682,6,341,462,0.354838709677419
Amaura,Aurorus,,698,6,362,521,0.439226519337017
Bergmite,Avalugg,,712,6,304,514,0.690789473684211
Azurill,Marill,Azumarill,298,3,190,420,1.21052631578947
Shuppet,Banette,,353,3,295,455,0.542372881355932
Binacle,Barbaracle,,688,6,306,500,0.633986928104575
Arrokuda,Barraskewda,,846,8,280,490,0.75
Basculin,Basculegion,,550,5,460,530,0.152173913043478
Shieldon,Bastiodon,,410,4,350,495,0.414285714285714
Cubchoo,Beartic,,613,5,305,505,0.655737704918033
Wurmple,Silcoon,Beautifly,265,3,195,395,1.02564102564103
Weedle,Kakuna,Beedrill,13,1,195,395,1.02564102564103
Elgyem,Beheeyem,,605,5,335,485,0.447761194029851
Oddish,Gloom,Bellossom,43,1,320,490,0.53125
Stufful,Bewear,,759,7,340,500,0.470588235294118
Bidoof,Bibarel,,399,4,250,410,0.64
Pawniard,Bisharp,,624,5,340,490,0.441176470588235
Squirtle,Wartortle,Blastoise,7,1,314,530,0.687898089171975
Torchic,Combusken,Blaziken,255,3,310,530,0.709677419354839
Happiny,Chansey,Blissey,440,4,220,540,1.45454545454545
Yamper,Boltund,,835,8,270,490,0.814814814814815
Rufflet,Braviary,,627,5,350,510,0.457142857142857
Shroomish,Breloom,,285,3,295,460,0.559322033898305
Bronzor,Bronzong,,436,4,300,500,0.666666666666667
Caterpie,Metapod,Butterfree,10,1,195,395,1.02564102564103
Cacnea,Cacturne,,331,3,335,475,0.417910447761194
Numel,Camerupt,,322,3,305,460,0.508196721311475
Tirtouga,Carracosta,,564,5,355,495,0.394366197183099
Sizzlipede,Centiskorch,,850,8,305,525,0.721311475409836
Litwick,Lampent,Chandelure,607,5,275,520,0.890909090909091
Charmander,Charmeleon,Charizard,4,1,309,534,0.728155339805825
Cherubi,Cherrim,,420,4,275,450,0.636363636363636
Chespin,Quilladin,Chesnaught,650,6,313,530,0.693290734824281
Chingling,Chimecho,,433,4,285,455,0.596491228070176
Minccino,Cinccino,,572,5,300,470,0.566666666666667
Scorbunny,Raboot,Cinderace,813,8,310,530,0.709677419354839
Clauncher,Clawitzer,,692,6,330,500,0.515151515151515
Baltoy,Claydol,,343,3,300,500,0.666666666666667
Cleffa,Clefairy,Clefable,173,2,218,483,1.21559633027523
Shellder,Cloyster,,90,1,305,525,0.721311475409836
Rolycoly,Carkol,Coalossal,837,8,240,510,1.125
Yamask,Cofagrigus,,562,5,303,483,0.594059405940594
Timburr,Gurdurr,Conkeldurr,532,5,305,505,0.655737704918033
Cufant,Copperajah,,878,8,330,500,0.515151515151515
Rookidee,Corvisquire,Corviknight,821,8,245,495,1.02040816326531
Crabrawler,Crabominable,,739,7,338,478,0.414201183431953
Lileep,Cradily,,345,3,355,495,0.394366197183099
Corphish,Crawdaunt,,341,3,308,468,0.519480519480519
Zubat,Golbat,Crobat,41,1,245,535,1.18367346938776
Dwebble,Crustle,,557,5,325,485,0.492307692307692
Corsola,Cursola,,222,2,410,510,0.24390243902439
Darumaka,Darmanitan,,554,5,315,480,0.523809523809524
Rowlet,Dartrix,Decidueye,722,7,320,530,0.65625
Skitty,Delcatty,,300,3,260,400,0.538461538461539
Fennekin,Braixen,Delphox,653,6,307,534,0.739413680781759
Seel,Dewgong,,86,1,325,475,0.461538461538461
Bunnelby,Diggersby,,659,6,237,423,0.784810126582278
Doduo,Dodrio,,84,1,310,470,0.516129032258065
Phanpy,Donphan,,231,2,330,500,0.515151515151515
Skrelp,Dragalge,,690,6,320,494,0.54375
Dreepy,Drakloak,Dragapult,885,8,270,600,1.22222222222222
Dratini,Dragonair,Dragonite,147,1,300,600,1
Skorupi,Drapion,,451,4,330,500,0.515151515151515
Chewtle,Drednaw,,833,8,284,485,0.707746478873239
Drifloon,Drifblim,,425,4,348,498,0.431034482758621
Wooloo,Dubwool,,831,8,270,490,0.814814814814815
Diglett,Dugtrio,,50,1,265,425,0.60377358490566
Duskull,Dusclops,Dusknoir,355,3,295,525,0.779661016949152
Wurmple,Cascoon,Dustox,265,3,195,385,0.974358974358974
Tynamo,Eelektrik,Eelektross,602,5,275,515,0.872727272727273
Gossifleur,Eldegoss,,829,8,250,460,0.84
Elekid,Electabuzz,Electivire,239,2,360,540,0.5
Voltorb,Electrode,,100,1,330,490,0.484848484848485
Tepig,Pignite,Emboar,498,5,308,528,0.714285714285714
Piplup,Prinplup,Empoleon,393,4,314,530,0.687898089171975
Karrablast,Escavalier,,588,5,315,495,0.571428571428571
Eevee,Espeon,,133,1,325,525,0.615384615384615
Drilbur,Excadrill,,529,5,328,508,0.548780487804878
Exeggcute,Exeggutor,,102,1,325,530,0.630769230769231
Whismur,Loudred,Exploud,293,3,240,490,1.04166666666667
Spearow,Fearow,,21,1,262,442,0.687022900763359
Totodile,Croconaw,Feraligatr,158,2,314,530,0.687898089171975
Ferroseed,Ferrothorn,,597,5,305,489,0.60327868852459
Applin,Flapple,,840,8,260,485,0.865384615384615
Eevee,Flareon,,133,1,325,525,0.615384615384615
Buizel,Floatzel,,418,4,330,495,0.5
Flabébé,Floette,Florges,669,6,303,552,0.821782178217822
Trapinch,Vibrava,Flygon,328,3,290,520,0.793103448275862
Pineco,Forretress,,204,2,290,465,0.603448275862069
Snorunt,Froslass,,361,3,300,480,0.6
Snom,Frosmoth,,872,8,185,475,1.56756756756757
Sentret,Furret,,161,2,215,415,0.930232558139535
Ralts,Kirlia,Gallade,280,3,198,518,1.61616161616162
Joltik,Galvantula,,595,5,319,472,0.479623824451411
Trubbish,Garbodor,,568,5,329,474,0.440729483282675
Gible,Gabite,Garchomp,443,4,300,600,1
Ralts,Kirlia,Gardevoir,280,3,198,518,1.61616161616162
Shellos,Gastrodon,,422,4,325,475,0.461538461538461
Gastly,Haunter,Gengar,92,1,310,500,0.612903225806452
Roggenrola,Boldore,Gigalith,524,5,280,515,0.839285714285714
Eevee,Glaceon,,133,1,325,525,0.615384615384615
Snorunt,Glalie,,361,3,300,480,0.6
Gligar,Gliscor,,207,2,430,510,0.186046511627907
Skiddo,Gogoat,,672,6,350,531,0.517142857142857
Psyduck,Golduck,,54,1,320,500,0.5625
Geodude,Graveler,Golem,74,1,300,495,0.65
Wimpod,Golisopod,,767,7,230,530,1.30434782608696
Golett,Golurk,,622,5,303,483,0.594059405940594
Goomy,Sliggoo,Goodra,704,6,300,600,1
Clamperl,Gorebyss,,366,3,345,485,0.405797101449275
Gothita,Gothorita,Gothitelle,574,5,290,490,0.689655172413793
Pumpkaboo,Gourgeist,,710,6,335,494,0.474626865671642
Snubbull,Granbull,,209,2,300,450,0.5
Clobbopus,Grapploct,,852,8,310,480,0.548387096774194
Skwovet,Greedent,,819,8,275,460,0.672727272727273
Froakie,Frogadier,Greninja,656,6,314,530,0.687898089171975
Impidimp,Morgrem,Grimmsnarl,859,8,265,510,0.924528301886792
Spoink,Grumpig,,325,3,330,470,0.424242424242424
Yungoos,Gumshoos,,734,7,253,418,0.652173913043478
Magikarp,Gyarados,,129,1,200,540,1.7
Makuhita,Hariyama,,296,3,237,474,1
Hatenna,Hattrem,Hatterene,856,8,265,510,0.924528301886792
Axew,Fraxure,Haxorus,610,5,320,540,0.6875
Helioptile,Heliolisk,,694,6,289,481,0.664359861591695
Hippopotas,Hippowdon,,449,4,330,525,0.590909090909091
Tyrogue,Hitmonchan,,236,2,210,455,1.16666666666667
Tyrogue,Hitmonlee,,236,2,210,455,1.16666666666667
Tyrogue,Hitmontop,,236,2,210,455,1.16666666666667
Murkrow,Honchkrow,,198,2,405,505,0.246913580246914
Houndour,Houndoom,,228,2,330,500,0.515151515151515
Clamperl,Huntail,,366,3,345,485,0.405797101449275
Deino,Zweilous,Hydreigon,633,5,300,600,1
Drowzee,Hypno,,96,1,328,483,0.472560975609756
Litten,Torracat,Incineroar,725,7,320,530,0.65625
Chimchar,Monferno,Infernape,390,4,309,534,0.728155339805825
