"Stage_1","Stage_2","Stage_3","pokedex_number","gen_introduced","initial_combat_power","final_combat_power","combat_power_increase"
"Nincada","Shedinja","",290,3,266,236,-0.112781954887218
"Scyther","Kleavor","",123,1,500,500,0
"Scyther","Scizor","",123,1,500,500,0
"Type: Null","Silvally","",772,7,534,570,0.0674157303370786
"Stantler","Wyrdeer","",234,2,465,525,0.129032258064516
"Misdreavus","Mismagius","",200,2,435,495,0.137931034482759
"Basculin","Basculegion","",550,5,460,530,0.152173913043478
"Qwilfish","Overqwil","",211,2,440,510,0.159090909090909
"Gligar","Gliscor","",207,2,430,510,0.186046511627907
"Sneasel","Sneasler","",215,2,430,510,0.186046511627907
"Sneasel","Weavile","",215,2,430,510,0.186046511627907
"Ponyta","Rapidash","",77,1,410,500,0.219512195121951
"Tangela","Tangrowth","",114,1,435,535,0.229885057471264
"Corsola","Cursola","",222,2,410,510,0.24390243902439
"Murkrow","Honchkrow","",198,2,405,505,0.246913580246914
"Wailmer","Wailord","",320,3,400,500,0.25
"Poipole","Naganadel","",803,7,420,540,0.285714285714286
"Mudbray","Mudsdale","",749,7,385,500,0.298701298701299
"Espurr","Meowstic","",677,6,355,466,0.312676056338028
"Woobat","Swoobat","",527,5,323,425,0.315789473684211
"Yanma","Yanmega","",193,2,390,515,0.32051282051282
"Onix","Steelix","",95,1,385,510,0.324675324675325
"Cubone","Marowak","",104,1,320,425,0.328125
"Lickitung","Lickilicky","",108,1,385,515,0.337662337662338
"Aipom","Ambipom","",190,2,360,482,0.338888888888889
"Farfetch'd","Sirfetch'd","",83,1,377,507,0.344827586206897
"Porygon","Porygon2","Porygon Z",137,1,395,535,0.354430379746835
"Spritzee","Aromatisse","",682,6,341,462,0.354838709677419
"Buneary","Lopunny","",427,4,350,480,0.371428571428571
"Litleo","Pyroar","",667,6,369,507,0.373983739837398
"Vullaby","Mandibuzz","",629,5,370,510,0.378378378378378
"Munchlax","Snorlax","",446,4,390,540,0.384615384615385
"Chinchou","Lanturn","",170,2,330,460,0.393939393939394
"Finneon","Lumineon","",456,4,330,460,0.393939393939394
"Anorith","Armaldo","",347,3,355,495,0.394366197183099
"Kabuto","Kabutops","",140,1,355,495,0.394366197183099
"Lileep","Cradily","",345,3,355,495,0.394366197183099
"Omanyte","Omastar","",138,1,355,495,0.394366197183099
"Tirtouga","Carracosta","",564,5,355,495,0.394366197183099
"Nosepass","Probopass","",299,3,375,525,0.4
"Scraggy","Scrafty","",559,5,348,488,0.402298850574713
"Clamperl","Gorebyss","",366,3,345,485,0.405797101449275
"Clamperl","Huntail","",366,3,345,485,0.405797101449275
"Mantyke","Mantine","",458,4,345,485,0.405797101449275
"Goldeen","Seaking","",118,1,320,450,0.40625
"Swirlix","Slurpuff","",684,6,341,480,0.407624633431085
"Bonsly","Sudowoodo","",438,4,290,410,0.413793103448276
"Archen","Archeops","",566,5,401,567,0.413965087281795
"Crabrawler","Crabominable","",739,7,338,478,0.414201183431953
"Cranidos","Rampardos","",408,4,350,495,0.414285714285714
"Shieldon","Bastiodon","",410,4,350,495,0.414285714285714
"Cacnea","Cacturne","",331,3,335,475,0.417910447761194
"Deerling","Sawsbuck","",585,5,335,475,0.417910447761194
"Morelull","Shiinotic","",755,7,285,405,0.421052631578947
"Paras","Parasect","",46,1,285,405,0.421052631578947
"Pancham","Pangoro","",674,6,348,495,0.422413793103448
"Spoink","Grumpig","",325,3,330,470,0.424242424242424
"Kubfu","Urshifu","",891,8,385,550,0.428571428571429
"Drifloon","Drifblim","",425,4,348,498,0.431034482758621
"Frillish","Jellicent","",592,5,335,480,0.432835820895522
"Amaura","Aurorus","",698,6,362,521,0.439226519337017
"Tyrunt","Tyrantrum","",696,6,362,521,0.439226519337017
"Trubbish","Garbodor","",568,5,329,474,0.440729483282675
"Koffing","Weezing","",109,1,340,490,0.441176470588235
"Pawniard","Bisharp","",624,5,340,490,0.441176470588235
"Elgyem","Beheeyem","",605,5,335,485,0.447761194029851
"Stunky","Skuntank","",434,4,329,479,0.455927051671732
"Mienfoo","Mienshao","",619,5,350,510,0.457142857142857
"Rufflet","Braviary","",627,5,350,510,0.457142857142857
"Glameow","Purugly","",431,4,310,452,0.458064516129032
"Krabby","Kingler","",98,1,325,475,0.461538461538461
"Seel","Dewgong","",86,1,325,475,0.461538461538461
"Shellos","Gastrodon","",422,4,325,475,0.461538461538461
"Meditite","Medicham","",307,3,280,410,0.464285714285714
"Natu","Xatu","",177,2,320,470,0.46875
"Stufful","Bewear","",759,7,340,500,0.470588235294118
"Ledyba","Ledian","",165,2,265,390,0.471698113207547
"Drowzee","Hypno","",96,1,328,483,0.472560975609756
"Pumpkaboo","Gourgeist","",710,6,335,494,0.474626865671642
"Venonat","Venomoth","",48,1,305,450,0.475409836065574
"Snover","Abomasnow","",459,4,334,494,0.479041916167665
"Magby","Magmar","Magmortar",240,2,365,540,0.47945205479452
"Joltik","Galvantula","",595,5,319,472,0.479623824451411
"Voltorb","Electrode","",100,1,330,490,0.484848484848485
"Mankey","Primeape","",56,1,305,455,0.491803278688525
"Smoochum","Jynx","",238,2,305,455,0.491803278688525
"Dwebble","Crustle","",557,5,325,485,0.492307692307692
"Buizel","Floatzel","",418,4,330,495,0.5
"Elekid","Electabuzz","Electivire",239,2,360,540,0.5
"Salandit","Salazzle","",757,7,320,480,0.5
"Sandshrew","Sandslash","",27,1,300,450,0.5
"Sandygast","Palossand","",769,7,320,480,0.5
"Snubbull","Granbull","",209,2,300,450,0.5
"Carvanha","Sharpedo","",318,3,305,460,0.508196721311475
"Numel","Camerupt","",322,3,305,460,0.508196721311475
"Clauncher","Clawitzer","",692,6,330,500,0.515151515151515
"Cufant","Copperajah","",878,8,330,500,0.515151515151515
"Houndour","Houndoom","",228,2,330,500,0.515151515151515
"Phanpy","Donphan","",231,2,330,500,0.515151515151515
"Skorupi","Drapion","",451,4,330,500,0.515151515151515
"Doduo","Dodrio","",84,1,310,470,0.516129032258065
"Skiddo","Gogoat","",672,6,350,531,0.517142857142857
"Meowth","Perrserker","",52,1,290,440,0.517241379310345
"Meowth","Persian","",52,1,290,440,0.517241379310345
"Corphish","Crawdaunt","",341,3,308,468,0.519480519480519
"Darumaka","Darmanitan","",554,5,315,480,0.523809523809524
"Cutiefly","Ribombee","",742,7,304,464,0.526315789473684
"Larvesta","Volcarona","",636,5,360,550,0.527777777777778
"Staryu","Starmie","",120,1,340,520,0.529411764705882
"Oddish","Gloom","Bellossom",43,1,320,490,0.53125
"Oddish","Gloom","Vileplume",43,1,320,490,0.53125
"Phantump","Trevenant","",708,6,309,474,0.533980582524272
"Tentacool","Tentacruel","",72,1,335,515,0.537313432835821
"Grimer","Muk","",88,1,325,500,0.538461538461539
"Honedge","Doublade","Aegislash Shield",679,6,325,500,0.538461538461539
"Skitty","Delcatty","",300,3,260,400,0.538461538461539
"Shuppet","Banette","",353,3,295,455,0.542372881355932
"Skrelp","Dragalge","",690,6,320,494,0.54375
"Zorua","Zoroark","",570,5,330,510,0.545454545454545
"Gulpin","Swalot","",316,3,302,467,0.54635761589404
"Clobbopus","Grapploct","",852,8,310,480,0.548387096774194
"Drilbur","Excadrill","",529,5,328,508,0.548780487804878
"Rhyhorn","Rhydon","Rhyperior",111,1,345,535,0.550724637681159
"Ducklett","Swanna","",580,5,305,473,0.550819672131148
"Ekans","Arbok","",23,1,288,448,0.555555555555556
"Slowpoke","Slowbro","",79,1,315,490,0.555555555555556
"Slowpoke","Slowking","",79,1,315,490,0.555555555555556
"Wynaut","Wobbuffet","",360,3,260,405,0.557692307692308
"Shroomish","Breloom","",285,3,295,460,0.559322033898305
"Psyduck","Golduck","",54,1,320,500,0.5625
"Minccino","Cinccino","",572,5,300,470,0.566666666666667
"Karrablast","Escavalier","",588,5,315,495,0.571428571428571
"Panpour","Simipour","",515,5,316,498,0.575949367088608
"Pansage","Simisage","",511,5,316,498,0.575949367088608
"Pansear","Simisear","",513,5,316,498,0.575949367088608
"Foongus","Amoonguss","",590,5,294,464,0.578231292517007
"Swablu","Altaria","",333,3,310,490,0.580645161290323
"Growlithe","Arcanine","",58,1,350,555,0.585714285714286
"Purrloin","Liepard","",509,5,281,446,0.587188612099644
"Hippopotas","Hippowdon","",449,4,330,525,0.590909090909091
"Golett","Golurk","",622,5,303,483,0.594059405940594
"Yamask","Cofagrigus","",562,5,303,483,0.594059405940594
"Yamask","Runerigus","",562,5,303,483,0.594059405940594
"Chingling","Chimecho","",433,4,285,455,0.596491228070176
"Remoraid","Octillery","",223,2,300,480,0.6
"Snorunt","Froslass","",361,3,300,480,0.6
"Snorunt","Glalie","",361,3,300,480,0.6
"Spinarak","Ariados","",167,2,250,400,0.6
"Ferroseed","Ferrothorn","",597,5,305,489,0.60327868852459
"Pineco","Forretress","",204,2,290,465,0.603448275862069
"Diglett","Dugtrio","",50,1,265,425,0.60377358490566
"Aron","Lairon","Aggron",304,3,330,530,0.606060606060606
"Electrike","Manectric","",309,3,295,475,0.610169491525424
"Abra","Kadabra","Alakazam",63,1,310,500,0.612903225806452
"Gastly","Haunter","Gengar",92,1,310,500,0.612903225806452
"Sewaddle","Swadloon","Leavanny",540,5,310,500,0.612903225806452
"Eevee","Espeon","",133,1,325,525,0.615384615384615
"Eevee","Flareon","",133,1,325,525,0.615384615384615
"Eevee","Glaceon","",133,1,325,525,0.615384615384615
"Eevee","Jolteon","",133,1,325,525,0.615384615384615
"Eevee","Leafeon","",133,1,325,525,0.615384615384615
"Eevee","Sylveon","",133,1,325,525,0.615384615384615
"Eevee","Umbreon","",133,1,325,525,0.615384615384615
"Eevee","Vaporeon","",133,1,325,525,0.615384615384615
"Silicobra","Sandaconda","",843,8,315,510,0.619047619047619
"Mareanie","Toxapex","",747,7,305,495,0.622950819672131
"Shelmet","Accelgor","",616,5,305,495,0.622950819672131
"Barboach","Whiscash","",339,3,288,468,0.625
"Wingull","Pelipper","",278,3,270,440,0.62962962962963
"Exeggcute","Exeggutor","",102,1,325,530,0.630769230769231
"Rattata","Raticate","",19,1,253,413,0.632411067193676
"Bellsprout","Weepinbell","Victreebel",69,1,300,490,0.633333333333333
"Croagunk","Toxicroak","",453,4,300,490,0.633333333333333
"Binacle","Barbaracle","",688,6,306,500,0.633986928104575
"Cherubi","Cherrim","",420,4,275,450,0.636363636363636
"Bidoof","Bibarel","",399,4,250,410,0.64
"Magnemite","Magneton","Magnezone",81,1,325,535,0.646153846153846
"Patrat","Watchog","",504,5,255,420,0.647058823529412
"Sinistea","Polteageist","",854,8,308,508,0.649350649350649
"Geodude","Graveler","Golem",74,1,300,495,0.65
"Bulbasaur","Ivysaur","Venusaur",1,1,318,525,0.650943396226415
"Chikorita","Bayleef","Meganium",152,2,318,525,0.650943396226415
"Turtwig","Grotle","Torterra",387,4,318,525,0.650943396226415
"Yungoos","Gumshoos","",734,7,253,418,0.652173913043478
"Cubchoo","Beartic","",613,5,305,505,0.655737704918033
