Year,Pass/Fail,Categorisation,Movie,Ranking
1874,Fail,Fewer than two women in this movie,Passage de Venus,5
2010,Fail,Fewer than two women in this movie,The Corridor,5
1968,Fail,Fewer than two women in this movie,Reconstruction,5
1968,Fail,Fewer than two women in this movie,The Producers,5
2010,Fail,Fewer than two women in this movie,Ca$h,5
2010,Fail,Fewer than two women in this movie,Catfish,5
1968,Fail,Fewer than two women in this movie,Il giorno della civetta,5
2010,Fail,Fewer than two women in this movie,Chasing Legends,5
1968,Fail,Fewer than two women in this movie,Ice Station Zebra,5
1968,Fail,Fewer than two women in this movie,Head,5
2010,Fail,Fewer than two women in this movie,Dear John,5
1968,Fail,Fewer than two women in this movie,Taiyo no oji: Horusu no daiboken,5
1968,Fail,Fewer than two women in this movie,"Django, Prepare a Coffin",5
1968,Fail,Fewer than two women in this movie,Destroy All Monsters,5
2010,Fail,Fewer than two women in this movie,Dylan Dog: Dead of Night,5
1968,Fail,Fewer than two women in this movie,The Boys of Paul Street,5
2010,Fail,Fewer than two women in this movie,Exit Through the Gift Shop,5
1968,Fail,Fewer than two women in this movie,Asterix et Cleopatre,5
1968,Fail,Fewer than two women in this movie,2001: A Space Odyssey,5
2010,Fail,Fewer than two women in this movie,The Experiment,5
2010,Fail,Fewer than two women in this movie,BearCity,5
1968,Fail,Fewer than two women in this movie,"Today We Kill, Tomorrow We Die!",5
2010,Fail,Fewer than two women in this movie,Faster,5
2009,Fail,Fewer than two women in this movie,Valhalla Rising,5
1970,Fail,Fewer than two women in this movie,Le Cercle Rouge,5
2009,Fail,Fewer than two women in this movie,The Men Who Stare at Goats,5
1970,Fail,Fewer than two women in this movie,Colossus: The Forbin Project,5
2009,Fail,Fewer than two women in this movie,Perrier's Bounty,5
1970,Fail,Fewer than two women in this movie,The Boys in the Band,5
2009,Fail,Fewer than two women in this movie,The Secret of Kells,5
2009,Fail,Fewer than two women in this movie,The Taking of Pelham 123,5
2009,Fail,Fewer than two women in this movie,Tournament,5
1969,Fail,Fewer than two women in this movie,"Godzilla's Revenge (Godzilla, Minira, Gabara: All Monsters Attack)",5
2010,Fail,Fewer than two women in this movie,Bal,5
1969,Fail,Fewer than two women in this movie,Downhill Racer,5
1969,Fail,Fewer than two women in this movie,Django the Bastard,5
1969,Fail,Fewer than two women in this movie,Chastity,5
1969,Fail,Fewer than two women in this movie,Army of Shadows,5
2010,Fail,Fewer than two women in this movie,The A-Team,5
2010,Fail,Fewer than two women in this movie,The Amazing Bulk,5
1968,Fail,Fewer than two women in this movie,Yellow Submarine,5
1968,Fail,Fewer than two women in this movie,The Valley of Death,5
2010,Fail,Fewer than two women in this movie,Fantasmas,5
1967,Fail,Fewer than two women in this movie,Son of Godzilla,5
2014,Fail,Fewer than two women in this movie,Let's Be Cops,5
1966,Fail,Fewer than two women in this movie,Death Rides a Horse,5
1966,Fail,Fewer than two women in this movie,How to Steal a Million,5
2010,Fail,Fewer than two women in this movie,Predators,5
2010,Fail,Fewer than two women in this movie,Prince of Persia: The Sands of Time,5
2010,Fail,Fewer than two women in this movie,R U There,5
1966,Fail,Fewer than two women in this movie,Fantastic Voyage,5
2010,Fail,Fewer than two women in this movie,Rare Exports,5
2010,Fail,Fewer than two women in this movie,Restrepo,5
1966,Fail,Fewer than two women in this movie,Django,5
1966,Fail,Fewer than two women in this movie,Daikaiju ketto: Gamera tai Barugon,5
2010,Fail,Fewer than two women in this movie,Omae Umasou da na,5
1966,Fail,Fewer than two women in this movie,Blow-Up,5
2010,Fail,Fewer than two women in this movie,Sound of Noise,5
1965,Fail,Fewer than two women in this movie,Winnetou: The Last Shot,5
2010,Fail,Fewer than two women in this movie,Steam of Life,5
1965,Fail,Fewer than two women in this movie,The Railrodder,5
2010,Fail,Fewer than two women in this movie,The Tourist,5
1965,Fail,Fewer than two women in this movie,The Knack... and How to Get It,5
1965,Fail,Fewer than two women in this movie,Kapurush,5
1966,Fail,Fewer than two women in this movie,La caza,5
2010,Fail,Fewer than two women in this movie,Of god and men (Des hommes et des dieux),5
2010,Fail,Fewer than two women in this movie,Green Zone,5
1967,Fail,Fewer than two women in this movie,The Dirty Dozen,5
2010,Fail,Fewer than two women in this movie,The Heavy,5
2010,Fail,Fewer than two women in this movie,How I ended this summer,5
2010,Fail,Fewer than two women in this movie,Howl,5
2010,Fail,Fewer than two women in this movie,Hunter Prey,5
1967,Fail,Fewer than two women in this movie,God Forgives... I Don't!,5
2010,Fail,Fewer than two women in this movie,The Illusionist,5
1967,Fail,Fewer than two women in this movie,Elvira Madigan,5
1967,Fail,Fewer than two women in this movie,"Django Kill... If You Live, Shoot!",5
1967,Fail,Fewer than two women in this movie,Daikaiju kuchusen: Gamera tai Gyaosu,5
2010,Fail,Fewer than two women in this movie,Monsters,5
2010,Fail,Fewer than two women in this movie,Im Schatten,5
2010,Fail,Fewer than two women in this movie,Jo's Boy,5
1967,Fail,Fewer than two women in this movie,Asterix the Gaul (Asterix le Gaulois),5
1967,Fail,Fewer than two women in this movie,A Time for Killing,5
1966,Fail,Fewer than two women in this movie,Wrath of Daimajin,5
2010,Fail,Fewer than two women in this movie,Majorite opprimee,5
