Weekday,Week,Teacher,Time,Lesson Name,Subject,Attendance,Avg. Attendance per Subject & Lesson
Wednesday,1,T. Prowse,14:00:00,Poetry,English,14,20.75
Wednesday,2,T. Prowse,14:00:00,Poetry,English,21,20.75
Wednesday,3,T. Prowse,14:00:00,Poetry,English,23,20.75
Wednesday,4,T. Prowse,14:00:00,Poetry,English,25,20.75
Wednesday,1,J. Martin,09:00:00,Algebra,Maths,10,14.25
Wednesday,4,J. Martin,09:00:00,Algebra,Maths,26,14.25
Wednesday,2,J. Martin,09:00:00,Algebra,Maths,10,14.25
Wednesday,3,J. Martin,09:00:00,Algebra,Maths,11,14.25
Tuesday,2,O. Feather,14:00:00,Rugby,Sports,26,28.25
Tuesday,4,O. Feather,14:00:00,Rugby,Sports,28,28.25
Tuesday,1,O. Feather,14:00:00,Rugby,Sports,30,28.25
Tuesday,3,O. Feather,14:00:00,Rugby,Sports,29,28.25
Tuesday,1,C. Allchin,09:00:00,Chemistry,Science,13,24.0
Tuesday,3,C. Allchin,09:00:00,Chemistry,Science,25,24.0
Tuesday,4,C. Allchin,09:00:00,Chemistry,Science,28,24.0
Tuesday,2,C. Allchin,09:00:00,Chemistry,Science,30,24.0
Thursday,4,O. Feather,14:00:00,Basketball,Sports,13,20.0
Thursday,2,O. Feather,14:00:00,Basketball,Sports,13,20.0
Thursday,1,O. Feather,14:00:00,Basketball,Sports,24,20.0
Thursday,3,O. Feather,14:00:00,Basketball,Sports,30,20.0
Thursday,1,C. Allchin,09:00:00,Biology,Science,20,20.75
Thursday,3,C. Allchin,09:00:00,Biology,Science,18,20.75
Thursday,4,C. Allchin,09:00:00,Biology,Science,28,20.75
Thursday,2,C. Allchin,09:00:00,Biology,Science,17,20.75
Monday,1,T. Prowse,14:00:00,Literature,English,21,16.5
Monday,2,T. Prowse,14:00:00,Literature,English,15,16.5
Monday,3,T. Prowse,14:00:00,Literature,English,13,16.5
Monday,4,T. Prowse,14:00:00,Literature,English,17,16.5
Monday,1,J. Martin,09:00:00,Statistics,Maths,24,20.0
Monday,2,J. Martin,09:00:00,Statistics,Maths,12,20.0
Monday,3,J. Martin,09:00:00,Statistics,Maths,20,20.0
Monday,4,J. Martin,09:00:00,Statistics,Maths,24,20.0
Friday,1,T. Prowse,14:00:00,Prose,English,22,20.75
Friday,3,T. Prowse,14:00:00,Prose,English,28,20.75
Friday,2,T. Prowse,14:00:00,Prose,English,22,20.75
Friday,4,T. Prowse,14:00:00,Prose,English,11,20.75
Friday,1,J. Martin,09:00:00,Discrete,Maths,19,19.0
Friday,2,J. Martin,09:00:00,Discrete,Maths,21,19.0
Friday,4,J. Martin,09:00:00,Discrete,Maths,25,19.0
Friday,3,J. Martin,09:00:00,Discrete,Maths,11,19.0
