Cumulative Monthly Cost,ID,Country,City,Address,Company,Office Size,Contract Start,Contract End,Contract Length,Months Until Expiry,People,Per Person,Rent per Month,Month Divider
26000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/01/2021
52000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/02/2021
78000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/03/2021
104000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/04/2021
130000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/05/2021
156000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/06/2021
182000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/07/2021
208000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/08/2021
234000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/09/2021
260000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/10/2021
286000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/11/2021
312000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/12/2021
338000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/01/2022
364000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/02/2022
390000,1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,09/01/2021,08/01/2025,48,33,50,520,26000,09/03/2022
