Bike Type,Region,Month,Sales,Profit
Road,North,01/01/2022,6756.359,1397.2275
Mountain,West,01/10/2022,5602.2,-462.4904
Mountain,East,01/04/2021,3097.364,449.6786
Hybrid,South,01/01/2021,1665.834,730.929
Mountain,East,01/10/2022,5788.802,167.254
Mountain,South,01/01/2022,481.856,-43.6488
Road,East,01/05/2021,16663.519,2607.8923
Road,North,01/02/2022,739.016,-63.743900000
Hybrid,West,01/08/2022,14860.29,4220.3045
Road,North,01/08/2022,3447.044,176.9821
Mountain,West,01/11/2021,11148.746,965.870700000
Road,North,01/06/2022,2850.3,450.4623
Mountain,East,01/08/2021,3199.849,-723.1316
Hybrid,East,01/04/2022,6328.458,1069.7082
Mountain,East,01/09/2022,10993.651,1420.5381
Mountain,North,01/08/2022,461.008,-79.4194
Mountain,North,01/11/2022,5068.496,-518.3203
Hybrid,North,01/12/2022,7870.802,-2821.5387
Mountain,East,01/02/2021,1364.807,144.0364
Mountain,North,01/07/2021,1950.762,-279.223
Hybrid,South,01/12/2022,5108.69,850.5313
Hybrid,East,01/11/2021,4456.892,578.4524
Mountain,North,01/06/2022,5340.7652,109.194
Road,South,01/04/2022,2046.884,234.1787
Mountain,North,01/09/2021,8933.4534,-865.0872
Mountain,North,01/11/2021,8186.6948,-181.8532
Road,West,01/08/2021,4075.004,489.1668
Road,West,01/09/2021,11442.318,2580.62
Road,North,01/09/2021,4259.278,585.8064
Hybrid,East,01/08/2022,9556.474,2150.0158
Mountain,East,01/03/2022,1579.212,146.5061
Mountain,East,01/12/2022,6954.866,547.5688
Hybrid,East,01/01/2022,2972.215,321.9001
Road,North,01/03/2021,3103.646,445.6921
Mountain,North,01/01/2021,3807.906,208.1487
Mountain,East,01/10/2021,5347.681,176.231
Road,West,01/04/2021,1339.926,422.976
Hybrid,East,01/01/2021,2581.868,522.6649
Hybrid,East,01/08/2021,4534.272,1104.4747
Hybrid,North,01/08/2022,2344.942,433.8099
Hybrid,North,01/02/2021,651.364,-56.2116
Hybrid,North,01/10/2021,4636.26,1564.0937
Hybrid,East,01/05/2021,4319.44,608.431
Mountain,North,01/03/2022,7286.7988,641.7256
Mountain,South,01/09/2021,4581.106,513.0952
Hybrid,South,01/08/2021,1143.774,228.364
Mountain,South,01/04/2022,2846.9925,-320.5257
Hybrid,South,01/10/2021,1237.218,78.262700000
Hybrid,West,01/02/2021,1127.118,247.9884
Road,East,01/05/2022,1481.338,404.4478
Hybrid,South,01/02/2021,3451.284,773.6854
Mountain,West,01/08/2022,4646.816,641.721
Road,South,01/11/2021,5531.11,2193.0593
Road,West,01/03/2022,20351.684,7766.5654
Mountain,South,01/01/2021,781.184,-31.8112
Mountain,North,01/08/2021,1908.3928,24.420400000
Hybrid,East,01/02/2022,1514.812,314.7335
Mountain,West,01/09/2021,7720.0045,413.902
Road,North,01/05/2021,2805.542,219.4683
Road,East,01/03/2022,3864.172,372.3681
Road,East,01/11/2021,11912.262,-5427.0061
Mountain,West,01/08/2021,6291.062,350.4686
Road,South,01/05/2021,4704.59,1076.1162
Road,West,01/02/2021,1400.948,129.4869
Road,West,01/02/2022,3579.034,650.1131
Hybrid,West,01/10/2022,10958.429,3499.4392
Mountain,East,01/12/2021,9121.301,733.549100000
Mountain,West,01/09/2022,11691.048,527.7572
Road,South,01/01/2022,3755.534,744.2458
Mountain,West,01/07/2021,5818.013,597.3165
Road,East,01/02/2021,220.43,65.1106
Road,North,01/01/2021,1816.608,146.0948
Hybrid,South,01/04/2021,1049.992,49.375
Mountain,West,01/04/2021,6917.374,-506.6712
Road,West,01/07/2021,6175.48,1716.9442
Mountain,East,01/11/2021,6612.935,6.311800000
Hybrid,South,01/10/2022,3873.807,-863.5865
Road,East,01/06/2021,2482.56,642.4323
Road,North,01/04/2021,1851.05,430.7351
Road,South,01/04/2021,952.194,157.8535
Hybrid,East,01/07/2021,3703.384,-411.5994
Hybrid,North,01/11/2021,4393.066,810.6147
Mountain,East,01/07/2021,1622.704,74.736400000
Mountain,North,01/12/2021,10481.718,1380.4944
Mountain,South,01/12/2022,5585.283,279.2939
Road,South,01/12/2021,2910.754,597.138
Hybrid,West,01/01/2021,734.338,231.0282
