Region,Bike Type,Month,Profit,Sales
East,Hybrid,01/04/2021,386.9161,3995.272
East,Hybrid,01/04/2022,1069.7082,6328.458
East,Hybrid,01/08/2021,1104.4747,4534.272
East,Hybrid,01/08/2022,2150.0158,9556.474
East,Hybrid,01/12/2021,3439.4314,11776.133
East,Hybrid,01/12/2022,1603.6967,8232.31
East,Hybrid,01/02/2021,364.5387,1564.584
East,Hybrid,01/02/2022,314.7335,1514.812
East,Hybrid,01/01/2021,522.6649,2581.868
East,Hybrid,01/01/2022,321.9001,2972.215
East,Hybrid,01/07/2021,-411.5994,3703.384
East,Hybrid,01/07/2022,831.6523,3226.86
East,Hybrid,01/06/2021,1230.0823,6492.164
East,Hybrid,01/06/2022,1005.5657,4279.501
East,Hybrid,01/03/2021,770.5529,3807.414
East,Hybrid,01/03/2022,669.2537,2256.572
East,Hybrid,01/05/2021,608.431,4319.44
East,Hybrid,01/05/2022,510.9861,2218.583
East,Hybrid,01/11/2021,578.4524,4456.892
East,Hybrid,01/11/2022,2937.9453,12166.422
East,Hybrid,01/10/2021,693.2389,2868.656
East,Hybrid,01/10/2022,710.7662,3576.604
East,Hybrid,01/09/2021,2211.9062,11701.129
East,Hybrid,01/09/2022,-376.7033,8761.802
East,Mountain,01/04/2021,449.6786,3097.364
East,Mountain,01/04/2022,225.7766,2745.156
East,Mountain,01/08/2021,-723.1316,3199.849
East,Mountain,01/08/2022,-544.115,8848.094
East,Mountain,01/12/2021,733.549099999999,9121.301
East,Mountain,01/12/2022,547.5688,6954.866
East,Mountain,01/02/2021,144.0364,1364.807
East,Mountain,01/02/2022,-84.5436000000002,1773.896
East,Mountain,01/01/2021,8.40170000000002,1108.189
East,Mountain,01/01/2022,-30.2911,1213.661
East,Mountain,01/07/2021,74.7363999999999,1622.704
East,Mountain,01/07/2022,128.656,2821.529
East,Mountain,01/06/2021,-273.9606,2762.682
East,Mountain,01/06/2022,10.8938999999999,4832.552
East,Mountain,01/03/2021,-139.0219,4515.019
East,Mountain,01/03/2022,146.5061,1579.212
East,Mountain,01/05/2021,315.5893,1606.324
East,Mountain,01/05/2022,-71.5198,2419.448
East,Mountain,01/11/2021,6.31179999999979,6612.935
East,Mountain,01/11/2022,263.4004,10882.994
East,Mountain,01/10/2021,176.231,5347.681
East,Mountain,01/10/2022,167.254,5788.802
East,Mountain,01/09/2021,640.6925,6028.317
East,Mountain,01/09/2022,1420.5381,10993.651
East,Road,01/04/2021,2701.899,10747.332
East,Road,01/04/2022,-95.975,1157.292
East,Road,01/08/2021,30.1792,1530.836
East,Road,01/08/2022,577.0186,2353.898
East,Road,01/12/2021,1354.9369,6747.766
East,Road,01/12/2022,1073.8339,4897.24
East,Road,01/02/2021,65.1106,220.43
East,Road,01/02/2022,264.2632,1679.814
East,Road,01/01/2021,267.9601,1170.03
East,Road,01/01/2022,64.2604,1197.408
