Sales with the wrong size,Product Code,Product Size,Scent
6,L2,25,Lemongrass
5,B14,100,Lavender
4,B8,50,Lime
5,B11,100,Mint
4,L18,250,Strawberry
7,B13,100,Lime
4,B20,250,Raspberry
3,L33,Multi-Size,Strawberry
2,L14,100,Lavender
4,B31,Multi-Size,Mint
7,L7,50,Lemongrass
5,L4,25,Lavender
1,L3,25,Strawberry
2,B17,250,Lemon
5,B27,1000,Lemon
7,L27,1000,Lemongrass
6,L31,Multi-Size,Coffee
3,B15,100,Raspberry
5,B2,25,Lemon
6,B26,1000,Mint
4,B5,25,Raspberry
2,B10,50,Raspberry
2,B32,Multi-Size,Lemon
6,L1,25,Coffee
1,B12,100,Lemon
1,B16,250,Mint
2,B30,1000,Raspberry
6,B34,Multi-Size,Lavender
4,L24,500,Lavender
3,B28,1000,Lime
4,B19,250,Lavender
3,L13,100,Strawberry
6,L9,50,Lavender
5,B1,25,Mint
5,B18,250,Lime
4,L10,50,Rose
7,L30,1000,Rose
4,B4,25,Lavender
3,L11,100,Coffee
5,L25,500,Rose
1,B33,Multi-Size,Lime
3,B21,500,Mint
4,L16,250,Coffee
2,B7,50,Lemon
4,L23,500,Strawberry
3,L8,50,Strawberry
2,L20,250,Rose
3,L5,25,Rose
2,L26,1000,Coffee
3,L19,250,Lavender
5,B6,50,Mint
3,B29,1000,Lavender
4,L6,50,Coffee
4,B3,25,Lime
2,B35,Multi-Size,Raspberry
3,L32,Multi-Size,Lemongrass
5,B22,500,Lemon
4,B25,500,Raspberry
5,B24,500,Lavender
3,L12,100,Lemongrass
5,L28,1000,Strawberry
8,B23,500,Lime
4,L29,1000,Lavender
4,L15,100,Rose
6,L21,500,Coffee
6,L17,250,Lemongrass
5,L35,Multi-Size,Rose
