Shop,Date,% Orders Shipped in 3 days,Target - % Orders Shipped in 3 days,% Orders Shipped in 5 days,Target - % Orders Shipped in 5 days,% Returns Processed in 3 days,Target - % Returns Processed in 3 days,% Returns Processed in 5 days,Target - % Returns Processed in 5 days,# Complaints Received,Target - # Complaints Received
Leicester,01/12/2021,0.97,0.95,0.97,0.99,0.7,0.8,0.8,0.95,17,0
Exmouth,01/11/2021,0.81,0.95,0.81,0.99,0.73,0.8,0.81,0.95,51,0
Portsmouth,01/12/2021,0.82,0.95,0.88,0.99,0.66,0.8,0.75,0.95,3,0
Torquay,01/11/2021,0.89,0.95,0.93,0.99,0.78,0.8,0.8,0.95,9,0
Exmouth,01/03/2022,0.98,0.95,1,0.99,0.88,0.8,0.92,0.95,43,0
Torquay,01/12/2021,0.97,0.95,1,0.99,0.65,0.8,0.7,0.95,5,0
Hastings,01/11/2021,0.8,0.95,0.89,0.99,0.98,0.8,0.98,0.95,8,0
Leicester,01/11/2021,0.84,0.95,0.86,0.99,0.66,0.8,0.66,0.95,35,0
Portsmouth,01/04/2022,0.85,0.95,0.87,0.99,0.67,0.8,0.69,0.95,19,0
Newcastle,01/11/2021,0.86,0.95,0.89,0.99,0.89,0.8,0.94,0.95,37,0
Nottingham,01/03/2022,0.81,0.95,0.81,0.99,0.86,0.8,0.9,0.95,35,0
Leicester,01/07/2021,0.8,0.95,0.82,0.99,0.99,0.8,1,0.95,6,0
Reading,01/12/2021,0.84,0.95,0.87,0.99,0.98,0.8,0.98,0.95,44,0
Exmouth,01/12/2021,0.85,0.95,0.85,0.99,0.72,0.8,0.82,0.95,13,0
Nottingham,01/12/2021,0.83,0.95,0.87,0.99,0.93,0.8,0.94,0.95,4,0
Bath,01/01/2022,0.88,0.95,0.96,0.99,0.67,0.8,0.7,0.95,9,0
Newcastle,01/02/2022,0.88,0.95,0.94,0.99,0.78,0.8,0.85,0.95,20,0
Newcastle,01/07/2021,0.9,0.95,0.94,0.99,0.91,0.8,0.96,0.95,71,0
Bristol,01/12/2021,0.88,0.95,0.98,0.99,0.79,0.8,0.86,0.95,4,0
Exmouth,01/01/2022,0.96,0.95,0.96,0.99,0.68,0.8,0.69,0.95,71,0
Exmouth,01/10/2021,0.81,0.95,0.84,0.99,0.73,0.8,0.83,0.95,4,0
Leicester,01/02/2022,0.89,0.95,0.93,0.99,0.81,0.8,0.9,0.95,9,0
Torquay,01/07/2021,0.84,0.95,0.92,0.99,0.86,0.8,0.91,0.95,15,0
Nottingham,01/02/2022,0.95,0.95,0.97,0.99,0.8,0.8,0.9,0.95,27,0
