OppID,Date,Stage,SortOrder
0068d000002OrZqAAK,14/03/2022,Opened,0
0068d000002OrZrAAK,01/05/2022,Opened,0
0068d000002OrZsAAK,03/03/2022,Opened,0
0068d000002OrZtAAK,15/03/2022,Opened,0
0068d000002OrZuAAK,01/03/2022,Opened,0
0068d000002OrZvAAK,27/02/2022,Opened,0
0068d000002OrZwAAK,04/06/2022,Opened,0
0068d000002OrZxAAK,25/02/2022,Opened,0
0068d000002OrZyAAK,23/04/2022,Opened,0
0068d000002OrZzAAK,05/03/2022,Opened,0
0068d000002Ora0AAC,21/04/2022,Opened,0
0068d000002Ora1AAC,12/03/2022,Opened,0
0068d000002Ora2AAC,04/03/2022,Opened,0
0068d000002Ora3AAC,04/02/2022,Opened,0
0068d000002Ora4AAC,30/09/2022,Opened,0
0068d000002Ora5AAC,25/08/2022,Opened,0
0068d000002Ora7AAC,02/04/2022,Opened,0
0068d000002Ora8AAC,29/11/2022,Opened,0
0068d000002Ora9AAC,22/04/2022,Opened,0
0068d000002OraAAAS,08/03/2022,Opened,0
0068d000002OraBAAS,01/04/2022,Opened,0
0068d000002OraCAAS,02/03/2022,Opened,0
0068d000002OraDAAS,28/10/2022,Opened,0
0068d000002OraEAAS,27/03/2022,Opened,0
0068d000002OraFAAS,12/03/2022,Opened,0
0068d000002OraGAAS,20/09/2022,Opened,0
0068d000002OraHAAS,07/02/2022,Opened,0
0068d000002OraIAAS,24/03/2022,Opened,0
0068d000002OraJAAS,04/03/2022,Opened,0
0068d000002OraKAAS,05/02/2022,Opened,0
0068d000002OraLAAS,13/03/2022,Opened,0
0068d000002OraMAAS,05/03/2022,Opened,0
0068d000002OraNAAS,26/06/2022,Opened,0
0068d000002OraOAAS,06/05/2022,Opened,0
0068d000002OraPAAS,04/12/2022,Opened,0
0068d000002OraQAAS,19/03/2022,Opened,0
0068d000002OraRAAS,07/03/2022,Opened,0
0068d000002OraSAAS,02/05/2022,Opened,0
0068d000002OraTAAS,22/03/2022,Opened,0
0068d000002OraUAAS,09/03/2022,Opened,0
0068d000002OraVAAS,22/05/2022,Opened,0
0068d000002OraWAAS,02/03/2022,Opened,0
0068d000002OraXAAS,05/03/2022,Opened,0
0068d000002OraYAAS,05/03/2022,Opened,0
0068d000002OraaAAC,22/01/2022,Opened,0
0068d000002OrabAAC,29/06/2022,Opened,0
0068d000002OracAAC,03/04/2022,Opened,0
0068d000002OradAAC,08/03/2022,Opened,0
0068d000002OraeAAC,18/05/2022,Opened,0
0068d000002OrafAAC,26/07/2022,Opened,0
0068d000002OragAAC,03/03/2022,Opened,0
0068d000002OrahAAC,01/05/2022,Opened,0
0068d000002OraiAAC,12/03/2022,Opened,0
0068d000002OrajAAC,04/03/2022,Opened,0
0068d000002OrakAAC,30/04/2022,Opened,0
0068d000002OramAAC,04/04/2022,Opened,0
0068d000002OranAAC,08/05/2022,Opened,0
0068d000002OrapAAC,24/04/2022,Opened,0
0068d000002OraqAAC,21/05/2022,Opened,0
0068d000002OrarAAC,24/05/2022,Opened,0
0068d000002OrasAAC,21/02/2022,Opened,0
0068d000002OratAAC,11/04/2022,Opened,0
