Rank,From,To,Route,Airline,Flight number,Distance - mi,Distance - km,Scheduled duration,Aircraft,First flight,From Lat,From Lng,To Lat,To Lng
1,New York,Singapore,New York - Singapore,Singapore Airlines,SQ 23,9537,15349,18:50:00,A350-900ULR,09/11/2020,40.6943,-73.9249,1.3,103.8
2,Newark,Singapore,Newark - Singapore,Singapore Airlines,SQ 21,9534,15344,18:45:00,A350-900ULR,27/03/2022,40.7245,-74.1725,1.3,103.8
3,Auckland,Doha,Auckland - Doha,Qatar Airways,QR 921,9032,14535,18:05:00,777-200LR,05/02/2017,-36.85,174.7833,25.3,51.5333
4,Perth,London,Perth - London,Qantas,QF 9,9009,14499,17:25:00,787-9,24/03/2018,-31.953512,115.957048,51.5072,-0.1275
5,Auckland,Dubai,Auckland - Dubai,Emirates,EK 449,8823,14200,17:10:00,777-200LR,02/03/2016,-36.85,174.7833,25.2697,55.3094
6,Los Angeles,Singapore,Los Angeles - Singapore,Singapore Airlines,"SQ 37, SQ 35",8770,14114,17:50:00,A350-900,02/11/2018,34.1139,-118.4068,1.3,103.8
7,San Francisco,Bengaluru,San Francisco - Bengaluru,Air India,AI 176,8702,14004,17:45:00,777-200LR,09/01/2021,37.7562,-122.443,12.9699,77.598
8,Darwin,London,Darwin - London,Qantas,QF 1,8620,13872,17:25:00,787-9,01/11/2021,-12.4381,130.8411,51.5072,-0.1275
9,Houston,Sydney,Houston - Sydney,United Airlines,UA 101,8596,13834,17:35:00,787-9,18/01/2018,29.7863,-95.3889,-33.865,151.2094
10,Dallas,Sydney,Dallas - Sydney,Qantas,QF 8,8577,13804,17:20:00,787-9,29/09/2014,32.7936,-96.7662,-33.865,151.2094
11,Manila,New York,Manila - New York,Philippine Airlines,PR 126,8520,13712,16:35:00,A350-900,29/10/2018,14.5958,120.9772,40.6943,-73.9249
12,San Francisco,Singapore,San Francisco - Singapore,United Airlines,"UA 1, UA 29",8446,13593,17:25:00,787-9,01/06/2016,37.7562,-122.443,1.3,103.8
12,San Francisco,Singapore,San Francisco - Singapore,Singapore Airlines,"SQ 31, SQ 33",8446,13593,17:35:00,A350-900ULR,23/10/2016,37.7562,-122.443,1.3,103.8
13,Johannesburg,Atlanta,Johannesburg - Atlanta,Delta Air Lines,DL 201,8439,13581,16:20:00,A350-900,01/08/2021,-26.2044,28.0416,33.7627,-84.4224
14,Dubai,Los Angeles,Dubai - Los Angeles,Emirates,EK 215,8339,13420,16:20:00,A380-800,26/10/2008,25.2697,55.3094,34.1139,-118.4068
15,Jeddah,Los Angeles,Jeddah - Los Angeles,Saudia,SV 41,8332,13409,16:25:00,777-300ER,31/03/2014,21.5428,39.1728,34.1139,-118.4068
16,Doha,Los Angeles,Doha - Los Angeles,Qatar Airways,"QR 739,QR 741",8306,13367,16:25:00,A350-1000,01/01/2016,25.3,51.5333,34.1139,-118.4068
17,Hyderabad,Chicago,Hyderabad - Chicago,Air India,AI 107,8265,13301,16:45:00,777-200LR,13/01/2021,17.3667,78.4667,41.8373,-87.6862
18,Manila,Toronto,Manila - Toronto,Philippine Airlines,PR 118,8221,13230,16:05:00,A350-900,02/02/2019,14.5958,120.9772,43.7417,-79.3733
19,Chicago,Auckland,Chicago - Auckland,Air New Zealand,NZ 27,8183,13170,16:30:00,787-9,30/11/2018,41.8373,-87.6862,-36.85,174.7833
20,Dubai,Houston,Dubai - Houston,Emirates,EK 211,8167,13144,16:15:00,777-200LR,03/12/2007,25.2697,55.3094,29.7863,-95.3889
21,Dubai,San Francisco,Dubai - San Francisco,Emirates,EK 225,8103,13041,16:00:00,A380-800,15/12/2008,25.2697,55.3094,37.7562,-122.443
22,Doha,San Francisco,Doha - San Francisco,Qatar Airways,QR 737,8087,13014,15:40:00,A350-1000,15/12/2020,25.3,51.5333,37.7562,-122.443
23,New York,Hong Kong,New York - Hong Kong,Cathay Pacific,"CX 831, CX 841, CX 843, CX 845",8072,12990,16:15:00,A350-900A350-1000777-300ER,01/07/2004,40.6943,-73.9249,22.305,114.185
24,Newark,Hong Kong,Newark - Hong Kong,United Airlines,UA 179,8065,12980,16:00:00,777-200ER,01/03/2001,40.7245,-74.1725,22.305,114.185
25,Doha,Houston,Doha - Houston,Qatar Airways,QR 713,8048,12952,16:15:00,A350-1000,31/03/2009,25.3,51.5333,29.7863,-95.3889
26,Dubai,Dallas,Dubai - Dallas,Emirates,EK 221,8041,12940,16:15:00,777-200LR,02/02/2012,25.2697,55.3094,32.7936,-96.7662
27,Johannesburg,Newark,Johannesburg - Newark,United Airlines,UA 187,7990,12858,15:45:00,787-9,03/06/2021,-26.2044,28.0416,40.7245,-74.1725
28,Hong Kong,Boston,Hong Kong - Boston,Cathay Pacific,CX 812,7970,12826,15:55:00,A350-900777-300ER,03/05/2015,22.305,114.185,42.3188,-71.0846
29,Vancouver,Singapore,Vancouver - Singapore,Singapore Airlines,SQ 47,7967,12821,17:50:00,A350-900,02/12/2021,49.25,-123.1,1.3,103.8
30,Houston,Taipei,Houston - Taipei,EVA Air,BR 51,7939,12776,16:30:00,777-300ER,20/06/2015,29.7863,-95.3889,25.0478,121.5319
