Document Index (generated),conn_country,Album Name,Artist Name,Track Name,ms_played,reason_end,reason_start,shuffle,skipped,spotify_track_uri,ts
1,GB,Finding Beauty In Negative Spaces,Seether,FMLYHM,208186,trackdone,trackdone,False,False,spotify:track:00zqxeyUURvqow9EdDMm8v,2016-02-03T17:46:42Z
2,GB,Drama Boy (B&E Redo),Beissoul & Einius,Drama Boy (B&E Redo) - Radio Edit,203738,trackdone,trackdone,False,,spotify:track:1RiZrXXQMiLRACutTZwgUt,2019-11-11T08:03:03Z
3,GB,All This Time,The Beta Machine,The End,247265,trackdone,fwdbtn,False,,spotify:track:65UEYdVQt67GikVCqiMYT6,2021-11-17T09:17:32Z
4,GB,Weezer (White Album),Weezer,King of the World,204480,trackdone,trackdone,False,,spotify:track:5vBuxtwitUimHR2gBOnJYR,2016-07-05T20:04:26Z
5,GB,Drama Boy (B&E Redo),Beissoul & Einius,Drama Boy (B&E Redo) - Radio Edit,203738,trackdone,trackdone,True,,spotify:track:1RiZrXXQMiLRACutTZwgUt,2019-11-16T11:06:24Z
6,GB,A Decade Of Destruction,Five Finger Death Punch,Gone Away,275212,trackdone,trackdone,True,,spotify:track:0h8VX60lat4433GnbP6vQs,2019-12-12T11:32:47Z
7,GB,Fire From The Sky,Shadows Fall,The Unknown,294920,trackdone,trackdone,False,False,spotify:track:4NfaaisOaIyqZN6vPGaAy9,2015-06-16T11:48:01Z
8,GB,Is There Anybody Out There?,Machine Head,Is There Anybody Out There?,272665,trackdone,trackdone,False,,spotify:track:5aeIj88MLdekYvObw5Yisk,2020-06-18T16:20:30Z
9,GB,Dreamin' Wild,Donnie & Joe Emerson,Baby,250533,trackdone,trackdone,True,,spotify:track:62wdQ5CInFr7cjISqrr46f,2022-03-07T19:10:12Z
10,GB,That's The Spirit,Bring Me The Horizon,Follow You,231106,trackdone,trackdone,False,,spotify:track:6lFUdRItQEsEuD7dSINL47,2017-02-11T17:00:44Z
11,GB,A Decade Of Destruction,Five Finger Death Punch,Gone Away,275212,trackdone,trackdone,True,,spotify:track:0h8VX60lat4433GnbP6vQs,2018-07-19T12:49:18Z
12,GB,My Baby Just Cares For Me,Nina Simone,My Baby Just Cares For Me - HONNE Remix,231273,trackdone,trackdone,False,,spotify:track:5fVA5uH0SS3wJZjyC1JE5m,2022-01-30T11:58:30Z
13,GB,Игорь Корнелюк. Песни из кино. Избранное,Игорь Корнелюк,"Город, которого нет",254507,trackdone,trackdone,False,,spotify:track:5CyO7SwydZoRu3AQP1EbXG,2021-04-27T11:57:31Z
14,GB,American Tragedy,Hollywood Undead,Bullet,197825,trackdone,trackdone,False,False,spotify:track:2i8Yi2ciI2XjES4ryCqbqL,2015-02-15T21:23:46Z
