Overall Rank,Artist Name,2015,2016,2017,2018,2019,2020,2021,2022
92,Nobuo Uematsu,373,19,,,,444,,
53,Röyksopp,,,,,,7,6,9
72,mabanua,,,,,8,87,630,6
13,Three Days Grace,6,43,22,51,270,115,317,
73,Von Wegen Lisbeth,,,,10,663,184,17,
32,Billy Talent,24,27,,53,119,502,327,28
82,Scott Stapp,,12,,,,,,
24,Green Day,41,5,,267,286,48,57,181
37,Milky Chance,,,,4,24,177,629,3
6,Papa Roach,16,40,2,6,16,69,170,72
61,Fall Out Boy,60,38,,117,128,,876,
18,RADWIMPS,,14,6,13,43,,181,
49,Hans Zimmer,14,,,,,,,
42,WagakkiBand,,,8,20,,,,
62,Ramin Djawadi,394,33,,389,,17,147,
58,Les Friction,,16,216,129,166,231,196,
91,Puddle Of Mudd,42,233,59,,,637,,
31,Blue October,17,18,,,,390,,
64,Video Games Live,358,34,39,78,643,,,
60,Pay money To my Pain,,49,35,35,85,,,
63,Korn,92,54,64,162,,71,895,65
94,Sum 41,223,37,261,122,199,536,,
15,Gorillaz,,298,,1,9,62,19,
75,Dmitri Shostakovich,,29,250,59,83,,,
89,Badflower,,,,,58,24,9,276
41,Garbage,,111,,,545,5,8,
47,Daughtry,33,23,155,,,,678,
83,zebrahead,,24,232,,550,561,193,
28,Hollywood Undead,18,,52,8,61,,741,507
43,BRADIO,,105,16,28,19,,606,108
98,Trivium,398,94,74,36,42,,810,
52,Sixx:A.M.,28,78,163,345,494,,112,314
67,Big Bad Voodoo Daddy,26,,66,,416,,,
69,Jamie Christopherson,,25,53,131,,632,,536
99,LAST ALLIANCE,281,69,76,42,155,,,
71,GlitchxCity,,,25,120,195,511,172,12
70,Kavinsky,,22,138,54,828,456,477,
88,Justice,,35,,160,532,58,,
11,Zero-Project,,2,7,129,,,435,67
54,Theory of a Deadman,27,124,58,,603,616,743,
22,Disturbed,49,10,12,41,50,,550,
87,Halestorm,38,355,84,378,,,257,
26,Staind,8,70,55,,449,190,,
46,coldrain,,61,17,37,59,,636,
30,MAN WITH A MISSION,,,23,5,15,,21,285
40,Smile Empty Soul,20,103,222,49,21,515,269,
4,Five Finger Death Punch,334,4,3,2,6,4,100,
96,Daddy Was a Milkman,,,,,14,30,33,
78,Paramore,116,30,206,318,426,,740,
56,Lit,32,51,,217,,,360,
5,Seether,4,6,24,119,34,49,134,
16,Avenged Sevenfold,54,26,10,11,67,36,93,
95,UNKLE,,,,,,9,114,98
38,KANA-BOON,,249,19,19,17,238,158,36
66,One Less Reason,21,156,,252,369,,,
55,Volbeat,243,56,49,174,13,,503,189
84,Hurt,29,174,,,,376,,
59,Chevelle,37,92,42,241,411,,,
14,Beissoul & Einius,,,,,2,6,10,338
29,Vitamin String Quartet,7,,,,,,,
77,Philip Glass,23,,,,,,402,
65,Yellowcard,,9,,,,,,
45,Atmosphere,,,14,56,,108,35,
12,Twenty One Pilots,,194,29,182,1,28,4,172
80,Slash,,,188,,,,5,4
33,Hoobastank,22,21,68,50,517,,,
27,Breaking Benjamin,19,79,15,24,446,95,256,
36,THE ORAL CIGARETTES,,,11,15,51,,313,
3,ONE OK ROCK,12,3,1,3,4,206,241,
39,Darren Korb,288,68,111,81,5,186,30,
85,In This Moment,46,149,110,,,90,276,
20,Slipknot,75,17,13,43,105,19,132,113
97,Tinez Roots Club,31,,,,,,,
100,Miracle Of Sound,,63,89,404,,503,60,215
21,Thirty Seconds To Mars,9,44,51,,652,483,,
1,Shinedown,1,7,4,14,66,23,367,334
34,Crush 40,,59,9,32,,,,
90,Rise Against,59,132,,178,47,492,376,
68,Skillet,214,,27,29,149,155,255,383
23,Archive,,,,,,1,2,33
74,Corey Taylor,,,,,,21,3,62
17,Linkin Park,30,15,18,23,81,26,265,
10,Nickelback,2,39,47,331,432,,,
19,L'Arc-en-Ciel,10,28,147,96,207,,,
86,X JAPAN,230,20,,218,,,,
7,3 Doors Down,3,8,50,144,,645,,
81,Alter Bridge,35,,,,131,637,41,
44,Killswitch Engage,204,13,73,18,158,,,
50,Portishead,,,,,,3,669,275
51,Trapt,44,36,60,244,,,545,
8,Stone Sour,11,57,20,12,26,11,7,169
35,Bullet For My Valentine,39,65,30,47,396,,32,314
79,Red Hot Chili Peppers,220,32,,83,392,,230,193
57,The Pretty Reckless,,,,,,,1,
9,Foo Fighters,5,11,48,91,62,,14,
76,Elton John,25,,,,,,192,
48,Creed,15,,183,,,645,,
93,Frédéric Chopin,40,,,44,,599,,
25,Trenchcoat,13,97,21,16,316,630,,
2,Eminem,82,1,5,9,3,2,52,
