Artist Name,2015,2016,2017,2018,2019,2020,2021,2022,Overall Rank
3 Doors Down,3.0,8.0,50.0,144.0,,645.0,,,7.0
Alter Bridge,35.0,,,,131.0,637.0,41.0,,81.0
Archive,,,,,,1.0,2.0,33.0,23.0
Atmosphere,,,14.0,56.0,,108.0,35.0,,45.0
Avenged Sevenfold,54.0,26.0,10.0,11.0,67.0,36.0,92.0,,16.0
BRADIO,,105.0,16.0,28.0,19.0,,606.0,108.0,43.0
Badflower,,,,,58.0,24.0,9.0,276.0,89.0
Beissoul & Einius,,,,,2.0,6.0,10.0,338.0,14.0
Big Bad Voodoo Daddy,26.0,,66.0,,416.0,,,,67.0
Billy Talent,24.0,27.0,,53.0,119.0,502.0,327.0,28.0,32.0
Blue October,17.0,18.0,,,,390.0,,,31.0
Breaking Benjamin,19.0,79.0,15.0,24.0,446.0,95.0,256.0,,27.0
Bullet For My Valentine,39.0,65.0,30.0,47.0,396.0,,32.0,314.0,35.0
Chevelle,37.0,92.0,42.0,241.0,411.0,,,,59.0
Corey Taylor,,,,,,21.0,3.0,62.0,74.0
Creed,15.0,,183.0,,,645.0,,,48.0
Crush 40,,59.0,9.0,32.0,,,,,34.0
Daddy Was a Milkman,,,,,14.0,30.0,33.0,,96.0
Darren Korb,288.0,68.0,111.0,81.0,5.0,186.0,30.0,,39.0
Daughtry,33.0,23.0,155.0,,,,678.0,,47.0
Disturbed,49.0,10.0,12.0,41.0,50.0,,550.0,,22.0
Dmitri Shostakovich,,29.0,250.0,59.0,83.0,,,,75.0
Elton John,25.0,,,,,,192.0,,76.0
Eminem,82.0,1.0,5.0,9.0,3.0,2.0,52.0,,2.0
Fall Out Boy,60.0,38.0,,117.0,128.0,,876.0,,61.0
Five Finger Death Punch,334.0,4.0,3.0,2.0,6.0,4.0,100.0,,4.0
Foo Fighters,5.0,11.0,48.0,91.0,62.0,,14.0,,9.0
Frédéric Chopin,40.0,,,44.0,,599.0,,,93.0
Garbage,,111.0,,,545.0,5.0,8.0,,41.0
GlitchxCity,,,25.0,121.0,195.0,511.0,172.0,12.0,71.0
Gorillaz,,298.0,,1.0,9.0,62.0,19.0,,15.0
Green Day,41.0,5.0,,267.0,286.0,48.0,57.0,181.0,24.0
Halestorm,38.0,355.0,84.0,378.0,,,257.0,,87.0
Hans Zimmer,14.0,,,,,,,,49.0
Hollywood Undead,18.0,,52.0,8.0,61.0,,741.0,507.0,28.0
Hoobastank,22.0,21.0,68.0,50.0,517.0,,,,33.0
Hurt,29.0,174.0,,,,376.0,,,84.0
In This Moment,46.0,149.0,110.0,,,90.0,276.0,,85.0
Jamie Christopherson,,25.0,53.0,131.0,,632.0,,536.0,69.0
Justice,,35.0,,160.0,532.0,58.0,,,88.0
KANA-BOON,,249.0,19.0,19.0,17.0,238.0,159.0,36.0,38.0
Kavinsky,,22.0,138.0,54.0,828.0,456.0,477.0,,70.0
Killswitch Engage,204.0,13.0,73.0,18.0,158.0,,,,44.0
Korn,92.0,54.0,64.0,162.0,,71.0,895.0,65.0,63.0
L'Arc-en-Ciel,10.0,28.0,147.0,96.0,207.0,,,,19.0
LAST ALLIANCE,281.0,69.0,76.0,42.0,155.0,,,,99.0
Les Friction,,16.0,216.0,129.0,166.0,231.0,196.0,,58.0
Linkin Park,30.0,15.0,18.0,23.0,81.0,26.0,265.0,,17.0
Lit,32.0,51.0,,217.0,,,360.0,,56.0
MAN WITH A MISSION,,,23.0,5.0,15.0,,21.0,285.0,30.0
Milky Chance,,,,4.0,24.0,177.0,625.0,3.0,37.0
Miracle Of Sound,,63.0,89.0,404.0,,503.0,60.0,215.0,100.0
Nickelback,2.0,39.0,47.0,331.0,432.0,,,,10.0
Nobuo Uematsu,373.0,19.0,,,,444.0,,,92.0
ONE OK ROCK,12.0,3.0,1.0,3.0,4.0,206.0,241.0,,3.0
One Less Reason,21.0,156.0,,252.0,369.0,,,,66.0
Papa Roach,16.0,40.0,2.0,6.0,16.0,69.0,170.0,72.0,6.0
Paramore,116.0,30.0,206.0,318.0,426.0,,740.0,,78.0
Pay money To my Pain,,49.0,35.0,35.0,85.0,,,,60.0
Philip Glass,23.0,,,,,,402.0,,77.0
Portishead,,,,,,3.0,669.0,275.0,50.0
Puddle Of Mudd,42.0,233.0,59.0,,,637.0,,,91.0
RADWIMPS,,14.0,6.0,13.0,43.0,,181.0,,18.0
Ramin Djawadi,394.0,33.0,,389.0,,17.0,147.0,,62.0
Red Hot Chili Peppers,220.0,32.0,,83.0,392.0,,230.0,193.0,79.0
Rise Against,59.0,131.0,,178.0,47.0,492.0,376.0,,90.0
Röyksopp,,,,,,7.0,6.0,9.0,53.0
Scott Stapp,,12.0,,,,,,,82.0
Seether,4.0,6.0,24.0,119.0,34.0,49.0,134.0,,5.0
Shinedown,1.0,7.0,4.0,14.0,66.0,23.0,367.0,334.0,1.0
Sixx:A.M.,28.0,78.0,163.0,345.0,494.0,,112.0,314.0,52.0
Skillet,214.0,,27.0,29.0,149.0,155.0,255.0,383.0,68.0
Slash,,,188.0,,,,5.0,4.0,80.0
Slipknot,75.0,17.0,13.0,43.0,105.0,19.0,132.0,113.0,20.0
Smile Empty Soul,20.0,103.0,222.0,49.0,21.0,515.0,269.0,,40.0
Staind,8.0,70.0,55.0,,449.0,190.0,,,26.0
Stone Sour,11.0,57.0,20.0,12.0,26.0,11.0,7.0,169.0,8.0
Sum 41,223.0,37.0,261.0,122.0,199.0,536.0,,,94.0
THE ORAL CIGARETTES,,,11.0,15.0,51.0,,313.0,,36.0
The Pretty Reckless,,,,,,,1.0,,57.0
Theory of a Deadman,27.0,124.0,58.0,,603.0,616.0,743.0,,54.0
Thirty Seconds To Mars,9.0,44.0,51.0,,652.0,483.0,,,21.0
Three Days Grace,6.0,43.0,22.0,51.0,270.0,115.0,317.0,,13.0
Tinez Roots Club,31.0,,,,,,,,97.0
Trapt,44.0,36.0,60.0,244.0,,,545.0,,51.0
Trenchcoat,13.0,97.0,21.0,16.0,316.0,630.0,,,25.0
Trivium,398.0,94.0,74.0,36.0,42.0,,810.0,,98.0
Twenty One Pilots,,194.0,29.0,182.0,1.0,28.0,4.0,172.0,12.0
UNKLE,,,,,,9.0,114.0,98.0,95.0
Video Games Live,358.0,34.0,39.0,78.0,643.0,,,,64.0
Vitamin String Quartet,7.0,,,,,,,,29.0
Volbeat,243.0,56.0,49.0,174.0,13.0,,503.0,189.0,55.0
Von Wegen Lisbeth,,,,10.0,663.0,184.0,17.0,,73.0
WagakkiBand,,,8.0,20.0,,,,,42.0
X JAPAN,230.0,20.0,,218.0,,,,,86.0
Yellowcard,,9.0,,,,,,,65.0
Zero-Project,,2.0,7.0,129.0,,,435.0,67.0,11.0
coldrain,,61.0,17.0,37.0,59.0,,636.0,,46.0
mabanua,,,,,8.0,86.0,630.0,6.0,72.0
zebrahead,,24.0,232.0,,550.0,561.0,193.0,,83.0
