Quantity,Store Name,Region,Sale Value,Present in N orders
500,Chelsea,West,11111,62
750,Chelsea,West,8822.72,55
25,Notting Hill,West,9739.2,54
50,Notting Hill,West,10334.18,57
500,Notting Hill,West,8602.31,54
100,Lewisham,East,10640.34,60
250,Lewisham,East,12470.06,71
750,Wimbledon,West,11888.27,64
50,Lewisham,East,14005.22,79
1000,Shoreditch,East,11195.06,72
250,Notting Hill,West,10059.3,47
500,Wimbledon,West,11739.12,54
100,Notting Hill,West,9379.35,58
50,Shoreditch,East,10097.66,67
1000,Dulwich,East,11361.47,61
100,Dulwich,East,9079.9,49
25,Dulwich,East,8788.93,51
1000,Wimbledon,West,8489.15,49
500,Shoreditch,East,9541.02,62
50,Chelsea,West,9338.79,52
50,Wimbledon,West,9756.43,50
750,Shoreditch,East,10350.78,63
750,Lewisham,East,9944.91,64
250,Shoreditch,East,9531.96,53
250,Dulwich,East,9994.59,62
500,Dulwich,East,12565.49,65
100,Chelsea,West,7989.93,43
25,Chelsea,West,8550.55,48
50,Dulwich,East,9255.96,50
1000,Notting Hill,West,10496.83,59
750,Dulwich,East,15411.24,90
25,Lewisham,East,10816.88,58
25,Wimbledon,West,7578.51,46
250,Chelsea,West,6574.2,40
1000,Lewisham,East,9029.74,60
100,Wimbledon,West,12729.6,64
500,Lewisham,East,11827.43,68
1000,Chelsea,West,7253.31,46
25,Shoreditch,East,9601.53,54
250,Wimbledon,West,10097.95,51
100,Shoreditch,East,8563.37,64
750,Notting Hill,West,9160.97,49
