Beats Target?,Target,Store Name,Region,Sale Value,PRODUCT
True,30000,Dulwich,East,30156.21,Bar
True,25000,Chelsea,West,29245.81,Bar
True,70000,Wimbledon,West,72279.03,Liquid
True,75000,Lewisham,East,78734.580000000,Liquid
True,75000,Dulwich,East,76457.58,Liquid
True,65000,Notting Hill,West,67772.14,Liquid
True,35000,Wimbledon,West,35562.65,Bar
False,60000,Chelsea,West,59640.5,Liquid
False,70000,Shoreditch,East,68881.38,Liquid
True,35000,Lewisham,East,35685.63,Bar
False,30000,Shoreditch,East,29491.32,Bar
True,30000,Notting Hill,West,31222.56,Bar
